group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,32,,,1409318.0,ns,3
Ed25519 batch signature verification,,32,,,2813540.0,ns,6
Ed25519 batch signature verification,,32,,,4215595.0,ns,9
Ed25519 batch signature verification,,32,,,5620850.0,ns,12
Ed25519 batch signature verification,,32,,,7043574.0,ns,15
Ed25519 batch signature verification,,32,,,8438205.0,ns,18
Ed25519 batch signature verification,,32,,,9836058.0,ns,21
Ed25519 batch signature verification,,32,,,11306030.0,ns,24
Ed25519 batch signature verification,,32,,,12646319.0,ns,27
Ed25519 batch signature verification,,32,,,14053750.0,ns,30
Ed25519 batch signature verification,,32,,,15465677.0,ns,33
Ed25519 batch signature verification,,32,,,16956740.0,ns,36
Ed25519 batch signature verification,,32,,,18720922.0,ns,39
Ed25519 batch signature verification,,32,,,20588781.0,ns,42
Ed25519 batch signature verification,,32,,,21975424.0,ns,45
Ed25519 batch signature verification,,32,,,22811941.0,ns,48
Ed25519 batch signature verification,,32,,,24481048.0,ns,51
Ed25519 batch signature verification,,32,,,25852003.0,ns,54
Ed25519 batch signature verification,,32,,,27278061.0,ns,57
Ed25519 batch signature verification,,32,,,28324299.0,ns,60
Ed25519 batch signature verification,,32,,,29924291.0,ns,63
Ed25519 batch signature verification,,32,,,31147046.0,ns,66
Ed25519 batch signature verification,,32,,,32492284.0,ns,69
Ed25519 batch signature verification,,32,,,33870170.0,ns,72
Ed25519 batch signature verification,,32,,,35280676.0,ns,75
Ed25519 batch signature verification,,32,,,37004219.0,ns,78
Ed25519 batch signature verification,,32,,,38101797.0,ns,81
Ed25519 batch signature verification,,32,,,39642469.0,ns,84
Ed25519 batch signature verification,,32,,,41052828.0,ns,87
Ed25519 batch signature verification,,32,,,42667737.0,ns,90
Ed25519 batch signature verification,,32,,,43696562.0,ns,93
Ed25519 batch signature verification,,32,,,45385994.0,ns,96
Ed25519 batch signature verification,,32,,,46544213.0,ns,99
Ed25519 batch signature verification,,32,,,47995420.0,ns,102
Ed25519 batch signature verification,,32,,,49697252.0,ns,105
Ed25519 batch signature verification,,32,,,50720444.0,ns,108
Ed25519 batch signature verification,,32,,,52094204.0,ns,111
Ed25519 batch signature verification,,32,,,53471369.0,ns,114
Ed25519 batch signature verification,,32,,,55106865.0,ns,117
Ed25519 batch signature verification,,32,,,56405511.0,ns,120
Ed25519 batch signature verification,,32,,,57818389.0,ns,123
Ed25519 batch signature verification,,32,,,59393724.0,ns,126
Ed25519 batch signature verification,,32,,,60866245.0,ns,129
Ed25519 batch signature verification,,32,,,62767063.0,ns,132
Ed25519 batch signature verification,,32,,,63500196.0,ns,135
Ed25519 batch signature verification,,32,,,65252376.0,ns,138
Ed25519 batch signature verification,,32,,,66315132.0,ns,141
Ed25519 batch signature verification,,32,,,67722315.0,ns,144
Ed25519 batch signature verification,,32,,,68904055.0,ns,147
Ed25519 batch signature verification,,32,,,70334198.0,ns,150
Ed25519 batch signature verification,,32,,,72195445.0,ns,153
Ed25519 batch signature verification,,32,,,73388064.0,ns,156
Ed25519 batch signature verification,,32,,,75235946.0,ns,159
Ed25519 batch signature verification,,32,,,76466590.0,ns,162
Ed25519 batch signature verification,,32,,,77608158.0,ns,165
Ed25519 batch signature verification,,32,,,78707324.0,ns,168
Ed25519 batch signature verification,,32,,,80657801.0,ns,171
Ed25519 batch signature verification,,32,,,81746927.0,ns,174
Ed25519 batch signature verification,,32,,,83310688.0,ns,177
Ed25519 batch signature verification,,32,,,84529457.0,ns,180
Ed25519 batch signature verification,,32,,,86530032.0,ns,183
Ed25519 batch signature verification,,32,,,88345933.0,ns,186
Ed25519 batch signature verification,,32,,,89111678.0,ns,189
Ed25519 batch signature verification,,32,,,90801502.0,ns,192
Ed25519 batch signature verification,,32,,,92718725.0,ns,195
Ed25519 batch signature verification,,32,,,93091341.0,ns,198
Ed25519 batch signature verification,,32,,,94571514.0,ns,201
Ed25519 batch signature verification,,32,,,96054803.0,ns,204
Ed25519 batch signature verification,,32,,,97329066.0,ns,207
Ed25519 batch signature verification,,32,,,98741313.0,ns,210
Ed25519 batch signature verification,,32,,,100587094.0,ns,213
Ed25519 batch signature verification,,32,,,101315023.0,ns,216
Ed25519 batch signature verification,,32,,,102712081.0,ns,219
Ed25519 batch signature verification,,32,,,104998847.0,ns,222
Ed25519 batch signature verification,,32,,,106250923.0,ns,225
Ed25519 batch signature verification,,32,,,106839299.0,ns,228
Ed25519 batch signature verification,,32,,,108310978.0,ns,231
Ed25519 batch signature verification,,32,,,110315626.0,ns,234
Ed25519 batch signature verification,,32,,,111623988.0,ns,237
Ed25519 batch signature verification,,32,,,112787246.0,ns,240
Ed25519 batch signature verification,,32,,,114733887.0,ns,243
Ed25519 batch signature verification,,32,,,115572689.0,ns,246
Ed25519 batch signature verification,,32,,,118763560.0,ns,249
Ed25519 batch signature verification,,32,,,118248606.0,ns,252
Ed25519 batch signature verification,,32,,,119601739.0,ns,255
Ed25519 batch signature verification,,32,,,121375470.0,ns,258
Ed25519 batch signature verification,,32,,,122319530.0,ns,261
Ed25519 batch signature verification,,32,,,124498245.0,ns,264
Ed25519 batch signature verification,,32,,,125387565.0,ns,267
Ed25519 batch signature verification,,32,,,126698945.0,ns,270
Ed25519 batch signature verification,,32,,,128321186.0,ns,273
Ed25519 batch signature verification,,32,,,129409626.0,ns,276
Ed25519 batch signature verification,,32,,,130578388.0,ns,279
Ed25519 batch signature verification,,32,,,132131933.0,ns,282
Ed25519 batch signature verification,,32,,,133817718.0,ns,285
Ed25519 batch signature verification,,32,,,135419031.0,ns,288
Ed25519 batch signature verification,,32,,,136700666.0,ns,291
Ed25519 batch signature verification,,32,,,138057885.0,ns,294
Ed25519 batch signature verification,,32,,,139964837.0,ns,297
Ed25519 batch signature verification,,32,,,140950471.0,ns,300
