group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,8,,,1085979.0,ns,8
Ed25519 batch signature verification,,8,,,2162087.0,ns,16
Ed25519 batch signature verification,,8,,,3263031.0,ns,24
Ed25519 batch signature verification,,8,,,4330976.0,ns,32
Ed25519 batch signature verification,,8,,,5410315.0,ns,40
Ed25519 batch signature verification,,8,,,6516249.0,ns,48
Ed25519 batch signature verification,,8,,,7572928.0,ns,56
Ed25519 batch signature verification,,8,,,8714048.0,ns,64
Ed25519 batch signature verification,,8,,,9754393.0,ns,72
Ed25519 batch signature verification,,8,,,10882638.0,ns,80
Ed25519 batch signature verification,,8,,,11911893.0,ns,88
Ed25519 batch signature verification,,8,,,12989382.0,ns,96
Ed25519 batch signature verification,,8,,,14084783.0,ns,104
Ed25519 batch signature verification,,8,,,15164204.0,ns,112
Ed25519 batch signature verification,,8,,,16409970.0,ns,120
Ed25519 batch signature verification,,8,,,17378906.0,ns,128
Ed25519 batch signature verification,,8,,,18521860.0,ns,136
Ed25519 batch signature verification,,8,,,19561616.0,ns,144
Ed25519 batch signature verification,,8,,,20590181.0,ns,152
Ed25519 batch signature verification,,8,,,21668826.0,ns,160
Ed25519 batch signature verification,,8,,,22898095.0,ns,168
Ed25519 batch signature verification,,8,,,23905879.0,ns,176
Ed25519 batch signature verification,,8,,,24990366.0,ns,184
Ed25519 batch signature verification,,8,,,26231389.0,ns,192
Ed25519 batch signature verification,,8,,,27392909.0,ns,200
Ed25519 batch signature verification,,8,,,28218313.0,ns,208
Ed25519 batch signature verification,,8,,,29323146.0,ns,216
Ed25519 batch signature verification,,8,,,30323622.0,ns,224
Ed25519 batch signature verification,,8,,,31402577.0,ns,232
Ed25519 batch signature verification,,8,,,32488590.0,ns,240
Ed25519 batch signature verification,,8,,,33823575.0,ns,248
Ed25519 batch signature verification,,8,,,34699836.0,ns,256
Ed25519 batch signature verification,,8,,,35887672.0,ns,264
Ed25519 batch signature verification,,8,,,37206898.0,ns,272
Ed25519 batch signature verification,,8,,,37896267.0,ns,280
Ed25519 batch signature verification,,8,,,39111427.0,ns,288
Ed25519 batch signature verification,,8,,,40213918.0,ns,296
Ed25519 batch signature verification,,8,,,41278829.0,ns,304
Ed25519 batch signature verification,,8,,,42287103.0,ns,312
Ed25519 batch signature verification,,8,,,43324388.0,ns,320
Ed25519 batch signature verification,,8,,,44628106.0,ns,328
Ed25519 batch signature verification,,8,,,45608416.0,ns,336
Ed25519 batch signature verification,,8,,,46589546.0,ns,344
Ed25519 batch signature verification,,8,,,47728669.0,ns,352
Ed25519 batch signature verification,,8,,,48804867.0,ns,360
Ed25519 batch signature verification,,8,,,50403956.0,ns,368
Ed25519 batch signature verification,,8,,,51063038.0,ns,376
Ed25519 batch signature verification,,8,,,52232494.0,ns,384
Ed25519 batch signature verification,,8,,,53304868.0,ns,392
Ed25519 batch signature verification,,8,,,54341162.0,ns,400
Ed25519 batch signature verification,,8,,,55552091.0,ns,408
Ed25519 batch signature verification,,8,,,56376543.0,ns,416
Ed25519 batch signature verification,,8,,,57507365.0,ns,424
Ed25519 batch signature verification,,8,,,58585621.0,ns,432
Ed25519 batch signature verification,,8,,,59640517.0,ns,440
Ed25519 batch signature verification,,8,,,60766295.0,ns,448
Ed25519 batch signature verification,,8,,,61825371.0,ns,456
Ed25519 batch signature verification,,8,,,62917034.0,ns,464
Ed25519 batch signature verification,,8,,,64177334.0,ns,472
Ed25519 batch signature verification,,8,,,65493921.0,ns,480
Ed25519 batch signature verification,,8,,,66168901.0,ns,488
Ed25519 batch signature verification,,8,,,67263919.0,ns,496
Ed25519 batch signature verification,,8,,,68689331.0,ns,504
Ed25519 batch signature verification,,8,,,69688407.0,ns,512
Ed25519 batch signature verification,,8,,,71085459.0,ns,520
Ed25519 batch signature verification,,8,,,71555771.0,ns,528
Ed25519 batch signature verification,,8,,,72652096.0,ns,536
Ed25519 batch signature verification,,8,,,73774364.0,ns,544
Ed25519 batch signature verification,,8,,,74776514.0,ns,552
Ed25519 batch signature verification,,8,,,76178665.0,ns,560
Ed25519 batch signature verification,,8,,,77255854.0,ns,568
Ed25519 batch signature verification,,8,,,78079028.0,ns,576
Ed25519 batch signature verification,,8,,,79465465.0,ns,584
Ed25519 batch signature verification,,8,,,80240715.0,ns,592
Ed25519 batch signature verification,,8,,,80817541.0,ns,600
Ed25519 batch signature verification,,8,,,82424628.0,ns,608
Ed25519 batch signature verification,,8,,,83694790.0,ns,616
Ed25519 batch signature verification,,8,,,84861164.0,ns,624
Ed25519 batch signature verification,,8,,,85679693.0,ns,632
Ed25519 batch signature verification,,8,,,86923658.0,ns,640
Ed25519 batch signature verification,,8,,,87944659.0,ns,648
Ed25519 batch signature verification,,8,,,89148535.0,ns,656
Ed25519 batch signature verification,,8,,,90102749.0,ns,664
Ed25519 batch signature verification,,8,,,91078381.0,ns,672
Ed25519 batch signature verification,,8,,,92430332.0,ns,680
Ed25519 batch signature verification,,8,,,93232303.0,ns,688
Ed25519 batch signature verification,,8,,,94554358.0,ns,696
Ed25519 batch signature verification,,8,,,95407218.0,ns,704
Ed25519 batch signature verification,,8,,,97025488.0,ns,712
Ed25519 batch signature verification,,8,,,97710228.0,ns,720
Ed25519 batch signature verification,,8,,,98765795.0,ns,728
Ed25519 batch signature verification,,8,,,99905404.0,ns,736
Ed25519 batch signature verification,,8,,,101589680.0,ns,744
Ed25519 batch signature verification,,8,,,102332975.0,ns,752
Ed25519 batch signature verification,,8,,,103238123.0,ns,760
Ed25519 batch signature verification,,8,,,105362218.0,ns,768
