group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,998341.0,ns,77
Ed25519 keypair generation,,,,,1995534.0,ns,154
Ed25519 keypair generation,,,,,2995197.0,ns,231
Ed25519 keypair generation,,,,,3993285.0,ns,308
Ed25519 keypair generation,,,,,4991260.0,ns,385
Ed25519 keypair generation,,,,,5989462.0,ns,462
Ed25519 keypair generation,,,,,7028996.0,ns,539
Ed25519 keypair generation,,,,,7986564.0,ns,616
Ed25519 keypair generation,,,,,9026001.0,ns,693
Ed25519 keypair generation,,,,,9982657.0,ns,770
Ed25519 keypair generation,,,,,10983409.0,ns,847
Ed25519 keypair generation,,,,,12092014.0,ns,924
Ed25519 keypair generation,,,,,13016766.0,ns,1001
Ed25519 keypair generation,,,,,14092652.0,ns,1078
Ed25519 keypair generation,,,,,15020650.0,ns,1155
Ed25519 keypair generation,,,,,16164415.0,ns,1232
Ed25519 keypair generation,,,,,16986124.0,ns,1309
Ed25519 keypair generation,,,,,18046191.0,ns,1386
Ed25519 keypair generation,,,,,18966264.0,ns,1463
Ed25519 keypair generation,,,,,19969711.0,ns,1540
Ed25519 keypair generation,,,,,21038008.0,ns,1617
Ed25519 keypair generation,,,,,22004922.0,ns,1694
Ed25519 keypair generation,,,,,23032153.0,ns,1771
Ed25519 keypair generation,,,,,24091917.0,ns,1848
Ed25519 keypair generation,,,,,24983600.0,ns,1925
Ed25519 keypair generation,,,,,26281148.0,ns,2002
Ed25519 keypair generation,,,,,27026612.0,ns,2079
Ed25519 keypair generation,,,,,27996324.0,ns,2156
Ed25519 keypair generation,,,,,29162758.0,ns,2233
Ed25519 keypair generation,,,,,29935755.0,ns,2310
Ed25519 keypair generation,,,,,31279377.0,ns,2387
Ed25519 keypair generation,,,,,32213652.0,ns,2464
Ed25519 keypair generation,,,,,32936994.0,ns,2541
Ed25519 keypair generation,,,,,34010149.0,ns,2618
Ed25519 keypair generation,,,,,35216925.0,ns,2695
Ed25519 keypair generation,,,,,36091089.0,ns,2772
Ed25519 keypair generation,,,,,37156941.0,ns,2849
Ed25519 keypair generation,,,,,37961865.0,ns,2926
Ed25519 keypair generation,,,,,38994887.0,ns,3003
Ed25519 keypair generation,,,,,40294145.0,ns,3080
Ed25519 keypair generation,,,,,41066806.0,ns,3157
Ed25519 keypair generation,,,,,41966876.0,ns,3234
Ed25519 keypair generation,,,,,43032782.0,ns,3311
Ed25519 keypair generation,,,,,44280215.0,ns,3388
Ed25519 keypair generation,,,,,44910962.0,ns,3465
Ed25519 keypair generation,,,,,45973858.0,ns,3542
Ed25519 keypair generation,,,,,48507601.0,ns,3619
Ed25519 keypair generation,,,,,48184797.0,ns,3696
Ed25519 keypair generation,,,,,48906522.0,ns,3773
Ed25519 keypair generation,,,,,50167528.0,ns,3850
Ed25519 keypair generation,,,,,50884166.0,ns,3927
Ed25519 keypair generation,,,,,52396946.0,ns,4004
Ed25519 keypair generation,,,,,53103994.0,ns,4081
Ed25519 keypair generation,,,,,54036353.0,ns,4158
Ed25519 keypair generation,,,,,54941879.0,ns,4235
Ed25519 keypair generation,,,,,56001741.0,ns,4312
Ed25519 keypair generation,,,,,56948638.0,ns,4389
Ed25519 keypair generation,,,,,57913718.0,ns,4466
Ed25519 keypair generation,,,,,58901011.0,ns,4543
Ed25519 keypair generation,,,,,59898980.0,ns,4620
Ed25519 keypair generation,,,,,61225685.0,ns,4697
Ed25519 keypair generation,,,,,62492812.0,ns,4774
Ed25519 keypair generation,,,,,64079375.0,ns,4851
Ed25519 keypair generation,,,,,64806089.0,ns,4928
Ed25519 keypair generation,,,,,65615755.0,ns,5005
Ed25519 keypair generation,,,,,66011852.0,ns,5082
Ed25519 keypair generation,,,,,66872574.0,ns,5159
Ed25519 keypair generation,,,,,68223672.0,ns,5236
Ed25519 keypair generation,,,,,69229419.0,ns,5313
Ed25519 keypair generation,,,,,70329054.0,ns,5390
Ed25519 keypair generation,,,,,71375164.0,ns,5467
Ed25519 keypair generation,,,,,72180385.0,ns,5544
Ed25519 keypair generation,,,,,73339843.0,ns,5621
Ed25519 keypair generation,,,,,74194579.0,ns,5698
Ed25519 keypair generation,,,,,75118559.0,ns,5775
Ed25519 keypair generation,,,,,75975219.0,ns,5852
Ed25519 keypair generation,,,,,77271079.0,ns,5929
Ed25519 keypair generation,,,,,77972561.0,ns,6006
Ed25519 keypair generation,,,,,78961496.0,ns,6083
Ed25519 keypair generation,,,,,80073757.0,ns,6160
Ed25519 keypair generation,,,,,80947999.0,ns,6237
Ed25519 keypair generation,,,,,82472234.0,ns,6314
Ed25519 keypair generation,,,,,83356463.0,ns,6391
Ed25519 keypair generation,,,,,84404541.0,ns,6468
Ed25519 keypair generation,,,,,85236138.0,ns,6545
Ed25519 keypair generation,,,,,86193576.0,ns,6622
Ed25519 keypair generation,,,,,89075083.0,ns,6699
Ed25519 keypair generation,,,,,87961676.0,ns,6776
Ed25519 keypair generation,,,,,88982050.0,ns,6853
Ed25519 keypair generation,,,,,90068090.0,ns,6930
Ed25519 keypair generation,,,,,90950164.0,ns,7007
Ed25519 keypair generation,,,,,92036407.0,ns,7084
Ed25519 keypair generation,,,,,93356242.0,ns,7161
Ed25519 keypair generation,,,,,94390465.0,ns,7238
Ed25519 keypair generation,,,,,95180697.0,ns,7315
Ed25519 keypair generation,,,,,96943425.0,ns,7392
Ed25519 keypair generation,,,,,97207172.0,ns,7469
Ed25519 keypair generation,,,,,98041911.0,ns,7546
Ed25519 keypair generation,,,,,99104782.0,ns,7623
Ed25519 keypair generation,,,,,99961290.0,ns,7700
