group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,993814.0,ns,72
Ed25519 signing,,,,,1985584.0,ns,144
Ed25519 signing,,,,,2979174.0,ns,216
Ed25519 signing,,,,,3970741.0,ns,288
Ed25519 signing,,,,,5003911.0,ns,360
Ed25519 signing,,,,,5956172.0,ns,432
Ed25519 signing,,,,,6986666.0,ns,504
Ed25519 signing,,,,,8033832.0,ns,576
Ed25519 signing,,,,,8981448.0,ns,648
Ed25519 signing,,,,,9925271.0,ns,720
Ed25519 signing,,,,,10961252.0,ns,792
Ed25519 signing,,,,,11933834.0,ns,864
Ed25519 signing,,,,,13693468.0,ns,936
Ed25519 signing,,,,,14097144.0,ns,1008
Ed25519 signing,,,,,15124464.0,ns,1080
Ed25519 signing,,,,,16124873.0,ns,1152
Ed25519 signing,,,,,17074533.0,ns,1224
Ed25519 signing,,,,,18113034.0,ns,1296
Ed25519 signing,,,,,19273554.0,ns,1368
Ed25519 signing,,,,,20290573.0,ns,1440
Ed25519 signing,,,,,21307412.0,ns,1512
Ed25519 signing,,,,,22312426.0,ns,1584
Ed25519 signing,,,,,23075633.0,ns,1656
Ed25519 signing,,,,,23915569.0,ns,1728
Ed25519 signing,,,,,24868619.0,ns,1800
Ed25519 signing,,,,,25858658.0,ns,1872
Ed25519 signing,,,,,26849643.0,ns,1944
Ed25519 signing,,,,,27798147.0,ns,2016
Ed25519 signing,,,,,28798390.0,ns,2088
Ed25519 signing,,,,,29832343.0,ns,2160
Ed25519 signing,,,,,30777333.0,ns,2232
Ed25519 signing,,,,,31901112.0,ns,2304
Ed25519 signing,,,,,32789361.0,ns,2376
Ed25519 signing,,,,,33961050.0,ns,2448
Ed25519 signing,,,,,34852377.0,ns,2520
Ed25519 signing,,,,,35750055.0,ns,2592
Ed25519 signing,,,,,36777050.0,ns,2664
Ed25519 signing,,,,,37732431.0,ns,2736
Ed25519 signing,,,,,38913550.0,ns,2808
Ed25519 signing,,,,,39716534.0,ns,2880
Ed25519 signing,,,,,41188737.0,ns,2952
Ed25519 signing,,,,,41898023.0,ns,3024
Ed25519 signing,,,,,42701620.0,ns,3096
Ed25519 signing,,,,,43740553.0,ns,3168
Ed25519 signing,,,,,44920024.0,ns,3240
Ed25519 signing,,,,,46229745.0,ns,3312
Ed25519 signing,,,,,46749488.0,ns,3384
Ed25519 signing,,,,,47663467.0,ns,3456
Ed25519 signing,,,,,48726726.0,ns,3528
Ed25519 signing,,,,,49726979.0,ns,3600
Ed25519 signing,,,,,50639838.0,ns,3672
Ed25519 signing,,,,,51952953.0,ns,3744
Ed25519 signing,,,,,52868614.0,ns,3816
Ed25519 signing,,,,,53653012.0,ns,3888
Ed25519 signing,,,,,54809206.0,ns,3960
Ed25519 signing,,,,,55676941.0,ns,4032
Ed25519 signing,,,,,56885357.0,ns,4104
Ed25519 signing,,,,,57738274.0,ns,4176
Ed25519 signing,,,,,58696747.0,ns,4248
Ed25519 signing,,,,,59706762.0,ns,4320
Ed25519 signing,,,,,60605158.0,ns,4392
Ed25519 signing,,,,,61685557.0,ns,4464
Ed25519 signing,,,,,62769200.0,ns,4536
Ed25519 signing,,,,,63979132.0,ns,4608
Ed25519 signing,,,,,64665989.0,ns,4680
Ed25519 signing,,,,,65742502.0,ns,4752
Ed25519 signing,,,,,66705495.0,ns,4824
Ed25519 signing,,,,,67703942.0,ns,4896
Ed25519 signing,,,,,69047135.0,ns,4968
Ed25519 signing,,,,,69635741.0,ns,5040
Ed25519 signing,,,,,71276112.0,ns,5112
Ed25519 signing,,,,,71658917.0,ns,5184
Ed25519 signing,,,,,72481328.0,ns,5256
Ed25519 signing,,,,,73508374.0,ns,5328
Ed25519 signing,,,,,75652515.0,ns,5400
Ed25519 signing,,,,,75765273.0,ns,5472
Ed25519 signing,,,,,76836642.0,ns,5544
Ed25519 signing,,,,,77960905.0,ns,5616
Ed25519 signing,,,,,78745952.0,ns,5688
Ed25519 signing,,,,,79587756.0,ns,5760
Ed25519 signing,,,,,80543380.0,ns,5832
Ed25519 signing,,,,,82110711.0,ns,5904
Ed25519 signing,,,,,82515297.0,ns,5976
Ed25519 signing,,,,,84701885.0,ns,6048
Ed25519 signing,,,,,84656710.0,ns,6120
Ed25519 signing,,,,,86270228.0,ns,6192
Ed25519 signing,,,,,86631830.0,ns,6264
Ed25519 signing,,,,,87968487.0,ns,6336
Ed25519 signing,,,,,88569161.0,ns,6408
Ed25519 signing,,,,,89815408.0,ns,6480
Ed25519 signing,,,,,90643575.0,ns,6552
Ed25519 signing,,,,,91967252.0,ns,6624
Ed25519 signing,,,,,94063604.0,ns,6696
Ed25519 signing,,,,,93650105.0,ns,6768
Ed25519 signing,,,,,94913579.0,ns,6840
Ed25519 signing,,,,,95658762.0,ns,6912
Ed25519 signing,,,,,96630293.0,ns,6984
Ed25519 signing,,,,,97591367.0,ns,7056
Ed25519 signing,,,,,98574187.0,ns,7128
Ed25519 signing,,,,,100608050.0,ns,7200
