group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,4,,,1057847.0,ns,13
Ed25519 batch signature verification,,4,,,2037177.0,ns,26
Ed25519 batch signature verification,,4,,,3061867.0,ns,39
Ed25519 batch signature verification,,4,,,4131860.0,ns,52
Ed25519 batch signature verification,,4,,,5094053.0,ns,65
Ed25519 batch signature verification,,4,,,6170740.0,ns,78
Ed25519 batch signature verification,,4,,,7184512.0,ns,91
Ed25519 batch signature verification,,4,,,8282670.0,ns,104
Ed25519 batch signature verification,,4,,,9225390.0,ns,117
Ed25519 batch signature verification,,4,,,10362797.0,ns,130
Ed25519 batch signature verification,,4,,,11428701.0,ns,143
Ed25519 batch signature verification,,4,,,12227402.0,ns,156
Ed25519 batch signature verification,,4,,,13246516.0,ns,169
Ed25519 batch signature verification,,4,,,14272032.0,ns,182
Ed25519 batch signature verification,,4,,,15278553.0,ns,195
Ed25519 batch signature verification,,4,,,16340518.0,ns,208
Ed25519 batch signature verification,,4,,,17319930.0,ns,221
Ed25519 batch signature verification,,4,,,18332012.0,ns,234
Ed25519 batch signature verification,,4,,,19458899.0,ns,247
Ed25519 batch signature verification,,4,,,20414443.0,ns,260
Ed25519 batch signature verification,,4,,,21418995.0,ns,273
Ed25519 batch signature verification,,4,,,22443714.0,ns,286
Ed25519 batch signature verification,,4,,,23422831.0,ns,299
Ed25519 batch signature verification,,4,,,24592711.0,ns,312
Ed25519 batch signature verification,,4,,,25467943.0,ns,325
Ed25519 batch signature verification,,4,,,26477907.0,ns,338
Ed25519 batch signature verification,,4,,,27582434.0,ns,351
Ed25519 batch signature verification,,4,,,28629154.0,ns,364
Ed25519 batch signature verification,,4,,,29751164.0,ns,377
Ed25519 batch signature verification,,4,,,30902606.0,ns,390
Ed25519 batch signature verification,,4,,,31579217.0,ns,403
Ed25519 batch signature verification,,4,,,32680314.0,ns,416
Ed25519 batch signature verification,,4,,,33605863.0,ns,429
Ed25519 batch signature verification,,4,,,34723644.0,ns,442
Ed25519 batch signature verification,,4,,,35668803.0,ns,455
Ed25519 batch signature verification,,4,,,36677105.0,ns,468
Ed25519 batch signature verification,,4,,,37732001.0,ns,481
Ed25519 batch signature verification,,4,,,38696928.0,ns,494
Ed25519 batch signature verification,,4,,,40020764.0,ns,507
Ed25519 batch signature verification,,4,,,40756278.0,ns,520
Ed25519 batch signature verification,,4,,,42201077.0,ns,533
Ed25519 batch signature verification,,4,,,42862990.0,ns,546
Ed25519 batch signature verification,,4,,,43860888.0,ns,559
Ed25519 batch signature verification,,4,,,44919729.0,ns,572
Ed25519 batch signature verification,,4,,,46206564.0,ns,585
Ed25519 batch signature verification,,4,,,47066580.0,ns,598
Ed25519 batch signature verification,,4,,,47945099.0,ns,611
Ed25519 batch signature verification,,4,,,49081687.0,ns,624
Ed25519 batch signature verification,,4,,,49935229.0,ns,637
Ed25519 batch signature verification,,4,,,51044994.0,ns,650
Ed25519 batch signature verification,,4,,,52335273.0,ns,663
Ed25519 batch signature verification,,4,,,53329919.0,ns,676
Ed25519 batch signature verification,,4,,,54715376.0,ns,689
Ed25519 batch signature verification,,4,,,55219536.0,ns,702
Ed25519 batch signature verification,,4,,,56061452.0,ns,715
Ed25519 batch signature verification,,4,,,57143140.0,ns,728
Ed25519 batch signature verification,,4,,,58208589.0,ns,741
Ed25519 batch signature verification,,4,,,58724406.0,ns,754
Ed25519 batch signature verification,,4,,,60191634.0,ns,767
Ed25519 batch signature verification,,4,,,61441094.0,ns,780
Ed25519 batch signature verification,,4,,,62213454.0,ns,793
Ed25519 batch signature verification,,4,,,63436829.0,ns,806
Ed25519 batch signature verification,,4,,,64522355.0,ns,819
Ed25519 batch signature verification,,4,,,65252451.0,ns,832
Ed25519 batch signature verification,,4,,,66283735.0,ns,845
Ed25519 batch signature verification,,4,,,67421344.0,ns,858
Ed25519 batch signature verification,,4,,,69053910.0,ns,871
Ed25519 batch signature verification,,4,,,69590965.0,ns,884
Ed25519 batch signature verification,,4,,,70827296.0,ns,897
Ed25519 batch signature verification,,4,,,71461413.0,ns,910
Ed25519 batch signature verification,,4,,,72483813.0,ns,923
Ed25519 batch signature verification,,4,,,73661094.0,ns,936
Ed25519 batch signature verification,,4,,,74516773.0,ns,949
Ed25519 batch signature verification,,4,,,75841045.0,ns,962
Ed25519 batch signature verification,,4,,,76882945.0,ns,975
Ed25519 batch signature verification,,4,,,77703390.0,ns,988
Ed25519 batch signature verification,,4,,,78839846.0,ns,1001
Ed25519 batch signature verification,,4,,,79653608.0,ns,1014
Ed25519 batch signature verification,,4,,,80643614.0,ns,1027
Ed25519 batch signature verification,,4,,,81646805.0,ns,1040
Ed25519 batch signature verification,,4,,,82624611.0,ns,1053
Ed25519 batch signature verification,,4,,,83943422.0,ns,1066
Ed25519 batch signature verification,,4,,,84954217.0,ns,1079
Ed25519 batch signature verification,,4,,,85900618.0,ns,1092
Ed25519 batch signature verification,,4,,,86385035.0,ns,1105
Ed25519 batch signature verification,,4,,,87733379.0,ns,1118
Ed25519 batch signature verification,,4,,,88956578.0,ns,1131
Ed25519 batch signature verification,,4,,,89953880.0,ns,1144
Ed25519 batch signature verification,,4,,,91368462.0,ns,1157
Ed25519 batch signature verification,,4,,,91832686.0,ns,1170
Ed25519 batch signature verification,,4,,,93164789.0,ns,1183
Ed25519 batch signature verification,,4,,,93854859.0,ns,1196
Ed25519 batch signature verification,,4,,,95273568.0,ns,1209
Ed25519 batch signature verification,,4,,,96075424.0,ns,1222
Ed25519 batch signature verification,,4,,,96885591.0,ns,1235
Ed25519 batch signature verification,,4,,,98039922.0,ns,1248
Ed25519 batch signature verification,,4,,,99484322.0,ns,1261
Ed25519 batch signature verification,,4,,,100251427.0,ns,1274
Ed25519 batch signature verification,,4,,,101511493.0,ns,1287
Ed25519 batch signature verification,,4,,,101989966.0,ns,1300
