group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,96,,,1219137.0,ns,1
Ed25519 batch signature verification,,96,,,2438985.0,ns,2
Ed25519 batch signature verification,,96,,,3649348.0,ns,3
Ed25519 batch signature verification,,96,,,4887665.0,ns,4
Ed25519 batch signature verification,,96,,,6093997.0,ns,5
Ed25519 batch signature verification,,96,,,7313763.0,ns,6
Ed25519 batch signature verification,,96,,,8739734.0,ns,7
Ed25519 batch signature verification,,96,,,9757366.0,ns,8
Ed25519 batch signature verification,,96,,,10962117.0,ns,9
Ed25519 batch signature verification,,96,,,12167522.0,ns,10
Ed25519 batch signature verification,,96,,,13428844.0,ns,11
Ed25519 batch signature verification,,96,,,14724427.0,ns,12
Ed25519 batch signature verification,,96,,,15821492.0,ns,13
Ed25519 batch signature verification,,96,,,17047988.0,ns,14
Ed25519 batch signature verification,,96,,,18262619.0,ns,15
Ed25519 batch signature verification,,96,,,19565539.0,ns,16
Ed25519 batch signature verification,,96,,,20697211.0,ns,17
Ed25519 batch signature verification,,96,,,21908955.0,ns,18
Ed25519 batch signature verification,,96,,,23121164.0,ns,19
Ed25519 batch signature verification,,96,,,24354538.0,ns,20
Ed25519 batch signature verification,,96,,,25610095.0,ns,21
Ed25519 batch signature verification,,96,,,26521352.0,ns,22
Ed25519 batch signature verification,,96,,,27834428.0,ns,23
Ed25519 batch signature verification,,96,,,29034108.0,ns,24
Ed25519 batch signature verification,,96,,,30077329.0,ns,25
Ed25519 batch signature verification,,96,,,32212206.0,ns,26
Ed25519 batch signature verification,,96,,,32882782.0,ns,27
Ed25519 batch signature verification,,96,,,34052250.0,ns,28
Ed25519 batch signature verification,,96,,,35326648.0,ns,29
Ed25519 batch signature verification,,96,,,36504454.0,ns,30
Ed25519 batch signature verification,,96,,,37577891.0,ns,31
Ed25519 batch signature verification,,96,,,38910762.0,ns,32
Ed25519 batch signature verification,,96,,,40009035.0,ns,33
Ed25519 batch signature verification,,96,,,41458092.0,ns,34
Ed25519 batch signature verification,,96,,,42846497.0,ns,35
Ed25519 batch signature verification,,96,,,43959831.0,ns,36
Ed25519 batch signature verification,,96,,,45039060.0,ns,37
Ed25519 batch signature verification,,96,,,46548170.0,ns,38
Ed25519 batch signature verification,,96,,,47648593.0,ns,39
Ed25519 batch signature verification,,96,,,48901728.0,ns,40
Ed25519 batch signature verification,,96,,,50203975.0,ns,41
Ed25519 batch signature verification,,96,,,51230649.0,ns,42
Ed25519 batch signature verification,,96,,,52081523.0,ns,43
Ed25519 batch signature verification,,96,,,53064350.0,ns,44
Ed25519 batch signature verification,,96,,,54574881.0,ns,45
Ed25519 batch signature verification,,96,,,55561842.0,ns,46
Ed25519 batch signature verification,,96,,,57591568.0,ns,47
Ed25519 batch signature verification,,96,,,58454735.0,ns,48
Ed25519 batch signature verification,,96,,,59632300.0,ns,49
Ed25519 batch signature verification,,96,,,61128329.0,ns,50
Ed25519 batch signature verification,,96,,,62065236.0,ns,51
Ed25519 batch signature verification,,96,,,63054070.0,ns,52
Ed25519 batch signature verification,,96,,,64553487.0,ns,53
Ed25519 batch signature verification,,96,,,65671005.0,ns,54
Ed25519 batch signature verification,,96,,,67112195.0,ns,55
Ed25519 batch signature verification,,96,,,68485558.0,ns,56
Ed25519 batch signature verification,,96,,,69450321.0,ns,57
Ed25519 batch signature verification,,96,,,71000686.0,ns,58
Ed25519 batch signature verification,,96,,,71902787.0,ns,59
Ed25519 batch signature verification,,96,,,72974871.0,ns,60
Ed25519 batch signature verification,,96,,,73896729.0,ns,61
Ed25519 batch signature verification,,96,,,75660085.0,ns,62
Ed25519 batch signature verification,,96,,,76762595.0,ns,63
Ed25519 batch signature verification,,96,,,78291152.0,ns,64
Ed25519 batch signature verification,,96,,,79183414.0,ns,65
Ed25519 batch signature verification,,96,,,80887182.0,ns,66
Ed25519 batch signature verification,,96,,,80692726.0,ns,67
Ed25519 batch signature verification,,96,,,83350094.0,ns,68
Ed25519 batch signature verification,,96,,,84333749.0,ns,69
Ed25519 batch signature verification,,96,,,85421977.0,ns,70
Ed25519 batch signature verification,,96,,,86422320.0,ns,71
Ed25519 batch signature verification,,96,,,87936181.0,ns,72
Ed25519 batch signature verification,,96,,,88920980.0,ns,73
Ed25519 batch signature verification,,96,,,89671571.0,ns,74
Ed25519 batch signature verification,,96,,,90613480.0,ns,75
Ed25519 batch signature verification,,96,,,92400111.0,ns,76
Ed25519 batch signature verification,,96,,,93264238.0,ns,77
Ed25519 batch signature verification,,96,,,95262420.0,ns,78
Ed25519 batch signature verification,,96,,,96567974.0,ns,79
Ed25519 batch signature verification,,96,,,97749701.0,ns,80
Ed25519 batch signature verification,,96,,,99150086.0,ns,81
Ed25519 batch signature verification,,96,,,100108155.0,ns,82
Ed25519 batch signature verification,,96,,,100559500.0,ns,83
Ed25519 batch signature verification,,96,,,102202121.0,ns,84
Ed25519 batch signature verification,,96,,,102296015.0,ns,85
Ed25519 batch signature verification,,96,,,103789701.0,ns,86
Ed25519 batch signature verification,,96,,,105979114.0,ns,87
Ed25519 batch signature verification,,96,,,108079264.0,ns,88
Ed25519 batch signature verification,,96,,,109112695.0,ns,89
Ed25519 batch signature verification,,96,,,109977828.0,ns,90
Ed25519 batch signature verification,,96,,,109942101.0,ns,91
Ed25519 batch signature verification,,96,,,111490428.0,ns,92
Ed25519 batch signature verification,,96,,,113582703.0,ns,93
Ed25519 batch signature verification,,96,,,114222036.0,ns,94
Ed25519 batch signature verification,,96,,,114228885.0,ns,95
Ed25519 batch signature verification,,96,,,116826864.0,ns,96
Ed25519 batch signature verification,,96,,,118001436.0,ns,97
Ed25519 batch signature verification,,96,,,119714598.0,ns,98
Ed25519 batch signature verification,,96,,,120768756.0,ns,99
Ed25519 batch signature verification,,96,,,121183142.0,ns,100
