group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,950206.0,ns,36
Ed25519 signature verification,,,,,1901703.0,ns,72
Ed25519 signature verification,,,,,2848631.0,ns,108
Ed25519 signature verification,,,,,3843167.0,ns,144
Ed25519 signature verification,,,,,4746468.0,ns,180
Ed25519 signature verification,,,,,5737819.0,ns,216
Ed25519 signature verification,,,,,6647733.0,ns,252
Ed25519 signature verification,,,,,7617926.0,ns,288
Ed25519 signature verification,,,,,8574888.0,ns,324
Ed25519 signature verification,,,,,9575501.0,ns,360
Ed25519 signature verification,,,,,10482944.0,ns,396
Ed25519 signature verification,,,,,11427534.0,ns,432
Ed25519 signature verification,,,,,12416498.0,ns,468
Ed25519 signature verification,,,,,13452733.0,ns,504
Ed25519 signature verification,,,,,14278083.0,ns,540
Ed25519 signature verification,,,,,15448407.0,ns,576
Ed25519 signature verification,,,,,16243968.0,ns,612
Ed25519 signature verification,,,,,17143068.0,ns,648
Ed25519 signature verification,,,,,18131860.0,ns,684
Ed25519 signature verification,,,,,19100476.0,ns,720
Ed25519 signature verification,,,,,19986239.0,ns,756
Ed25519 signature verification,,,,,20915917.0,ns,792
Ed25519 signature verification,,,,,21959241.0,ns,828
Ed25519 signature verification,,,,,22866521.0,ns,864
Ed25519 signature verification,,,,,24176882.0,ns,900
Ed25519 signature verification,,,,,26697335.0,ns,936
Ed25519 signature verification,,,,,26095001.0,ns,972
Ed25519 signature verification,,,,,26910088.0,ns,1008
Ed25519 signature verification,,,,,27648488.0,ns,1044
Ed25519 signature verification,,,,,28604262.0,ns,1080
Ed25519 signature verification,,,,,29571744.0,ns,1116
Ed25519 signature verification,,,,,30575336.0,ns,1152
Ed25519 signature verification,,,,,31517589.0,ns,1188
Ed25519 signature verification,,,,,32520095.0,ns,1224
Ed25519 signature verification,,,,,33547891.0,ns,1260
Ed25519 signature verification,,,,,34629122.0,ns,1296
Ed25519 signature verification,,,,,35334582.0,ns,1332
Ed25519 signature verification,,,,,36289174.0,ns,1368
Ed25519 signature verification,,,,,37210766.0,ns,1404
Ed25519 signature verification,,,,,38563160.0,ns,1440
Ed25519 signature verification,,,,,39460927.0,ns,1476
Ed25519 signature verification,,,,,40172043.0,ns,1512
Ed25519 signature verification,,,,,41119331.0,ns,1548
Ed25519 signature verification,,,,,41994174.0,ns,1584
Ed25519 signature verification,,,,,42971456.0,ns,1620
Ed25519 signature verification,,,,,43904150.0,ns,1656
Ed25519 signature verification,,,,,45257045.0,ns,1692
Ed25519 signature verification,,,,,45889716.0,ns,1728
Ed25519 signature verification,,,,,46727155.0,ns,1764
Ed25519 signature verification,,,,,47807196.0,ns,1800
Ed25519 signature verification,,,,,48655827.0,ns,1836
Ed25519 signature verification,,,,,49862699.0,ns,1872
Ed25519 signature verification,,,,,51146340.0,ns,1908
Ed25519 signature verification,,,,,51720070.0,ns,1944
Ed25519 signature verification,,,,,52536515.0,ns,1980
Ed25519 signature verification,,,,,53461446.0,ns,2016
Ed25519 signature verification,,,,,54392710.0,ns,2052
Ed25519 signature verification,,,,,55646160.0,ns,2088
Ed25519 signature verification,,,,,56329263.0,ns,2124
Ed25519 signature verification,,,,,57963630.0,ns,2160
Ed25519 signature verification,,,,,59005815.0,ns,2196
Ed25519 signature verification,,,,,59273730.0,ns,2232
Ed25519 signature verification,,,,,60162230.0,ns,2268
Ed25519 signature verification,,,,,61182283.0,ns,2304
Ed25519 signature verification,,,,,62043121.0,ns,2340
Ed25519 signature verification,,,,,63238696.0,ns,2376
Ed25519 signature verification,,,,,64040420.0,ns,2412
Ed25519 signature verification,,,,,64894825.0,ns,2448
Ed25519 signature verification,,,,,66135958.0,ns,2484
Ed25519 signature verification,,,,,66805948.0,ns,2520
Ed25519 signature verification,,,,,68039780.0,ns,2556
Ed25519 signature verification,,,,,68934751.0,ns,2592
Ed25519 signature verification,,,,,69626878.0,ns,2628
Ed25519 signature verification,,,,,70654897.0,ns,2664
Ed25519 signature verification,,,,,71741589.0,ns,2700
Ed25519 signature verification,,,,,72990527.0,ns,2736
Ed25519 signature verification,,,,,73615578.0,ns,2772
Ed25519 signature verification,,,,,74700614.0,ns,2808
Ed25519 signature verification,,,,,75636773.0,ns,2844
Ed25519 signature verification,,,,,76452762.0,ns,2880
Ed25519 signature verification,,,,,77765488.0,ns,2916
Ed25519 signature verification,,,,,78182315.0,ns,2952
Ed25519 signature verification,,,,,79297379.0,ns,2988
Ed25519 signature verification,,,,,80358242.0,ns,3024
Ed25519 signature verification,,,,,81162747.0,ns,3060
Ed25519 signature verification,,,,,82115442.0,ns,3096
Ed25519 signature verification,,,,,83186233.0,ns,3132
Ed25519 signature verification,,,,,84442364.0,ns,3168
Ed25519 signature verification,,,,,85286848.0,ns,3204
Ed25519 signature verification,,,,,85912459.0,ns,3240
Ed25519 signature verification,,,,,86410003.0,ns,3276
Ed25519 signature verification,,,,,87989555.0,ns,3312
Ed25519 signature verification,,,,,92325036.0,ns,3348
Ed25519 signature verification,,,,,90314225.0,ns,3384
Ed25519 signature verification,,,,,91085846.0,ns,3420
Ed25519 signature verification,,,,,91760658.0,ns,3456
Ed25519 signature verification,,,,,93351405.0,ns,3492
Ed25519 signature verification,,,,,94654726.0,ns,3528
Ed25519 signature verification,,,,,94881082.0,ns,3564
Ed25519 signature verification,,,,,95867514.0,ns,3600
