group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,917281.0,ns,37
Ed25519 strict signature verification,,,,,1857188.0,ns,74
Ed25519 strict signature verification,,,,,2756492.0,ns,111
Ed25519 strict signature verification,,,,,3668486.0,ns,148
Ed25519 strict signature verification,,,,,4590489.0,ns,185
Ed25519 strict signature verification,,,,,5505463.0,ns,222
Ed25519 strict signature verification,,,,,6425223.0,ns,259
Ed25519 strict signature verification,,,,,7342553.0,ns,296
Ed25519 strict signature verification,,,,,8264002.0,ns,333
Ed25519 strict signature verification,,,,,9176528.0,ns,370
Ed25519 strict signature verification,,,,,10095869.0,ns,407
Ed25519 strict signature verification,,,,,11012209.0,ns,444
Ed25519 strict signature verification,,,,,11932345.0,ns,481
Ed25519 strict signature verification,,,,,12897506.0,ns,518
Ed25519 strict signature verification,,,,,13770322.0,ns,555
Ed25519 strict signature verification,,,,,14680435.0,ns,592
Ed25519 strict signature verification,,,,,15737009.0,ns,629
Ed25519 strict signature verification,,,,,16518244.0,ns,666
Ed25519 strict signature verification,,,,,17492772.0,ns,703
Ed25519 strict signature verification,,,,,18353581.0,ns,740
Ed25519 strict signature verification,,,,,19325635.0,ns,777
Ed25519 strict signature verification,,,,,20339050.0,ns,814
Ed25519 strict signature verification,,,,,21140498.0,ns,851
Ed25519 strict signature verification,,,,,22032548.0,ns,888
Ed25519 strict signature verification,,,,,22959276.0,ns,925
Ed25519 strict signature verification,,,,,23903269.0,ns,962
Ed25519 strict signature verification,,,,,24786209.0,ns,999
Ed25519 strict signature verification,,,,,25701499.0,ns,1036
Ed25519 strict signature verification,,,,,26720800.0,ns,1073
Ed25519 strict signature verification,,,,,27786032.0,ns,1110
Ed25519 strict signature verification,,,,,28504453.0,ns,1147
Ed25519 strict signature verification,,,,,29535714.0,ns,1184
Ed25519 strict signature verification,,,,,30410013.0,ns,1221
Ed25519 strict signature verification,,,,,31269981.0,ns,1258
Ed25519 strict signature verification,,,,,32132449.0,ns,1295
Ed25519 strict signature verification,,,,,33128625.0,ns,1332
Ed25519 strict signature verification,,,,,34196786.0,ns,1369
Ed25519 strict signature verification,,,,,34972362.0,ns,1406
Ed25519 strict signature verification,,,,,36154757.0,ns,1443
Ed25519 strict signature verification,,,,,37135335.0,ns,1480
Ed25519 strict signature verification,,,,,37847226.0,ns,1517
Ed25519 strict signature verification,,,,,38691719.0,ns,1554
Ed25519 strict signature verification,,,,,39747201.0,ns,1591
Ed25519 strict signature verification,,,,,40818380.0,ns,1628
Ed25519 strict signature verification,,,,,41486764.0,ns,1665
Ed25519 strict signature verification,,,,,42357327.0,ns,1702
Ed25519 strict signature verification,,,,,43273127.0,ns,1739
Ed25519 strict signature verification,,,,,44188204.0,ns,1776
Ed25519 strict signature verification,,,,,45470988.0,ns,1813
Ed25519 strict signature verification,,,,,47018130.0,ns,1850
Ed25519 strict signature verification,,,,,47101146.0,ns,1887
Ed25519 strict signature verification,,,,,47843737.0,ns,1924
Ed25519 strict signature verification,,,,,48769647.0,ns,1961
Ed25519 strict signature verification,,,,,49713577.0,ns,1998
Ed25519 strict signature verification,,,,,50516514.0,ns,2035
Ed25519 strict signature verification,,,,,51939214.0,ns,2072
Ed25519 strict signature verification,,,,,52386846.0,ns,2109
Ed25519 strict signature verification,,,,,53454166.0,ns,2146
Ed25519 strict signature verification,,,,,54181349.0,ns,2183
Ed25519 strict signature verification,,,,,55240384.0,ns,2220
Ed25519 strict signature verification,,,,,56633528.0,ns,2257
Ed25519 strict signature verification,,,,,57137833.0,ns,2294
Ed25519 strict signature verification,,,,,57946886.0,ns,2331
Ed25519 strict signature verification,,,,,58952655.0,ns,2368
Ed25519 strict signature verification,,,,,59736827.0,ns,2405
Ed25519 strict signature verification,,,,,60645951.0,ns,2442
Ed25519 strict signature verification,,,,,61273367.0,ns,2479
Ed25519 strict signature verification,,,,,62110220.0,ns,2516
Ed25519 strict signature verification,,,,,62950878.0,ns,2553
Ed25519 strict signature verification,,,,,64015997.0,ns,2590
Ed25519 strict signature verification,,,,,64740528.0,ns,2627
Ed25519 strict signature verification,,,,,65397930.0,ns,2664
Ed25519 strict signature verification,,,,,67435256.0,ns,2701
Ed25519 strict signature verification,,,,,67808965.0,ns,2738
Ed25519 strict signature verification,,,,,69040526.0,ns,2775
Ed25519 strict signature verification,,,,,69833346.0,ns,2812
Ed25519 strict signature verification,,,,,70987772.0,ns,2849
