group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,32,,,1318853.0,ns,3
Ed25519 batch signature verification,,32,,,2622880.0,ns,6
Ed25519 batch signature verification,,32,,,4416654.0,ns,9
Ed25519 batch signature verification,,32,,,5291527.0,ns,12
Ed25519 batch signature verification,,32,,,6594200.0,ns,15
Ed25519 batch signature verification,,32,,,7887337.0,ns,18
Ed25519 batch signature verification,,32,,,9380769.0,ns,21
Ed25519 batch signature verification,,32,,,10610161.0,ns,24
Ed25519 batch signature verification,,32,,,11998818.0,ns,27
Ed25519 batch signature verification,,32,,,13151756.0,ns,30
Ed25519 batch signature verification,,32,,,14506792.0,ns,33
Ed25519 batch signature verification,,32,,,15891297.0,ns,36
Ed25519 batch signature verification,,32,,,17060285.0,ns,39
Ed25519 batch signature verification,,32,,,18381523.0,ns,42
Ed25519 batch signature verification,,32,,,19879046.0,ns,45
Ed25519 batch signature verification,,32,,,21073944.0,ns,48
Ed25519 batch signature verification,,32,,,22256781.0,ns,51
Ed25519 batch signature verification,,32,,,24466529.0,ns,54
Ed25519 batch signature verification,,32,,,25157513.0,ns,57
Ed25519 batch signature verification,,32,,,26647899.0,ns,60
Ed25519 batch signature verification,,32,,,28200167.0,ns,63
Ed25519 batch signature verification,,32,,,29692463.0,ns,66
Ed25519 batch signature verification,,32,,,31224509.0,ns,69
Ed25519 batch signature verification,,32,,,35050555.0,ns,72
Ed25519 batch signature verification,,32,,,34021927.0,ns,75
Ed25519 batch signature verification,,32,,,34879906.0,ns,78
Ed25519 batch signature verification,,32,,,36308208.0,ns,81
Ed25519 batch signature verification,,32,,,37541089.0,ns,84
Ed25519 batch signature verification,,32,,,38911130.0,ns,87
Ed25519 batch signature verification,,32,,,39913679.0,ns,90
Ed25519 batch signature verification,,32,,,40878884.0,ns,93
Ed25519 batch signature verification,,32,,,43088232.0,ns,96
Ed25519 batch signature verification,,32,,,45135641.0,ns,99
Ed25519 batch signature verification,,32,,,45782482.0,ns,102
Ed25519 batch signature verification,,32,,,46751762.0,ns,105
Ed25519 batch signature verification,,32,,,48167797.0,ns,108
Ed25519 batch signature verification,,32,,,48823884.0,ns,111
Ed25519 batch signature verification,,32,,,50223175.0,ns,114
Ed25519 batch signature verification,,32,,,51501674.0,ns,117
Ed25519 batch signature verification,,32,,,52960669.0,ns,120
Ed25519 batch signature verification,,32,,,53938620.0,ns,123
Ed25519 batch signature verification,,32,,,55558293.0,ns,126
Ed25519 batch signature verification,,32,,,56512020.0,ns,129
Ed25519 batch signature verification,,32,,,57938652.0,ns,132
Ed25519 batch signature verification,,32,,,60396825.0,ns,135
Ed25519 batch signature verification,,32,,,62775214.0,ns,138
Ed25519 batch signature verification,,32,,,65038131.0,ns,141
Ed25519 batch signature verification,,32,,,64814455.0,ns,144
Ed25519 batch signature verification,,32,,,67674215.0,ns,147
Ed25519 batch signature verification,,32,,,70563677.0,ns,150
Ed25519 batch signature verification,,32,,,68313061.0,ns,153
Ed25519 batch signature verification,,32,,,69824475.0,ns,156
Ed25519 batch signature verification,,32,,,70451051.0,ns,159
Ed25519 batch signature verification,,32,,,71502467.0,ns,162
Ed25519 batch signature verification,,32,,,72156557.0,ns,165
Ed25519 batch signature verification,,32,,,73801379.0,ns,168
Ed25519 batch signature verification,,32,,,75413151.0,ns,171
Ed25519 batch signature verification,,32,,,76320228.0,ns,174
Ed25519 batch signature verification,,32,,,77720930.0,ns,177
Ed25519 batch signature verification,,32,,,78990829.0,ns,180
Ed25519 batch signature verification,,32,,,81332166.0,ns,183
Ed25519 batch signature verification,,32,,,81381415.0,ns,186
Ed25519 batch signature verification,,32,,,83611860.0,ns,189
Ed25519 batch signature verification,,32,,,83929205.0,ns,192
Ed25519 batch signature verification,,32,,,89591184.0,ns,195
Ed25519 batch signature verification,,32,,,88443854.0,ns,198
Ed25519 batch signature verification,,32,,,88482024.0,ns,201
Ed25519 batch signature verification,,32,,,89964249.0,ns,204
