group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,4,,,1038621.0,ns,14
Ed25519 batch signature verification,,4,,,2071212.0,ns,28
Ed25519 batch signature verification,,4,,,3106457.0,ns,42
Ed25519 batch signature verification,,4,,,4142949.0,ns,56
Ed25519 batch signature verification,,4,,,5177511.0,ns,70
Ed25519 batch signature verification,,4,,,6215234.0,ns,84
Ed25519 batch signature verification,,4,,,7262095.0,ns,98
Ed25519 batch signature verification,,4,,,8323466.0,ns,112
Ed25519 batch signature verification,,4,,,9325468.0,ns,126
Ed25519 batch signature verification,,4,,,10357797.0,ns,140
Ed25519 batch signature verification,,4,,,11390076.0,ns,154
Ed25519 batch signature verification,,4,,,12465793.0,ns,168
Ed25519 batch signature verification,,4,,,13505814.0,ns,182
Ed25519 batch signature verification,,4,,,14500641.0,ns,196
Ed25519 batch signature verification,,4,,,15584867.0,ns,210
Ed25519 batch signature verification,,4,,,16608962.0,ns,224
Ed25519 batch signature verification,,4,,,17610919.0,ns,238
Ed25519 batch signature verification,,4,,,18811920.0,ns,252
Ed25519 batch signature verification,,4,,,19999144.0,ns,266
Ed25519 batch signature verification,,4,,,20759735.0,ns,280
Ed25519 batch signature verification,,4,,,21823673.0,ns,294
Ed25519 batch signature verification,,4,,,22819024.0,ns,308
Ed25519 batch signature verification,,4,,,23819456.0,ns,322
Ed25519 batch signature verification,,4,,,24985338.0,ns,336
Ed25519 batch signature verification,,4,,,26020756.0,ns,350
Ed25519 batch signature verification,,4,,,26918994.0,ns,364
Ed25519 batch signature verification,,4,,,28311042.0,ns,378
Ed25519 batch signature verification,,4,,,29170215.0,ns,392
Ed25519 batch signature verification,,4,,,30356779.0,ns,406
Ed25519 batch signature verification,,4,,,31120388.0,ns,420
Ed25519 batch signature verification,,4,,,32153178.0,ns,434
Ed25519 batch signature verification,,4,,,33200460.0,ns,448
Ed25519 batch signature verification,,4,,,34175412.0,ns,462
Ed25519 batch signature verification,,4,,,35308563.0,ns,476
Ed25519 batch signature verification,,4,,,36255186.0,ns,490
Ed25519 batch signature verification,,4,,,37534738.0,ns,504
Ed25519 batch signature verification,,4,,,38977259.0,ns,518
Ed25519 batch signature verification,,4,,,39743582.0,ns,532
Ed25519 batch signature verification,,4,,,40506320.0,ns,546
Ed25519 batch signature verification,,4,,,42056606.0,ns,560
Ed25519 batch signature verification,,4,,,42756252.0,ns,574
Ed25519 batch signature verification,,4,,,43588956.0,ns,588
Ed25519 batch signature verification,,4,,,44737288.0,ns,602
Ed25519 batch signature verification,,4,,,45697678.0,ns,616
Ed25519 batch signature verification,,4,,,46590185.0,ns,630
Ed25519 batch signature verification,,4,,,47719225.0,ns,644
Ed25519 batch signature verification,,4,,,48859439.0,ns,658
Ed25519 batch signature verification,,4,,,50192611.0,ns,672
Ed25519 batch signature verification,,4,,,50953083.0,ns,686
Ed25519 batch signature verification,,4,,,52118589.0,ns,700
Ed25519 batch signature verification,,4,,,53150903.0,ns,714
Ed25519 batch signature verification,,4,,,54284014.0,ns,728
Ed25519 batch signature verification,,4,,,56099549.0,ns,742
Ed25519 batch signature verification,,4,,,57115846.0,ns,756
Ed25519 batch signature verification,,4,,,59366844.0,ns,770
Ed25519 batch signature verification,,4,,,59232174.0,ns,784
Ed25519 batch signature verification,,4,,,60476501.0,ns,798
Ed25519 batch signature verification,,4,,,60574444.0,ns,812
Ed25519 batch signature verification,,4,,,61221179.0,ns,826
Ed25519 batch signature verification,,4,,,62552817.0,ns,840
Ed25519 batch signature verification,,4,,,63359850.0,ns,854
Ed25519 batch signature verification,,4,,,64394801.0,ns,868
Ed25519 batch signature verification,,4,,,65306639.0,ns,882
Ed25519 batch signature verification,,4,,,66425562.0,ns,896
Ed25519 batch signature verification,,4,,,67532182.0,ns,910
Ed25519 batch signature verification,,4,,,68998766.0,ns,924
Ed25519 batch signature verification,,4,,,69697526.0,ns,938
Ed25519 batch signature verification,,4,,,70789408.0,ns,952
Ed25519 batch signature verification,,4,,,71583385.0,ns,966
Ed25519 batch signature verification,,4,,,72711592.0,ns,980
Ed25519 batch signature verification,,4,,,73755393.0,ns,994
Ed25519 batch signature verification,,4,,,75472599.0,ns,1008
Ed25519 batch signature verification,,4,,,75884623.0,ns,1022
Ed25519 batch signature verification,,4,,,76851924.0,ns,1036
Ed25519 batch signature verification,,4,,,78840551.0,ns,1050
Ed25519 batch signature verification,,4,,,79239915.0,ns,1064
Ed25519 batch signature verification,,4,,,80138093.0,ns,1078
Ed25519 batch signature verification,,4,,,81221901.0,ns,1092
Ed25519 batch signature verification,,4,,,82256240.0,ns,1106
Ed25519 batch signature verification,,4,,,85117498.0,ns,1120
Ed25519 batch signature verification,,4,,,85306596.0,ns,1134
Ed25519 batch signature verification,,4,,,87326129.0,ns,1148
Ed25519 batch signature verification,,4,,,87485822.0,ns,1162
Ed25519 batch signature verification,,4,,,88910974.0,ns,1176
Ed25519 batch signature verification,,4,,,88681055.0,ns,1190
Ed25519 batch signature verification,,4,,,90652329.0,ns,1204
Ed25519 batch signature verification,,4,,,90938002.0,ns,1218
Ed25519 batch signature verification,,4,,,92095365.0,ns,1232
Ed25519 batch signature verification,,4,,,92753099.0,ns,1246
Ed25519 batch signature verification,,4,,,93639871.0,ns,1260
Ed25519 batch signature verification,,4,,,94732346.0,ns,1274
Ed25519 batch signature verification,,4,,,95607568.0,ns,1288
Ed25519 batch signature verification,,4,,,96382779.0,ns,1302
Ed25519 batch signature verification,,4,,,97663230.0,ns,1316
Ed25519 batch signature verification,,4,,,99693062.0,ns,1330
Ed25519 batch signature verification,,4,,,100834244.0,ns,1344
Ed25519 batch signature verification,,4,,,101118286.0,ns,1358
Ed25519 batch signature verification,,4,,,103475502.0,ns,1372
Ed25519 batch signature verification,,4,,,104141008.0,ns,1386
Ed25519 batch signature verification,,4,,,104423132.0,ns,1400
