group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,984986.0,ns,76
Ed25519 keypair generation,,,,,1963912.0,ns,152
Ed25519 keypair generation,,,,,2953472.0,ns,228
Ed25519 keypair generation,,,,,4008289.0,ns,304
Ed25519 keypair generation,,,,,4912493.0,ns,380
Ed25519 keypair generation,,,,,5973143.0,ns,456
Ed25519 keypair generation,,,,,7476952.0,ns,532
Ed25519 keypair generation,,,,,7949766.0,ns,608
Ed25519 keypair generation,,,,,8925062.0,ns,684
Ed25519 keypair generation,,,,,9871149.0,ns,760
Ed25519 keypair generation,,,,,10889591.0,ns,836
Ed25519 keypair generation,,,,,11934405.0,ns,912
Ed25519 keypair generation,,,,,12857070.0,ns,988
Ed25519 keypair generation,,,,,13912623.0,ns,1064
Ed25519 keypair generation,,,,,14845530.0,ns,1140
Ed25519 keypair generation,,,,,15807562.0,ns,1216
Ed25519 keypair generation,,,,,17282473.0,ns,1292
Ed25519 keypair generation,,,,,17880324.0,ns,1368
Ed25519 keypair generation,,,,,18754593.0,ns,1444
Ed25519 keypair generation,,,,,19830461.0,ns,1520
Ed25519 keypair generation,,,,,20633762.0,ns,1596
Ed25519 keypair generation,,,,,21619103.0,ns,1672
Ed25519 keypair generation,,,,,22767161.0,ns,1748
Ed25519 keypair generation,,,,,23684875.0,ns,1824
Ed25519 keypair generation,,,,,24654985.0,ns,1900
Ed25519 keypair generation,,,,,25680534.0,ns,1976
Ed25519 keypair generation,,,,,26578879.0,ns,2052
Ed25519 keypair generation,,,,,27630546.0,ns,2128
Ed25519 keypair generation,,,,,28494235.0,ns,2204
Ed25519 keypair generation,,,,,29548694.0,ns,2280
Ed25519 keypair generation,,,,,30512328.0,ns,2356
Ed25519 keypair generation,,,,,31569691.0,ns,2432
Ed25519 keypair generation,,,,,32889927.0,ns,2508
Ed25519 keypair generation,,,,,33670231.0,ns,2584
Ed25519 keypair generation,,,,,34643388.0,ns,2660
Ed25519 keypair generation,,,,,35469381.0,ns,2736
Ed25519 keypair generation,,,,,36464144.0,ns,2812
Ed25519 keypair generation,,,,,38144377.0,ns,2888
Ed25519 keypair generation,,,,,38827619.0,ns,2964
Ed25519 keypair generation,,,,,39569772.0,ns,3040
Ed25519 keypair generation,,,,,40659113.0,ns,3116
Ed25519 keypair generation,,,,,41496064.0,ns,3192
Ed25519 keypair generation,,,,,42487189.0,ns,3268
Ed25519 keypair generation,,,,,43451261.0,ns,3344
Ed25519 keypair generation,,,,,44381625.0,ns,3420
Ed25519 keypair generation,,,,,45551556.0,ns,3496
Ed25519 keypair generation,,,,,46735636.0,ns,3572
Ed25519 keypair generation,,,,,48238875.0,ns,3648
Ed25519 keypair generation,,,,,48337669.0,ns,3724
Ed25519 keypair generation,,,,,49378182.0,ns,3800
Ed25519 keypair generation,,,,,50596983.0,ns,3876
Ed25519 keypair generation,,,,,51390909.0,ns,3952
Ed25519 keypair generation,,,,,52471525.0,ns,4028
Ed25519 keypair generation,,,,,53373115.0,ns,4104
Ed25519 keypair generation,,,,,54402648.0,ns,4180
Ed25519 keypair generation,,,,,55236387.0,ns,4256
Ed25519 keypair generation,,,,,56194506.0,ns,4332
Ed25519 keypair generation,,,,,57657649.0,ns,4408
Ed25519 keypair generation,,,,,58561429.0,ns,4484
Ed25519 keypair generation,,,,,59327474.0,ns,4560
Ed25519 keypair generation,,,,,60630102.0,ns,4636
Ed25519 keypair generation,,,,,61430515.0,ns,4712
Ed25519 keypair generation,,,,,62387529.0,ns,4788
Ed25519 keypair generation,,,,,63286745.0,ns,4864
Ed25519 keypair generation,,,,,64850877.0,ns,4940
Ed25519 keypair generation,,,,,66633412.0,ns,5016
Ed25519 keypair generation,,,,,67007394.0,ns,5092
Ed25519 keypair generation,,,,,67193466.0,ns,5168
Ed25519 keypair generation,,,,,68144372.0,ns,5244
Ed25519 keypair generation,,,,,69017722.0,ns,5320
Ed25519 keypair generation,,,,,70039218.0,ns,5396
Ed25519 keypair generation,,,,,71059837.0,ns,5472
Ed25519 keypair generation,,,,,72023562.0,ns,5548
Ed25519 keypair generation,,,,,73533294.0,ns,5624
Ed25519 keypair generation,,,,,75626133.0,ns,5700
Ed25519 keypair generation,,,,,76419768.0,ns,5776
Ed25519 keypair generation,,,,,77251924.0,ns,5852
Ed25519 keypair generation,,,,,78069212.0,ns,5928
Ed25519 keypair generation,,,,,78139542.0,ns,6004
Ed25519 keypair generation,,,,,79466346.0,ns,6080
Ed25519 keypair generation,,,,,80232056.0,ns,6156
Ed25519 keypair generation,,,,,80757835.0,ns,6232
Ed25519 keypair generation,,,,,81766996.0,ns,6308
Ed25519 keypair generation,,,,,82696317.0,ns,6384
Ed25519 keypair generation,,,,,83803233.0,ns,6460
Ed25519 keypair generation,,,,,84752428.0,ns,6536
Ed25519 keypair generation,,,,,85744518.0,ns,6612
Ed25519 keypair generation,,,,,86916014.0,ns,6688
Ed25519 keypair generation,,,,,87539113.0,ns,6764
Ed25519 keypair generation,,,,,88523625.0,ns,6840
Ed25519 keypair generation,,,,,89972809.0,ns,6916
Ed25519 keypair generation,,,,,91041107.0,ns,6992
Ed25519 keypair generation,,,,,91809797.0,ns,7068
Ed25519 keypair generation,,,,,92602272.0,ns,7144
Ed25519 keypair generation,,,,,93712235.0,ns,7220
Ed25519 keypair generation,,,,,94608341.0,ns,7296
Ed25519 keypair generation,,,,,96313640.0,ns,7372
Ed25519 keypair generation,,,,,96722191.0,ns,7448
Ed25519 keypair generation,,,,,97886054.0,ns,7524
Ed25519 keypair generation,,,,,98549596.0,ns,7600
