group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,994151.0,ns,42
Ed25519 signature verification,,,,,2048963.0,ns,84
Ed25519 signature verification,,,,,2981622.0,ns,126
Ed25519 signature verification,,,,,4044448.0,ns,168
Ed25519 signature verification,,,,,5010817.0,ns,210
Ed25519 signature verification,,,,,6023272.0,ns,252
Ed25519 signature verification,,,,,7084568.0,ns,294
Ed25519 signature verification,,,,,7944853.0,ns,336
Ed25519 signature verification,,,,,9050598.0,ns,378
Ed25519 signature verification,,,,,10018384.0,ns,420
Ed25519 signature verification,,,,,10983065.0,ns,462
Ed25519 signature verification,,,,,11998055.0,ns,504
Ed25519 signature verification,,,,,13002577.0,ns,546
Ed25519 signature verification,,,,,14006581.0,ns,588
Ed25519 signature verification,,,,,15104107.0,ns,630
Ed25519 signature verification,,,,,16025564.0,ns,672
Ed25519 signature verification,,,,,17550402.0,ns,714
Ed25519 signature verification,,,,,18887059.0,ns,756
Ed25519 signature verification,,,,,19047716.0,ns,798
Ed25519 signature verification,,,,,19958405.0,ns,840
Ed25519 signature verification,,,,,21564259.0,ns,882
Ed25519 signature verification,,,,,21950333.0,ns,924
Ed25519 signature verification,,,,,23003792.0,ns,966
Ed25519 signature verification,,,,,23956646.0,ns,1008
Ed25519 signature verification,,,,,24970874.0,ns,1050
Ed25519 signature verification,,,,,25958060.0,ns,1092
Ed25519 signature verification,,,,,27099127.0,ns,1134
Ed25519 signature verification,,,,,28116725.0,ns,1176
Ed25519 signature verification,,,,,29000094.0,ns,1218
Ed25519 signature verification,,,,,29887620.0,ns,1260
Ed25519 signature verification,,,,,31106885.0,ns,1302
Ed25519 signature verification,,,,,32067321.0,ns,1344
Ed25519 signature verification,,,,,32959891.0,ns,1386
Ed25519 signature verification,,,,,33967986.0,ns,1428
Ed25519 signature verification,,,,,34929211.0,ns,1470
Ed25519 signature verification,,,,,35827581.0,ns,1512
Ed25519 signature verification,,,,,36915338.0,ns,1554
Ed25519 signature verification,,,,,38276329.0,ns,1596
Ed25519 signature verification,,,,,39016830.0,ns,1638
Ed25519 signature verification,,,,,40122862.0,ns,1680
Ed25519 signature verification,,,,,40956396.0,ns,1722
Ed25519 signature verification,,,,,41935506.0,ns,1764
Ed25519 signature verification,,,,,43522325.0,ns,1806
Ed25519 signature verification,,,,,45277885.0,ns,1848
Ed25519 signature verification,,,,,45564639.0,ns,1890
Ed25519 signature verification,,,,,46944634.0,ns,1932
Ed25519 signature verification,,,,,47526293.0,ns,1974
Ed25519 signature verification,,,,,48131429.0,ns,2016
Ed25519 signature verification,,,,,49142473.0,ns,2058
Ed25519 signature verification,,,,,50067742.0,ns,2100
Ed25519 signature verification,,,,,50962410.0,ns,2142
Ed25519 signature verification,,,,,52109473.0,ns,2184
Ed25519 signature verification,,,,,52893908.0,ns,2226
Ed25519 signature verification,,,,,53873020.0,ns,2268
Ed25519 signature verification,,,,,54959799.0,ns,2310
Ed25519 signature verification,,,,,56048231.0,ns,2352
Ed25519 signature verification,,,,,56842971.0,ns,2394
Ed25519 signature verification,,,,,58098874.0,ns,2436
Ed25519 signature verification,,,,,60115099.0,ns,2478
Ed25519 signature verification,,,,,61236434.0,ns,2520
Ed25519 signature verification,,,,,62120888.0,ns,2562
Ed25519 signature verification,,,,,62178027.0,ns,2604
Ed25519 signature verification,,,,,63029162.0,ns,2646
Ed25519 signature verification,,,,,64502787.0,ns,2688
Ed25519 signature verification,,,,,64984595.0,ns,2730
Ed25519 signature verification,,,,,66377503.0,ns,2772
Ed25519 signature verification,,,,,66984697.0,ns,2814
Ed25519 signature verification,,,,,68157687.0,ns,2856
Ed25519 signature verification,,,,,69243881.0,ns,2898
Ed25519 signature verification,,,,,69786817.0,ns,2940
Ed25519 signature verification,,,,,70990981.0,ns,2982
Ed25519 signature verification,,,,,72053456.0,ns,3024
Ed25519 signature verification,,,,,73001182.0,ns,3066
Ed25519 signature verification,,,,,73944939.0,ns,3108
Ed25519 signature verification,,,,,75432499.0,ns,3150
Ed25519 signature verification,,,,,76030176.0,ns,3192
Ed25519 signature verification,,,,,77004356.0,ns,3234
Ed25519 signature verification,,,,,77813073.0,ns,3276
Ed25519 signature verification,,,,,78938896.0,ns,3318
Ed25519 signature verification,,,,,80126555.0,ns,3360
Ed25519 signature verification,,,,,81224541.0,ns,3402
Ed25519 signature verification,,,,,82409946.0,ns,3444
Ed25519 signature verification,,,,,83127414.0,ns,3486
Ed25519 signature verification,,,,,83915737.0,ns,3528
Ed25519 signature verification,,,,,84944794.0,ns,3570
Ed25519 signature verification,,,,,85998225.0,ns,3612
Ed25519 signature verification,,,,,87398334.0,ns,3654
Ed25519 signature verification,,,,,88009054.0,ns,3696
Ed25519 signature verification,,,,,89186279.0,ns,3738
Ed25519 signature verification,,,,,89933689.0,ns,3780
Ed25519 signature verification,,,,,91533122.0,ns,3822
Ed25519 signature verification,,,,,92716504.0,ns,3864
Ed25519 signature verification,,,,,92978290.0,ns,3906
Ed25519 signature verification,,,,,93851637.0,ns,3948
Ed25519 signature verification,,,,,94126629.0,ns,3990
Ed25519 signature verification,,,,,94977735.0,ns,4032
Ed25519 signature verification,,,,,96602089.0,ns,4074
Ed25519 signature verification,,,,,98200160.0,ns,4116
Ed25519 signature verification,,,,,99099858.0,ns,4158
Ed25519 signature verification,,,,,99354488.0,ns,4200
