group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,986301.0,ns,72
Ed25519 signing,,,,,1985766.0,ns,144
Ed25519 signing,,,,,2958277.0,ns,216
Ed25519 signing,,,,,4027446.0,ns,288
Ed25519 signing,,,,,4944171.0,ns,360
Ed25519 signing,,,,,5935367.0,ns,432
Ed25519 signing,,,,,7026503.0,ns,504
Ed25519 signing,,,,,7909171.0,ns,576
Ed25519 signing,,,,,8894782.0,ns,648
Ed25519 signing,,,,,9884355.0,ns,720
Ed25519 signing,,,,,10908401.0,ns,792
Ed25519 signing,,,,,11856866.0,ns,864
Ed25519 signing,,,,,13375932.0,ns,936
Ed25519 signing,,,,,14144555.0,ns,1008
Ed25519 signing,,,,,14816251.0,ns,1080
Ed25519 signing,,,,,15855305.0,ns,1152
Ed25519 signing,,,,,16801976.0,ns,1224
Ed25519 signing,,,,,17826992.0,ns,1296
Ed25519 signing,,,,,18794109.0,ns,1368
Ed25519 signing,,,,,19800434.0,ns,1440
Ed25519 signing,,,,,20788764.0,ns,1512
Ed25519 signing,,,,,21716547.0,ns,1584
Ed25519 signing,,,,,22749208.0,ns,1656
Ed25519 signing,,,,,23656996.0,ns,1728
Ed25519 signing,,,,,24996208.0,ns,1800
Ed25519 signing,,,,,25700464.0,ns,1872
Ed25519 signing,,,,,26437336.0,ns,1944
Ed25519 signing,,,,,27655860.0,ns,2016
Ed25519 signing,,,,,28681848.0,ns,2088
Ed25519 signing,,,,,29621266.0,ns,2160
Ed25519 signing,,,,,30625858.0,ns,2232
Ed25519 signing,,,,,32016266.0,ns,2304
Ed25519 signing,,,,,32673319.0,ns,2376
Ed25519 signing,,,,,33715227.0,ns,2448
Ed25519 signing,,,,,34583892.0,ns,2520
Ed25519 signing,,,,,35561284.0,ns,2592
Ed25519 signing,,,,,36585341.0,ns,2664
Ed25519 signing,,,,,37366546.0,ns,2736
Ed25519 signing,,,,,38321259.0,ns,2808
Ed25519 signing,,,,,39371821.0,ns,2880
Ed25519 signing,,,,,40912256.0,ns,2952
Ed25519 signing,,,,,41467319.0,ns,3024
Ed25519 signing,,,,,42971053.0,ns,3096
Ed25519 signing,,,,,43472397.0,ns,3168
Ed25519 signing,,,,,44468338.0,ns,3240
Ed25519 signing,,,,,45569608.0,ns,3312
Ed25519 signing,,,,,46485685.0,ns,3384
Ed25519 signing,,,,,47599013.0,ns,3456
Ed25519 signing,,,,,48636547.0,ns,3528
Ed25519 signing,,,,,49413278.0,ns,3600
Ed25519 signing,,,,,50476656.0,ns,3672
Ed25519 signing,,,,,51476048.0,ns,3744
Ed25519 signing,,,,,52645436.0,ns,3816
Ed25519 signing,,,,,53382648.0,ns,3888
Ed25519 signing,,,,,54993427.0,ns,3960
Ed25519 signing,,,,,55374100.0,ns,4032
Ed25519 signing,,,,,56539034.0,ns,4104
Ed25519 signing,,,,,57417175.0,ns,4176
Ed25519 signing,,,,,58342268.0,ns,4248
Ed25519 signing,,,,,59619014.0,ns,4320
Ed25519 signing,,,,,60912428.0,ns,4392
Ed25519 signing,,,,,61509009.0,ns,4464
Ed25519 signing,,,,,62377643.0,ns,4536
Ed25519 signing,,,,,62476314.0,ns,4608
Ed25519 signing,,,,,64016042.0,ns,4680
Ed25519 signing,,,,,64460236.0,ns,4752
Ed25519 signing,,,,,65594477.0,ns,4824
Ed25519 signing,,,,,66449110.0,ns,4896
Ed25519 signing,,,,,67898960.0,ns,4968
Ed25519 signing,,,,,69319413.0,ns,5040
Ed25519 signing,,,,,70465450.0,ns,5112
Ed25519 signing,,,,,71221028.0,ns,5184
Ed25519 signing,,,,,72235507.0,ns,5256
Ed25519 signing,,,,,72794996.0,ns,5328
Ed25519 signing,,,,,73431158.0,ns,5400
Ed25519 signing,,,,,76194430.0,ns,5472
Ed25519 signing,,,,,76611599.0,ns,5544
Ed25519 signing,,,,,77509549.0,ns,5616
Ed25519 signing,,,,,78309745.0,ns,5688
Ed25519 signing,,,,,79605319.0,ns,5760
Ed25519 signing,,,,,80220943.0,ns,5832
Ed25519 signing,,,,,81337705.0,ns,5904
Ed25519 signing,,,,,82240275.0,ns,5976
Ed25519 signing,,,,,83508493.0,ns,6048
Ed25519 signing,,,,,84155394.0,ns,6120
Ed25519 signing,,,,,85851663.0,ns,6192
Ed25519 signing,,,,,87051305.0,ns,6264
Ed25519 signing,,,,,87922252.0,ns,6336
Ed25519 signing,,,,,88496213.0,ns,6408
Ed25519 signing,,,,,89426730.0,ns,6480
Ed25519 signing,,,,,90082431.0,ns,6552
Ed25519 signing,,,,,90488154.0,ns,6624
Ed25519 signing,,,,,91491110.0,ns,6696
Ed25519 signing,,,,,92678623.0,ns,6768
Ed25519 signing,,,,,94205087.0,ns,6840
Ed25519 signing,,,,,95174977.0,ns,6912
Ed25519 signing,,,,,96144667.0,ns,6984
Ed25519 signing,,,,,96957484.0,ns,7056
Ed25519 signing,,,,,98537234.0,ns,7128
Ed25519 signing,,,,,99110007.0,ns,7200
