group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,1050768.0,ns,40
Ed25519 strict signature verification,,,,,2011098.0,ns,80
Ed25519 strict signature verification,,,,,3021463.0,ns,120
Ed25519 strict signature verification,,,,,4026626.0,ns,160
Ed25519 strict signature verification,,,,,5160685.0,ns,200
Ed25519 strict signature verification,,,,,6088745.0,ns,240
Ed25519 strict signature verification,,,,,7047519.0,ns,280
Ed25519 strict signature verification,,,,,8050369.0,ns,320
Ed25519 strict signature verification,,,,,9056536.0,ns,360
Ed25519 strict signature verification,,,,,10163390.0,ns,400
Ed25519 strict signature verification,,,,,11104802.0,ns,440
Ed25519 strict signature verification,,,,,12106873.0,ns,480
Ed25519 strict signature verification,,,,,13115731.0,ns,520
Ed25519 strict signature verification,,,,,14124211.0,ns,560
Ed25519 strict signature verification,,,,,15120439.0,ns,600
Ed25519 strict signature verification,,,,,16174152.0,ns,640
Ed25519 strict signature verification,,,,,17155994.0,ns,680
Ed25519 strict signature verification,,,,,18214503.0,ns,720
Ed25519 strict signature verification,,,,,19204340.0,ns,760
Ed25519 strict signature verification,,,,,20177752.0,ns,800
Ed25519 strict signature verification,,,,,21173382.0,ns,840
Ed25519 strict signature verification,,,,,22230326.0,ns,880
Ed25519 strict signature verification,,,,,23570501.0,ns,920
Ed25519 strict signature verification,,,,,24501896.0,ns,960
Ed25519 strict signature verification,,,,,25227382.0,ns,1000
Ed25519 strict signature verification,,,,,26243556.0,ns,1040
Ed25519 strict signature verification,,,,,27251223.0,ns,1080
Ed25519 strict signature verification,,,,,28670176.0,ns,1120
Ed25519 strict signature verification,,,,,29657728.0,ns,1160
Ed25519 strict signature verification,,,,,30217466.0,ns,1200
Ed25519 strict signature verification,,,,,31222584.0,ns,1240
Ed25519 strict signature verification,,,,,32314682.0,ns,1280
Ed25519 strict signature verification,,,,,33308230.0,ns,1320
Ed25519 strict signature verification,,,,,34236782.0,ns,1360
Ed25519 strict signature verification,,,,,35334382.0,ns,1400
Ed25519 strict signature verification,,,,,36529293.0,ns,1440
Ed25519 strict signature verification,,,,,37348709.0,ns,1480
Ed25519 strict signature verification,,,,,38346982.0,ns,1520
Ed25519 strict signature verification,,,,,39721610.0,ns,1560
Ed25519 strict signature verification,,,,,40412486.0,ns,1600
Ed25519 strict signature verification,,,,,41432736.0,ns,1640
Ed25519 strict signature verification,,,,,42670203.0,ns,1680
Ed25519 strict signature verification,,,,,43867199.0,ns,1720
Ed25519 strict signature verification,,,,,44382354.0,ns,1760
Ed25519 strict signature verification,,,,,45422248.0,ns,1800
Ed25519 strict signature verification,,,,,46404279.0,ns,1840
Ed25519 strict signature verification,,,,,47534611.0,ns,1880
Ed25519 strict signature verification,,,,,48536742.0,ns,1920
Ed25519 strict signature verification,,,,,49613396.0,ns,1960
Ed25519 strict signature verification,,,,,51014376.0,ns,2000
Ed25519 strict signature verification,,,,,51641137.0,ns,2040
Ed25519 strict signature verification,,,,,52534791.0,ns,2080
Ed25519 strict signature verification,,,,,53596834.0,ns,2120
Ed25519 strict signature verification,,,,,54738251.0,ns,2160
Ed25519 strict signature verification,,,,,55460775.0,ns,2200
Ed25519 strict signature verification,,,,,56531282.0,ns,2240
Ed25519 strict signature verification,,,,,57687671.0,ns,2280
Ed25519 strict signature verification,,,,,58735281.0,ns,2320
Ed25519 strict signature verification,,,,,59484370.0,ns,2360
Ed25519 strict signature verification,,,,,61328394.0,ns,2400
Ed25519 strict signature verification,,,,,61959229.0,ns,2440
Ed25519 strict signature verification,,,,,62581961.0,ns,2480
Ed25519 strict signature verification,,,,,63847939.0,ns,2520
Ed25519 strict signature verification,,,,,64616157.0,ns,2560
Ed25519 strict signature verification,,,,,65793466.0,ns,2600
Ed25519 strict signature verification,,,,,66509275.0,ns,2640
Ed25519 strict signature verification,,,,,67959635.0,ns,2680
Ed25519 strict signature verification,,,,,68699976.0,ns,2720
Ed25519 strict signature verification,,,,,69752785.0,ns,2760
Ed25519 strict signature verification,,,,,70714921.0,ns,2800
Ed25519 strict signature verification,,,,,71799198.0,ns,2840
Ed25519 strict signature verification,,,,,72639938.0,ns,2880
Ed25519 strict signature verification,,,,,73585382.0,ns,2920
Ed25519 strict signature verification,,,,,76154350.0,ns,2960
Ed25519 strict signature verification,,,,,75882595.0,ns,3000
Ed25519 strict signature verification,,,,,76975754.0,ns,3040
Ed25519 strict signature verification,,,,,77974976.0,ns,3080
