group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,16,,,1339556.0,ns,2
Ed25519 batch signature verification,,16,,,2592655.0,ns,4
Ed25519 batch signature verification,,16,,,3883508.0,ns,6
Ed25519 batch signature verification,,16,,,5181761.0,ns,8
Ed25519 batch signature verification,,16,,,6477644.0,ns,10
Ed25519 batch signature verification,,16,,,7821028.0,ns,12
Ed25519 batch signature verification,,16,,,9112982.0,ns,14
Ed25519 batch signature verification,,16,,,10410041.0,ns,16
Ed25519 batch signature verification,,16,,,12060603.0,ns,18
Ed25519 batch signature verification,,16,,,13046619.0,ns,20
Ed25519 batch signature verification,,16,,,14468933.0,ns,22
Ed25519 batch signature verification,,16,,,15664790.0,ns,24
Ed25519 batch signature verification,,16,,,16930439.0,ns,26
Ed25519 batch signature verification,,16,,,18348198.0,ns,28
Ed25519 batch signature verification,,16,,,19685892.0,ns,30
Ed25519 batch signature verification,,16,,,20899824.0,ns,32
Ed25519 batch signature verification,,16,,,22218269.0,ns,34
Ed25519 batch signature verification,,16,,,23372131.0,ns,36
Ed25519 batch signature verification,,16,,,24786148.0,ns,38
Ed25519 batch signature verification,,16,,,26211496.0,ns,40
Ed25519 batch signature verification,,16,,,27331551.0,ns,42
Ed25519 batch signature verification,,16,,,28613706.0,ns,44
Ed25519 batch signature verification,,16,,,29965839.0,ns,46
Ed25519 batch signature verification,,16,,,31210468.0,ns,48
Ed25519 batch signature verification,,16,,,32906103.0,ns,50
Ed25519 batch signature verification,,16,,,33869875.0,ns,52
Ed25519 batch signature verification,,16,,,35262159.0,ns,54
Ed25519 batch signature verification,,16,,,36429661.0,ns,56
Ed25519 batch signature verification,,16,,,37691937.0,ns,58
Ed25519 batch signature verification,,16,,,39146146.0,ns,60
Ed25519 batch signature verification,,16,,,40460995.0,ns,62
Ed25519 batch signature verification,,16,,,41796647.0,ns,64
Ed25519 batch signature verification,,16,,,42956686.0,ns,66
Ed25519 batch signature verification,,16,,,44609456.0,ns,68
Ed25519 batch signature verification,,16,,,45731106.0,ns,70
Ed25519 batch signature verification,,16,,,46980539.0,ns,72
Ed25519 batch signature verification,,16,,,48083920.0,ns,74
Ed25519 batch signature verification,,16,,,49536650.0,ns,76
Ed25519 batch signature verification,,16,,,50786877.0,ns,78
Ed25519 batch signature verification,,16,,,52917748.0,ns,80
Ed25519 batch signature verification,,16,,,53348637.0,ns,82
Ed25519 batch signature verification,,16,,,54678890.0,ns,84
Ed25519 batch signature verification,,16,,,55957057.0,ns,86
Ed25519 batch signature verification,,16,,,57373767.0,ns,88
Ed25519 batch signature verification,,16,,,58514034.0,ns,90
Ed25519 batch signature verification,,16,,,59928329.0,ns,92
Ed25519 batch signature verification,,16,,,61282646.0,ns,94
Ed25519 batch signature verification,,16,,,62427695.0,ns,96
Ed25519 batch signature verification,,16,,,63780951.0,ns,98
Ed25519 batch signature verification,,16,,,65289080.0,ns,100
Ed25519 batch signature verification,,16,,,66391386.0,ns,102
Ed25519 batch signature verification,,16,,,68039997.0,ns,104
Ed25519 batch signature verification,,16,,,69388615.0,ns,106
Ed25519 batch signature verification,,16,,,70564184.0,ns,108
Ed25519 batch signature verification,,16,,,72968338.0,ns,110
Ed25519 batch signature verification,,16,,,73177284.0,ns,112
Ed25519 batch signature verification,,16,,,74783509.0,ns,114
Ed25519 batch signature verification,,16,,,75402688.0,ns,116
Ed25519 batch signature verification,,16,,,76906970.0,ns,118
Ed25519 batch signature verification,,16,,,78425892.0,ns,120
Ed25519 batch signature verification,,16,,,79300212.0,ns,122
Ed25519 batch signature verification,,16,,,80992108.0,ns,124
Ed25519 batch signature verification,,16,,,81840358.0,ns,126
Ed25519 batch signature verification,,16,,,82973488.0,ns,128
Ed25519 batch signature verification,,16,,,84966421.0,ns,130
