group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,96,,,50645045.0,ns,13
Ed25519 batch signature verification,,96,,,50307667.0,ns,13
Ed25519 batch signature verification,,96,,,50340371.0,ns,13
Ed25519 batch signature verification,,96,,,50365620.0,ns,13
Ed25519 batch signature verification,,96,,,50609370.0,ns,13
Ed25519 batch signature verification,,96,,,50571103.0,ns,13
Ed25519 batch signature verification,,96,,,50474137.0,ns,13
Ed25519 batch signature verification,,96,,,50748646.0,ns,13
Ed25519 batch signature verification,,96,,,50527448.0,ns,13
Ed25519 batch signature verification,,96,,,50296603.0,ns,13
Ed25519 batch signature verification,,96,,,50338175.0,ns,13
Ed25519 batch signature verification,,96,,,50371668.0,ns,13
Ed25519 batch signature verification,,96,,,50442963.0,ns,13
Ed25519 batch signature verification,,96,,,50409145.0,ns,13
Ed25519 batch signature verification,,96,,,50492468.0,ns,13
Ed25519 batch signature verification,,96,,,50883524.0,ns,13
Ed25519 batch signature verification,,96,,,50366759.0,ns,13
Ed25519 batch signature verification,,96,,,50378463.0,ns,13
Ed25519 batch signature verification,,96,,,50851764.0,ns,13
Ed25519 batch signature verification,,96,,,50363391.0,ns,13
Ed25519 batch signature verification,,96,,,50306258.0,ns,13
Ed25519 batch signature verification,,96,,,50383662.0,ns,13
Ed25519 batch signature verification,,96,,,50685552.0,ns,13
Ed25519 batch signature verification,,96,,,50339462.0,ns,13
Ed25519 batch signature verification,,96,,,50447608.0,ns,13
Ed25519 batch signature verification,,96,,,50669127.0,ns,13
Ed25519 batch signature verification,,96,,,50512492.0,ns,13
Ed25519 batch signature verification,,96,,,50348615.0,ns,13
Ed25519 batch signature verification,,96,,,50256237.0,ns,13
Ed25519 batch signature verification,,96,,,50398320.0,ns,13
Ed25519 batch signature verification,,96,,,50512650.0,ns,13
Ed25519 batch signature verification,,96,,,50300870.0,ns,13
Ed25519 batch signature verification,,96,,,50307697.0,ns,13
Ed25519 batch signature verification,,96,,,50502979.0,ns,13
Ed25519 batch signature verification,,96,,,50347263.0,ns,13
Ed25519 batch signature verification,,96,,,50467120.0,ns,13
Ed25519 batch signature verification,,96,,,50555603.0,ns,13
Ed25519 batch signature verification,,96,,,50405777.0,ns,13
Ed25519 batch signature verification,,96,,,50327705.0,ns,13
Ed25519 batch signature verification,,96,,,50402415.0,ns,13
Ed25519 batch signature verification,,96,,,50612895.0,ns,13
Ed25519 batch signature verification,,96,,,50402491.0,ns,13
Ed25519 batch signature verification,,96,,,50614740.0,ns,13
Ed25519 batch signature verification,,96,,,50280736.0,ns,13
Ed25519 batch signature verification,,96,,,50421732.0,ns,13
Ed25519 batch signature verification,,96,,,50669525.0,ns,13
Ed25519 batch signature verification,,96,,,50517995.0,ns,13
Ed25519 batch signature verification,,96,,,51008905.0,ns,13
Ed25519 batch signature verification,,96,,,50307253.0,ns,13
Ed25519 batch signature verification,,96,,,50329131.0,ns,13
Ed25519 batch signature verification,,96,,,50491761.0,ns,13
Ed25519 batch signature verification,,96,,,50652139.0,ns,13
Ed25519 batch signature verification,,96,,,50415894.0,ns,13
Ed25519 batch signature verification,,96,,,50350084.0,ns,13
Ed25519 batch signature verification,,96,,,50310968.0,ns,13
Ed25519 batch signature verification,,96,,,50339616.0,ns,13
Ed25519 batch signature verification,,96,,,50511005.0,ns,13
Ed25519 batch signature verification,,96,,,51206865.0,ns,13
Ed25519 batch signature verification,,96,,,50596446.0,ns,13
Ed25519 batch signature verification,,96,,,50322303.0,ns,13
Ed25519 batch signature verification,,96,,,50591973.0,ns,13
Ed25519 batch signature verification,,96,,,50456428.0,ns,13
Ed25519 batch signature verification,,96,,,50411257.0,ns,13
Ed25519 batch signature verification,,96,,,50549927.0,ns,13
Ed25519 batch signature verification,,96,,,50360666.0,ns,13
Ed25519 batch signature verification,,96,,,50422968.0,ns,13
Ed25519 batch signature verification,,96,,,50367195.0,ns,13
Ed25519 batch signature verification,,96,,,50330643.0,ns,13
Ed25519 batch signature verification,,96,,,50315885.0,ns,13
Ed25519 batch signature verification,,96,,,50406857.0,ns,13
Ed25519 batch signature verification,,96,,,50319092.0,ns,13
Ed25519 batch signature verification,,96,,,50536655.0,ns,13
Ed25519 batch signature verification,,96,,,50429442.0,ns,13
Ed25519 batch signature verification,,96,,,50334992.0,ns,13
