group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,1017725.0,ns,33
Ed25519 keypair generation,,,,,2024598.0,ns,66
Ed25519 keypair generation,,,,,3029362.0,ns,99
Ed25519 keypair generation,,,,,4039294.0,ns,132
Ed25519 keypair generation,,,,,5054310.0,ns,165
Ed25519 keypair generation,,,,,6061633.0,ns,198
Ed25519 keypair generation,,,,,7071341.0,ns,231
Ed25519 keypair generation,,,,,8098052.0,ns,264
Ed25519 keypair generation,,,,,9105125.0,ns,297
Ed25519 keypair generation,,,,,10128020.0,ns,330
Ed25519 keypair generation,,,,,10950280.0,ns,363
Ed25519 keypair generation,,,,,11909074.0,ns,396
Ed25519 keypair generation,,,,,12865358.0,ns,429
Ed25519 keypair generation,,,,,13854639.0,ns,462
Ed25519 keypair generation,,,,,14890469.0,ns,495
Ed25519 keypair generation,,,,,15840898.0,ns,528
Ed25519 keypair generation,,,,,16820341.0,ns,561
Ed25519 keypair generation,,,,,17728232.0,ns,594
Ed25519 keypair generation,,,,,18553659.0,ns,627
Ed25519 keypair generation,,,,,19479447.0,ns,660
Ed25519 keypair generation,,,,,20594085.0,ns,693
Ed25519 keypair generation,,,,,22046609.0,ns,726
Ed25519 keypair generation,,,,,22514850.0,ns,759
Ed25519 keypair generation,,,,,23389974.0,ns,792
Ed25519 keypair generation,,,,,24315749.0,ns,825
Ed25519 keypair generation,,,,,25418866.0,ns,858
Ed25519 keypair generation,,,,,26344581.0,ns,891
Ed25519 keypair generation,,,,,27580056.0,ns,924
Ed25519 keypair generation,,,,,28285691.0,ns,957
Ed25519 keypair generation,,,,,29541548.0,ns,990
Ed25519 keypair generation,,,,,30364317.0,ns,1023
Ed25519 keypair generation,,,,,31376101.0,ns,1056
Ed25519 keypair generation,,,,,32203353.0,ns,1089
Ed25519 keypair generation,,,,,33326891.0,ns,1122
Ed25519 keypair generation,,,,,34232122.0,ns,1155
Ed25519 keypair generation,,,,,35203204.0,ns,1188
Ed25519 keypair generation,,,,,36436050.0,ns,1221
Ed25519 keypair generation,,,,,38201661.0,ns,1254
Ed25519 keypair generation,,,,,39205644.0,ns,1287
Ed25519 keypair generation,,,,,39780432.0,ns,1320
Ed25519 keypair generation,,,,,40765419.0,ns,1353
Ed25519 keypair generation,,,,,41716085.0,ns,1386
Ed25519 keypair generation,,,,,42754805.0,ns,1419
Ed25519 keypair generation,,,,,43613563.0,ns,1452
Ed25519 keypair generation,,,,,44626329.0,ns,1485
Ed25519 keypair generation,,,,,45515802.0,ns,1518
Ed25519 keypair generation,,,,,46106960.0,ns,1551
Ed25519 keypair generation,,,,,46859976.0,ns,1584
Ed25519 keypair generation,,,,,48177679.0,ns,1617
Ed25519 keypair generation,,,,,49108863.0,ns,1650
Ed25519 keypair generation,,,,,51240668.0,ns,1683
Ed25519 keypair generation,,,,,51427705.0,ns,1716
Ed25519 keypair generation,,,,,52446985.0,ns,1749
Ed25519 keypair generation,,,,,53599372.0,ns,1782
Ed25519 keypair generation,,,,,54444371.0,ns,1815
Ed25519 keypair generation,,,,,55341499.0,ns,1848
Ed25519 keypair generation,,,,,55714548.0,ns,1881
Ed25519 keypair generation,,,,,56844248.0,ns,1914
Ed25519 keypair generation,,,,,59490444.0,ns,1947
Ed25519 keypair generation,,,,,59932872.0,ns,1980
Ed25519 keypair generation,,,,,60392511.0,ns,2013
Ed25519 keypair generation,,,,,61499005.0,ns,2046
Ed25519 keypair generation,,,,,62346781.0,ns,2079
Ed25519 keypair generation,,,,,63514717.0,ns,2112
Ed25519 keypair generation,,,,,64450489.0,ns,2145
Ed25519 keypair generation,,,,,65360838.0,ns,2178
Ed25519 keypair generation,,,,,67177865.0,ns,2211
Ed25519 keypair generation,,,,,67456518.0,ns,2244
Ed25519 keypair generation,,,,,68826989.0,ns,2277
Ed25519 keypair generation,,,,,69633869.0,ns,2310
Ed25519 keypair generation,,,,,70356811.0,ns,2343
Ed25519 keypair generation,,,,,71306969.0,ns,2376
Ed25519 keypair generation,,,,,72451347.0,ns,2409
Ed25519 keypair generation,,,,,74398060.0,ns,2442
Ed25519 keypair generation,,,,,74754742.0,ns,2475
Ed25519 keypair generation,,,,,75496268.0,ns,2508
Ed25519 keypair generation,,,,,76120251.0,ns,2541
Ed25519 keypair generation,,,,,76462245.0,ns,2574
Ed25519 keypair generation,,,,,78374793.0,ns,2607
Ed25519 keypair generation,,,,,78943481.0,ns,2640
Ed25519 keypair generation,,,,,80199147.0,ns,2673
Ed25519 keypair generation,,,,,81106555.0,ns,2706
Ed25519 keypair generation,,,,,82369245.0,ns,2739
Ed25519 keypair generation,,,,,83306652.0,ns,2772
Ed25519 keypair generation,,,,,84254466.0,ns,2805
Ed25519 keypair generation,,,,,85257155.0,ns,2838
