group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,1030355.0,ns,12
Ed25519 signature verification,,,,,2064169.0,ns,24
Ed25519 signature verification,,,,,3089373.0,ns,36
Ed25519 signature verification,,,,,4160331.0,ns,48
Ed25519 signature verification,,,,,5149747.0,ns,60
Ed25519 signature verification,,,,,6178363.0,ns,72
Ed25519 signature verification,,,,,7247148.0,ns,84
Ed25519 signature verification,,,,,8237875.0,ns,96
Ed25519 signature verification,,,,,9266891.0,ns,108
Ed25519 signature verification,,,,,10339916.0,ns,120
Ed25519 signature verification,,,,,11374075.0,ns,132
Ed25519 signature verification,,,,,12391236.0,ns,144
Ed25519 signature verification,,,,,13425450.0,ns,156
Ed25519 signature verification,,,,,14416773.0,ns,168
Ed25519 signature verification,,,,,15532884.0,ns,180
Ed25519 signature verification,,,,,16592969.0,ns,192
Ed25519 signature verification,,,,,17771099.0,ns,204
Ed25519 signature verification,,,,,18534728.0,ns,216
Ed25519 signature verification,,,,,19563218.0,ns,228
Ed25519 signature verification,,,,,20645632.0,ns,240
Ed25519 signature verification,,,,,21659020.0,ns,252
Ed25519 signature verification,,,,,22732306.0,ns,264
Ed25519 signature verification,,,,,23718022.0,ns,276
Ed25519 signature verification,,,,,24794687.0,ns,288
Ed25519 signature verification,,,,,25822677.0,ns,300
Ed25519 signature verification,,,,,26814554.0,ns,312
Ed25519 signature verification,,,,,27928663.0,ns,324
Ed25519 signature verification,,,,,29006732.0,ns,336
Ed25519 signature verification,,,,,29990189.0,ns,348
Ed25519 signature verification,,,,,31108679.0,ns,360
Ed25519 signature verification,,,,,32235676.0,ns,372
Ed25519 signature verification,,,,,33270962.0,ns,384
Ed25519 signature verification,,,,,34120983.0,ns,396
Ed25519 signature verification,,,,,35010553.0,ns,408
Ed25519 signature verification,,,,,36460508.0,ns,420
Ed25519 signature verification,,,,,37225363.0,ns,432
Ed25519 signature verification,,,,,38426687.0,ns,444
Ed25519 signature verification,,,,,39325703.0,ns,456
Ed25519 signature verification,,,,,40262350.0,ns,468
Ed25519 signature verification,,,,,41367039.0,ns,480
Ed25519 signature verification,,,,,42335502.0,ns,492
Ed25519 signature verification,,,,,43589917.0,ns,504
Ed25519 signature verification,,,,,44506182.0,ns,516
Ed25519 signature verification,,,,,45457488.0,ns,528
Ed25519 signature verification,,,,,46650970.0,ns,540
Ed25519 signature verification,,,,,47612701.0,ns,552
Ed25519 signature verification,,,,,49125803.0,ns,564
Ed25519 signature verification,,,,,49670939.0,ns,576
Ed25519 signature verification,,,,,50761058.0,ns,588
Ed25519 signature verification,,,,,51800784.0,ns,600
Ed25519 signature verification,,,,,53015107.0,ns,612
Ed25519 signature verification,,,,,53895342.0,ns,624
Ed25519 signature verification,,,,,54953276.0,ns,636
Ed25519 signature verification,,,,,56202089.0,ns,648
Ed25519 signature verification,,,,,57002237.0,ns,660
Ed25519 signature verification,,,,,58216328.0,ns,672
Ed25519 signature verification,,,,,58957755.0,ns,684
Ed25519 signature verification,,,,,60021870.0,ns,696
Ed25519 signature verification,,,,,61013413.0,ns,708
Ed25519 signature verification,,,,,62051958.0,ns,720
Ed25519 signature verification,,,,,63259627.0,ns,732
Ed25519 signature verification,,,,,64572680.0,ns,744
Ed25519 signature verification,,,,,65064907.0,ns,756
Ed25519 signature verification,,,,,66296219.0,ns,768
Ed25519 signature verification,,,,,67253404.0,ns,780
Ed25519 signature verification,,,,,68154731.0,ns,792
Ed25519 signature verification,,,,,69221419.0,ns,804
Ed25519 signature verification,,,,,70290692.0,ns,816
Ed25519 signature verification,,,,,71465365.0,ns,828
Ed25519 signature verification,,,,,73077857.0,ns,840
Ed25519 signature verification,,,,,73979735.0,ns,852
Ed25519 signature verification,,,,,74840493.0,ns,864
Ed25519 signature verification,,,,,75889762.0,ns,876
Ed25519 signature verification,,,,,76980193.0,ns,888
Ed25519 signature verification,,,,,77743863.0,ns,900
Ed25519 signature verification,,,,,78971130.0,ns,912
Ed25519 signature verification,,,,,79920400.0,ns,924
Ed25519 signature verification,,,,,80999321.0,ns,936
Ed25519 signature verification,,,,,81952204.0,ns,948
Ed25519 signature verification,,,,,83486096.0,ns,960
Ed25519 signature verification,,,,,85630864.0,ns,972
Ed25519 signature verification,,,,,88921115.0,ns,984
Ed25519 signature verification,,,,,86427793.0,ns,996
Ed25519 signature verification,,,,,87732453.0,ns,1008
Ed25519 signature verification,,,,,87854925.0,ns,1020
Ed25519 signature verification,,,,,89312424.0,ns,1032
Ed25519 signature verification,,,,,89708938.0,ns,1044
Ed25519 signature verification,,,,,90753979.0,ns,1056
Ed25519 signature verification,,,,,91848769.0,ns,1068
Ed25519 signature verification,,,,,93311911.0,ns,1080
Ed25519 signature verification,,,,,94087682.0,ns,1092
Ed25519 signature verification,,,,,94945146.0,ns,1104
Ed25519 signature verification,,,,,96239750.0,ns,1116
Ed25519 signature verification,,,,,97324708.0,ns,1128
Ed25519 signature verification,,,,,98718145.0,ns,1140
Ed25519 signature verification,,,,,99658271.0,ns,1152
Ed25519 signature verification,,,,,100512325.0,ns,1164
Ed25519 signature verification,,,,,101298905.0,ns,1176
Ed25519 signature verification,,,,,102337084.0,ns,1188
Ed25519 signature verification,,,,,103749027.0,ns,1200
