group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,995277.0,ns,32
Ed25519 signing,,,,,1977384.0,ns,64
Ed25519 signing,,,,,2968147.0,ns,96
Ed25519 signing,,,,,4000334.0,ns,128
Ed25519 signing,,,,,4943891.0,ns,160
Ed25519 signing,,,,,5966608.0,ns,192
Ed25519 signing,,,,,6935570.0,ns,224
Ed25519 signing,,,,,7962540.0,ns,256
Ed25519 signing,,,,,8920854.0,ns,288
Ed25519 signing,,,,,9935952.0,ns,320
Ed25519 signing,,,,,10907247.0,ns,352
Ed25519 signing,,,,,11917752.0,ns,384
Ed25519 signing,,,,,12922816.0,ns,416
Ed25519 signing,,,,,13955713.0,ns,448
Ed25519 signing,,,,,14842252.0,ns,480
Ed25519 signing,,,,,15961391.0,ns,512
Ed25519 signing,,,,,16844496.0,ns,544
Ed25519 signing,,,,,17840091.0,ns,576
Ed25519 signing,,,,,18894194.0,ns,608
Ed25519 signing,,,,,19822030.0,ns,640
Ed25519 signing,,,,,20798622.0,ns,672
Ed25519 signing,,,,,21762919.0,ns,704
Ed25519 signing,,,,,22872341.0,ns,736
Ed25519 signing,,,,,23792058.0,ns,768
Ed25519 signing,,,,,24887406.0,ns,800
Ed25519 signing,,,,,26242176.0,ns,832
Ed25519 signing,,,,,26917622.0,ns,864
Ed25519 signing,,,,,27777351.0,ns,896
Ed25519 signing,,,,,28767148.0,ns,928
Ed25519 signing,,,,,29678994.0,ns,960
Ed25519 signing,,,,,31486351.0,ns,992
Ed25519 signing,,,,,32011193.0,ns,1024
Ed25519 signing,,,,,32821235.0,ns,1056
Ed25519 signing,,,,,33801974.0,ns,1088
Ed25519 signing,,,,,35198226.0,ns,1120
Ed25519 signing,,,,,36434322.0,ns,1152
Ed25519 signing,,,,,37576565.0,ns,1184
Ed25519 signing,,,,,38462204.0,ns,1216
Ed25519 signing,,,,,40290037.0,ns,1248
Ed25519 signing,,,,,40297369.0,ns,1280
Ed25519 signing,,,,,44115108.0,ns,1312
Ed25519 signing,,,,,42862188.0,ns,1344
Ed25519 signing,,,,,44575095.0,ns,1376
Ed25519 signing,,,,,46819912.0,ns,1408
Ed25519 signing,,,,,46533368.0,ns,1440
Ed25519 signing,,,,,47173384.0,ns,1472
Ed25519 signing,,,,,46886460.0,ns,1504
Ed25519 signing,,,,,47714224.0,ns,1536
Ed25519 signing,,,,,48774437.0,ns,1568
Ed25519 signing,,,,,49783592.0,ns,1600
Ed25519 signing,,,,,50750813.0,ns,1632
Ed25519 signing,,,,,59070872.0,ns,1664
Ed25519 signing,,,,,53810187.0,ns,1696
Ed25519 signing,,,,,60635621.0,ns,1728
Ed25519 signing,,,,,62968793.0,ns,1760
Ed25519 signing,,,,,56812147.0,ns,1792
Ed25519 signing,,,,,57652209.0,ns,1824
Ed25519 signing,,,,,58008456.0,ns,1856
Ed25519 signing,,,,,59520321.0,ns,1888
Ed25519 signing,,,,,61049957.0,ns,1920
Ed25519 signing,,,,,61594522.0,ns,1952
Ed25519 signing,,,,,62713279.0,ns,1984
Ed25519 signing,,,,,63755574.0,ns,2016
Ed25519 signing,,,,,64745797.0,ns,2048
Ed25519 signing,,,,,65935246.0,ns,2080
Ed25519 signing,,,,,66137025.0,ns,2112
Ed25519 signing,,,,,66772705.0,ns,2144
Ed25519 signing,,,,,67772841.0,ns,2176
Ed25519 signing,,,,,68903946.0,ns,2208
Ed25519 signing,,,,,70120787.0,ns,2240
Ed25519 signing,,,,,70873341.0,ns,2272
Ed25519 signing,,,,,71819519.0,ns,2304
Ed25519 signing,,,,,72558342.0,ns,2336
Ed25519 signing,,,,,73576790.0,ns,2368
Ed25519 signing,,,,,74725602.0,ns,2400
Ed25519 signing,,,,,75672413.0,ns,2432
Ed25519 signing,,,,,76495686.0,ns,2464
Ed25519 signing,,,,,78536664.0,ns,2496
Ed25519 signing,,,,,79243798.0,ns,2528
Ed25519 signing,,,,,79808849.0,ns,2560
Ed25519 signing,,,,,80958583.0,ns,2592
Ed25519 signing,,,,,81561984.0,ns,2624
Ed25519 signing,,,,,83234071.0,ns,2656
Ed25519 signing,,,,,83549421.0,ns,2688
Ed25519 signing,,,,,84467497.0,ns,2720
Ed25519 signing,,,,,86906863.0,ns,2752
Ed25519 signing,,,,,88870975.0,ns,2784
Ed25519 signing,,,,,89736429.0,ns,2816
Ed25519 signing,,,,,90297438.0,ns,2848
Ed25519 signing,,,,,90280779.0,ns,2880
Ed25519 signing,,,,,90218216.0,ns,2912
Ed25519 signing,,,,,91516124.0,ns,2944
Ed25519 signing,,,,,92368382.0,ns,2976
Ed25519 signing,,,,,93919949.0,ns,3008
Ed25519 signing,,,,,94649370.0,ns,3040
Ed25519 signing,,,,,95448119.0,ns,3072
Ed25519 signing,,,,,98555701.0,ns,3104
Ed25519 signing,,,,,99173875.0,ns,3136
Ed25519 signing,,,,,99298303.0,ns,3168
Ed25519 signing,,,,,101522623.0,ns,3200
