group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,1000958.0,ns,11
Ed25519 strict signature verification,,,,,1999797.0,ns,22
Ed25519 strict signature verification,,,,,2999728.0,ns,33
Ed25519 strict signature verification,,,,,3998576.0,ns,44
Ed25519 strict signature verification,,,,,4998361.0,ns,55
Ed25519 strict signature verification,,,,,6000607.0,ns,66
Ed25519 strict signature verification,,,,,6999242.0,ns,77
Ed25519 strict signature verification,,,,,8008336.0,ns,88
Ed25519 strict signature verification,,,,,9032529.0,ns,99
Ed25519 strict signature verification,,,,,9998637.0,ns,110
Ed25519 strict signature verification,,,,,10997997.0,ns,121
Ed25519 strict signature verification,,,,,12075447.0,ns,132
Ed25519 strict signature verification,,,,,12995001.0,ns,143
Ed25519 strict signature verification,,,,,14077284.0,ns,154
Ed25519 strict signature verification,,,,,15036843.0,ns,165
Ed25519 strict signature verification,,,,,16079466.0,ns,176
Ed25519 strict signature verification,,,,,17074299.0,ns,187
Ed25519 strict signature verification,,,,,18065172.0,ns,198
Ed25519 strict signature verification,,,,,19089171.0,ns,209
Ed25519 strict signature verification,,,,,20250744.0,ns,220
Ed25519 strict signature verification,,,,,21117192.0,ns,231
Ed25519 strict signature verification,,,,,22065387.0,ns,242
Ed25519 strict signature verification,,,,,23074011.0,ns,253
Ed25519 strict signature verification,,,,,24027173.0,ns,264
Ed25519 strict signature verification,,,,,25116936.0,ns,275
Ed25519 strict signature verification,,,,,26059339.0,ns,286
Ed25519 strict signature verification,,,,,27074213.0,ns,297
Ed25519 strict signature verification,,,,,28320493.0,ns,308
Ed25519 strict signature verification,,,,,29100859.0,ns,319
Ed25519 strict signature verification,,,,,30027373.0,ns,330
Ed25519 strict signature verification,,,,,31117960.0,ns,341
Ed25519 strict signature verification,,,,,32005236.0,ns,352
Ed25519 strict signature verification,,,,,33714606.0,ns,363
Ed25519 strict signature verification,,,,,34577000.0,ns,374
Ed25519 strict signature verification,,,,,35521807.0,ns,385
Ed25519 strict signature verification,,,,,36834111.0,ns,396
Ed25519 strict signature verification,,,,,38030170.0,ns,407
Ed25519 strict signature verification,,,,,40694370.0,ns,418
Ed25519 strict signature verification,,,,,39877227.0,ns,429
Ed25519 strict signature verification,,,,,40900213.0,ns,440
Ed25519 strict signature verification,,,,,41937324.0,ns,451
Ed25519 strict signature verification,,,,,43396386.0,ns,462
Ed25519 strict signature verification,,,,,43825556.0,ns,473
Ed25519 strict signature verification,,,,,44239199.0,ns,484
Ed25519 strict signature verification,,,,,45347230.0,ns,495
Ed25519 strict signature verification,,,,,46292739.0,ns,506
Ed25519 strict signature verification,,,,,47654076.0,ns,517
Ed25519 strict signature verification,,,,,48377638.0,ns,528
Ed25519 strict signature verification,,,,,49381337.0,ns,539
Ed25519 strict signature verification,,,,,50210845.0,ns,550
Ed25519 strict signature verification,,,,,51549281.0,ns,561
Ed25519 strict signature verification,,,,,52199769.0,ns,572
Ed25519 strict signature verification,,,,,53147255.0,ns,583
Ed25519 strict signature verification,,,,,54247871.0,ns,594
Ed25519 strict signature verification,,,,,55559423.0,ns,605
Ed25519 strict signature verification,,,,,56195262.0,ns,616
Ed25519 strict signature verification,,,,,57317004.0,ns,627
Ed25519 strict signature verification,,,,,58661360.0,ns,638
Ed25519 strict signature verification,,,,,59486872.0,ns,649
Ed25519 strict signature verification,,,,,60505090.0,ns,660
Ed25519 strict signature verification,,,,,61266426.0,ns,671
Ed25519 strict signature verification,,,,,62990652.0,ns,682
Ed25519 strict signature verification,,,,,63134244.0,ns,693
Ed25519 strict signature verification,,,,,64203254.0,ns,704
Ed25519 strict signature verification,,,,,66477211.0,ns,715
Ed25519 strict signature verification,,,,,66121421.0,ns,726
Ed25519 strict signature verification,,,,,67194781.0,ns,737
Ed25519 strict signature verification,,,,,69129646.0,ns,748
Ed25519 strict signature verification,,,,,69248768.0,ns,759
Ed25519 strict signature verification,,,,,70254698.0,ns,770
Ed25519 strict signature verification,,,,,71539776.0,ns,781
Ed25519 strict signature verification,,,,,72276868.0,ns,792
Ed25519 strict signature verification,,,,,73534046.0,ns,803
Ed25519 strict signature verification,,,,,75154376.0,ns,814
Ed25519 strict signature verification,,,,,75142748.0,ns,825
Ed25519 strict signature verification,,,,,76652434.0,ns,836
Ed25519 strict signature verification,,,,,76610812.0,ns,847
Ed25519 strict signature verification,,,,,78629620.0,ns,858
Ed25519 strict signature verification,,,,,79657777.0,ns,869
Ed25519 strict signature verification,,,,,80305427.0,ns,880
Ed25519 strict signature verification,,,,,82512347.0,ns,891
Ed25519 strict signature verification,,,,,82418657.0,ns,902
Ed25519 strict signature verification,,,,,83306122.0,ns,913
Ed25519 strict signature verification,,,,,84731357.0,ns,924
Ed25519 strict signature verification,,,,,85479944.0,ns,935
Ed25519 strict signature verification,,,,,87225276.0,ns,946
Ed25519 strict signature verification,,,,,87704640.0,ns,957
Ed25519 strict signature verification,,,,,88633256.0,ns,968
Ed25519 strict signature verification,,,,,89886548.0,ns,979
Ed25519 strict signature verification,,,,,90375482.0,ns,990
Ed25519 strict signature verification,,,,,91800164.0,ns,1001
Ed25519 strict signature verification,,,,,92518063.0,ns,1012
Ed25519 strict signature verification,,,,,94134574.0,ns,1023
Ed25519 strict signature verification,,,,,94555864.0,ns,1034
Ed25519 strict signature verification,,,,,96647829.0,ns,1045
Ed25519 strict signature verification,,,,,96723207.0,ns,1056
Ed25519 strict signature verification,,,,,98331089.0,ns,1067
Ed25519 strict signature verification,,,,,99077416.0,ns,1078
Ed25519 strict signature verification,,,,,100408678.0,ns,1089
Ed25519 strict signature verification,,,,,100525087.0,ns,1100
