group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,128,,,50083857.0,ns,20
Ed25519 batch signature verification,,128,,,50088554.0,ns,20
Ed25519 batch signature verification,,128,,,50028378.0,ns,20
Ed25519 batch signature verification,,128,,,49811244.0,ns,20
Ed25519 batch signature verification,,128,,,49944006.0,ns,20
Ed25519 batch signature verification,,128,,,50069747.0,ns,20
Ed25519 batch signature verification,,128,,,49766253.0,ns,20
Ed25519 batch signature verification,,128,,,49323510.0,ns,20
Ed25519 batch signature verification,,128,,,50152829.0,ns,20
Ed25519 batch signature verification,,128,,,49454594.0,ns,20
Ed25519 batch signature verification,,128,,,50240716.0,ns,20
Ed25519 batch signature verification,,128,,,50134927.0,ns,20
Ed25519 batch signature verification,,128,,,50120132.0,ns,20
Ed25519 batch signature verification,,128,,,50020452.0,ns,20
Ed25519 batch signature verification,,128,,,49380641.0,ns,20
Ed25519 batch signature verification,,128,,,49356446.0,ns,20
Ed25519 batch signature verification,,128,,,50765805.0,ns,20
Ed25519 batch signature verification,,128,,,49855372.0,ns,20
Ed25519 batch signature verification,,128,,,50317889.0,ns,20
Ed25519 batch signature verification,,128,,,50105851.0,ns,20
Ed25519 batch signature verification,,128,,,50286864.0,ns,20
Ed25519 batch signature verification,,128,,,49351551.0,ns,20
Ed25519 batch signature verification,,128,,,49992566.0,ns,20
Ed25519 batch signature verification,,128,,,50139291.0,ns,20
Ed25519 batch signature verification,,128,,,50029872.0,ns,20
Ed25519 batch signature verification,,128,,,50108178.0,ns,20
Ed25519 batch signature verification,,128,,,50992459.0,ns,20
Ed25519 batch signature verification,,128,,,50223964.0,ns,20
Ed25519 batch signature verification,,128,,,50173028.0,ns,20
Ed25519 batch signature verification,,128,,,50013957.0,ns,20
Ed25519 batch signature verification,,128,,,50156299.0,ns,20
Ed25519 batch signature verification,,128,,,50089568.0,ns,20
Ed25519 batch signature verification,,128,,,50025857.0,ns,20
Ed25519 batch signature verification,,128,,,50189964.0,ns,20
Ed25519 batch signature verification,,128,,,50159234.0,ns,20
Ed25519 batch signature verification,,128,,,50331677.0,ns,20
Ed25519 batch signature verification,,128,,,50153357.0,ns,20
Ed25519 batch signature verification,,128,,,50042558.0,ns,20
Ed25519 batch signature verification,,128,,,50209701.0,ns,20
Ed25519 batch signature verification,,128,,,50108018.0,ns,20
Ed25519 batch signature verification,,128,,,49991085.0,ns,20
Ed25519 batch signature verification,,128,,,49853388.0,ns,20
Ed25519 batch signature verification,,128,,,49558266.0,ns,20
Ed25519 batch signature verification,,128,,,50469495.0,ns,20
Ed25519 batch signature verification,,128,,,50039594.0,ns,20
Ed25519 batch signature verification,,128,,,50481360.0,ns,20
Ed25519 batch signature verification,,128,,,49645395.0,ns,20
Ed25519 batch signature verification,,128,,,50474733.0,ns,20
Ed25519 batch signature verification,,128,,,50292117.0,ns,20
Ed25519 batch signature verification,,128,,,50183714.0,ns,20
Ed25519 batch signature verification,,128,,,49961999.0,ns,20
Ed25519 batch signature verification,,128,,,50619364.0,ns,20
Ed25519 batch signature verification,,128,,,49888120.0,ns,20
Ed25519 batch signature verification,,128,,,50498624.0,ns,20
Ed25519 batch signature verification,,128,,,50367187.0,ns,20
Ed25519 batch signature verification,,128,,,50132927.0,ns,20
Ed25519 batch signature verification,,128,,,50013612.0,ns,20
Ed25519 batch signature verification,,128,,,50015962.0,ns,20
Ed25519 batch signature verification,,128,,,50049498.0,ns,20
Ed25519 batch signature verification,,128,,,50034624.0,ns,20
Ed25519 batch signature verification,,128,,,50105573.0,ns,20
Ed25519 batch signature verification,,128,,,50024738.0,ns,20
Ed25519 batch signature verification,,128,,,50062850.0,ns,20
Ed25519 batch signature verification,,128,,,49940477.0,ns,20
Ed25519 batch signature verification,,128,,,49989475.0,ns,20
Ed25519 batch signature verification,,128,,,50005313.0,ns,20
Ed25519 batch signature verification,,128,,,50272169.0,ns,20
Ed25519 batch signature verification,,128,,,50066933.0,ns,20
Ed25519 batch signature verification,,128,,,50109713.0,ns,20
Ed25519 batch signature verification,,128,,,49687783.0,ns,20
Ed25519 batch signature verification,,128,,,49851103.0,ns,20
Ed25519 batch signature verification,,128,,,51063260.0,ns,20
Ed25519 batch signature verification,,128,,,50346403.0,ns,20
Ed25519 batch signature verification,,128,,,51113667.0,ns,20
Ed25519 batch signature verification,,128,,,50035907.0,ns,20
Ed25519 batch signature verification,,128,,,50109913.0,ns,20
Ed25519 batch signature verification,,128,,,50028813.0,ns,20
Ed25519 batch signature verification,,128,,,50084091.0,ns,20
Ed25519 batch signature verification,,128,,,49866311.0,ns,20
Ed25519 batch signature verification,,128,,,49951449.0,ns,20
Ed25519 batch signature verification,,128,,,50010671.0,ns,20
Ed25519 batch signature verification,,128,,,50203754.0,ns,20
Ed25519 batch signature verification,,128,,,50078012.0,ns,20
Ed25519 batch signature verification,,128,,,50081533.0,ns,20
Ed25519 batch signature verification,,128,,,50026551.0,ns,20
Ed25519 batch signature verification,,128,,,50045412.0,ns,20
Ed25519 batch signature verification,,128,,,50067413.0,ns,20
Ed25519 batch signature verification,,128,,,49996208.0,ns,20
Ed25519 batch signature verification,,128,,,49490866.0,ns,20
Ed25519 batch signature verification,,128,,,49670156.0,ns,20
Ed25519 batch signature verification,,128,,,50282106.0,ns,20
Ed25519 batch signature verification,,128,,,50488765.0,ns,20
Ed25519 batch signature verification,,128,,,50009563.0,ns,20
Ed25519 batch signature verification,,128,,,50128371.0,ns,20
Ed25519 batch signature verification,,128,,,50060880.0,ns,20
Ed25519 batch signature verification,,128,,,50025187.0,ns,20
Ed25519 batch signature verification,,128,,,50076714.0,ns,20
Ed25519 batch signature verification,,128,,,49729167.0,ns,20
Ed25519 batch signature verification,,128,,,49614220.0,ns,20
Ed25519 batch signature verification,,128,,,50075251.0,ns,20
