group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,256,,,54232385.0,ns,12
Ed25519 batch signature verification,,256,,,54186957.0,ns,12
Ed25519 batch signature verification,,256,,,54162415.0,ns,12
Ed25519 batch signature verification,,256,,,54083979.0,ns,12
Ed25519 batch signature verification,,256,,,54026791.0,ns,12
Ed25519 batch signature verification,,256,,,56009252.0,ns,12
Ed25519 batch signature verification,,256,,,54677501.0,ns,12
Ed25519 batch signature verification,,256,,,54137451.0,ns,12
Ed25519 batch signature verification,,256,,,54870547.0,ns,12
Ed25519 batch signature verification,,256,,,54026001.0,ns,12
Ed25519 batch signature verification,,256,,,54531695.0,ns,12
Ed25519 batch signature verification,,256,,,54175810.0,ns,12
Ed25519 batch signature verification,,256,,,54049175.0,ns,12
Ed25519 batch signature verification,,256,,,54207004.0,ns,12
Ed25519 batch signature verification,,256,,,54340002.0,ns,12
Ed25519 batch signature verification,,256,,,54545062.0,ns,12
Ed25519 batch signature verification,,256,,,54311397.0,ns,12
Ed25519 batch signature verification,,256,,,54118231.0,ns,12
Ed25519 batch signature verification,,256,,,54265060.0,ns,12
Ed25519 batch signature verification,,256,,,54284033.0,ns,12
Ed25519 batch signature verification,,256,,,54037859.0,ns,12
Ed25519 batch signature verification,,256,,,54397045.0,ns,12
Ed25519 batch signature verification,,256,,,54050264.0,ns,12
Ed25519 batch signature verification,,256,,,54004139.0,ns,12
Ed25519 batch signature verification,,256,,,54232562.0,ns,12
Ed25519 batch signature verification,,256,,,54186018.0,ns,12
Ed25519 batch signature verification,,256,,,54077300.0,ns,12
Ed25519 batch signature verification,,256,,,54098114.0,ns,12
Ed25519 batch signature verification,,256,,,54025739.0,ns,12
Ed25519 batch signature verification,,256,,,54013135.0,ns,12
Ed25519 batch signature verification,,256,,,54277030.0,ns,12
Ed25519 batch signature verification,,256,,,54286271.0,ns,12
Ed25519 batch signature verification,,256,,,54170607.0,ns,12
Ed25519 batch signature verification,,256,,,54068233.0,ns,12
Ed25519 batch signature verification,,256,,,54126122.0,ns,12
Ed25519 batch signature verification,,256,,,54029783.0,ns,12
Ed25519 batch signature verification,,256,,,54157541.0,ns,12
Ed25519 batch signature verification,,256,,,54272665.0,ns,12
Ed25519 batch signature verification,,256,,,54287851.0,ns,12
Ed25519 batch signature verification,,256,,,54049231.0,ns,12
Ed25519 batch signature verification,,256,,,54006993.0,ns,12
Ed25519 batch signature verification,,256,,,54493229.0,ns,12
Ed25519 batch signature verification,,256,,,54023162.0,ns,12
Ed25519 batch signature verification,,256,,,54074347.0,ns,12
Ed25519 batch signature verification,,256,,,54037117.0,ns,12
Ed25519 batch signature verification,,256,,,54016261.0,ns,12
Ed25519 batch signature verification,,256,,,54121872.0,ns,12
Ed25519 batch signature verification,,256,,,54462546.0,ns,12
Ed25519 batch signature verification,,256,,,54058926.0,ns,12
Ed25519 batch signature verification,,256,,,53995474.0,ns,12
Ed25519 batch signature verification,,256,,,54219304.0,ns,12
Ed25519 batch signature verification,,256,,,54232169.0,ns,12
Ed25519 batch signature verification,,256,,,54070478.0,ns,12
Ed25519 batch signature verification,,256,,,54370776.0,ns,12
Ed25519 batch signature verification,,256,,,54148446.0,ns,12
Ed25519 batch signature verification,,256,,,54056214.0,ns,12
Ed25519 batch signature verification,,256,,,53993790.0,ns,12
Ed25519 batch signature verification,,256,,,54049775.0,ns,12
Ed25519 batch signature verification,,256,,,54089965.0,ns,12
Ed25519 batch signature verification,,256,,,54146332.0,ns,12
Ed25519 batch signature verification,,256,,,54188425.0,ns,12
Ed25519 batch signature verification,,256,,,54172025.0,ns,12
Ed25519 batch signature verification,,256,,,54199588.0,ns,12
Ed25519 batch signature verification,,256,,,54645663.0,ns,12
Ed25519 batch signature verification,,256,,,54060745.0,ns,12
Ed25519 batch signature verification,,256,,,54345952.0,ns,12
Ed25519 batch signature verification,,256,,,54210562.0,ns,12
Ed25519 batch signature verification,,256,,,54517784.0,ns,12
Ed25519 batch signature verification,,256,,,54126178.0,ns,12
Ed25519 batch signature verification,,256,,,54127668.0,ns,12
Ed25519 batch signature verification,,256,,,54648898.0,ns,12
Ed25519 batch signature verification,,256,,,54143661.0,ns,12
Ed25519 batch signature verification,,256,,,54083596.0,ns,12
Ed25519 batch signature verification,,256,,,54182654.0,ns,12
Ed25519 batch signature verification,,256,,,54149924.0,ns,12
Ed25519 batch signature verification,,256,,,54055351.0,ns,12
Ed25519 batch signature verification,,256,,,54298600.0,ns,12
Ed25519 batch signature verification,,256,,,54030460.0,ns,12
Ed25519 batch signature verification,,256,,,54998417.0,ns,12
Ed25519 batch signature verification,,256,,,54490407.0,ns,12
Ed25519 batch signature verification,,256,,,54158991.0,ns,12
Ed25519 batch signature verification,,256,,,54130575.0,ns,12
Ed25519 batch signature verification,,256,,,54026049.0,ns,12
Ed25519 batch signature verification,,256,,,54059376.0,ns,12
Ed25519 batch signature verification,,256,,,53984145.0,ns,12
Ed25519 batch signature verification,,256,,,54068206.0,ns,12
Ed25519 batch signature verification,,256,,,54328825.0,ns,12
Ed25519 batch signature verification,,256,,,54088744.0,ns,12
Ed25519 batch signature verification,,256,,,54039896.0,ns,12
Ed25519 batch signature verification,,256,,,54050156.0,ns,12
Ed25519 batch signature verification,,256,,,54082014.0,ns,12
Ed25519 batch signature verification,,256,,,54114280.0,ns,12
Ed25519 batch signature verification,,256,,,54071322.0,ns,12
Ed25519 batch signature verification,,256,,,54022351.0,ns,12
Ed25519 batch signature verification,,256,,,54216076.0,ns,12
Ed25519 batch signature verification,,256,,,54634415.0,ns,12
Ed25519 batch signature verification,,256,,,54070707.0,ns,12
Ed25519 batch signature verification,,256,,,54044538.0,ns,12
Ed25519 batch signature verification,,256,,,54076414.0,ns,12
Ed25519 batch signature verification,,256,,,54097911.0,ns,12
