group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,999005.0,ns,67
Ed25519 keypair generation,,,,,1993719.0,ns,134
Ed25519 keypair generation,,,,,3034266.0,ns,201
Ed25519 keypair generation,,,,,3991401.0,ns,268
Ed25519 keypair generation,,,,,5028206.0,ns,335
Ed25519 keypair generation,,,,,6023958.0,ns,402
Ed25519 keypair generation,,,,,7022393.0,ns,469
Ed25519 keypair generation,,,,,8052096.0,ns,536
Ed25519 keypair generation,,,,,9014534.0,ns,603
Ed25519 keypair generation,,,,,10007647.0,ns,670
Ed25519 keypair generation,,,,,11075529.0,ns,737
Ed25519 keypair generation,,,,,12044061.0,ns,804
Ed25519 keypair generation,,,,,12997772.0,ns,871
Ed25519 keypair generation,,,,,14117674.0,ns,938
Ed25519 keypair generation,,,,,14992728.0,ns,1005
Ed25519 keypair generation,,,,,16103239.0,ns,1072
Ed25519 keypair generation,,,,,17028986.0,ns,1139
Ed25519 keypair generation,,,,,18089542.0,ns,1206
Ed25519 keypair generation,,,,,19399525.0,ns,1273
Ed25519 keypair generation,,,,,20133629.0,ns,1340
Ed25519 keypair generation,,,,,21103802.0,ns,1407
Ed25519 keypair generation,,,,,22583736.0,ns,1474
Ed25519 keypair generation,,,,,23075193.0,ns,1541
Ed25519 keypair generation,,,,,24220054.0,ns,1608
Ed25519 keypair generation,,,,,25118195.0,ns,1675
Ed25519 keypair generation,,,,,26346546.0,ns,1742
Ed25519 keypair generation,,,,,27075580.0,ns,1809
Ed25519 keypair generation,,,,,28066984.0,ns,1876
Ed25519 keypair generation,,,,,28994507.0,ns,1943
Ed25519 keypair generation,,,,,30060608.0,ns,2010
Ed25519 keypair generation,,,,,31020183.0,ns,2077
Ed25519 keypair generation,,,,,32020363.0,ns,2144
Ed25519 keypair generation,,,,,33018866.0,ns,2211
Ed25519 keypair generation,,,,,34123759.0,ns,2278
Ed25519 keypair generation,,,,,35150185.0,ns,2345
Ed25519 keypair generation,,,,,36003372.0,ns,2412
Ed25519 keypair generation,,,,,37083204.0,ns,2479
Ed25519 keypair generation,,,,,38417410.0,ns,2546
Ed25519 keypair generation,,,,,39266152.0,ns,2613
Ed25519 keypair generation,,,,,39641672.0,ns,2680
Ed25519 keypair generation,,,,,40986255.0,ns,2747
Ed25519 keypair generation,,,,,42065023.0,ns,2814
Ed25519 keypair generation,,,,,43054608.0,ns,2881
Ed25519 keypair generation,,,,,44053229.0,ns,2948
Ed25519 keypair generation,,,,,45173840.0,ns,3015
Ed25519 keypair generation,,,,,46103513.0,ns,3082
Ed25519 keypair generation,,,,,47877538.0,ns,3149
Ed25519 keypair generation,,,,,48131577.0,ns,3216
Ed25519 keypair generation,,,,,49083959.0,ns,3283
Ed25519 keypair generation,,,,,50329903.0,ns,3350
Ed25519 keypair generation,,,,,51116012.0,ns,3417
Ed25519 keypair generation,,,,,52415110.0,ns,3484
Ed25519 keypair generation,,,,,53180153.0,ns,3551
Ed25519 keypair generation,,,,,54132167.0,ns,3618
Ed25519 keypair generation,,,,,55105225.0,ns,3685
Ed25519 keypair generation,,,,,56071498.0,ns,3752
Ed25519 keypair generation,,,,,56844264.0,ns,3819
Ed25519 keypair generation,,,,,57514773.0,ns,3886
Ed25519 keypair generation,,,,,59797596.0,ns,3953
Ed25519 keypair generation,,,,,59777526.0,ns,4020
Ed25519 keypair generation,,,,,61285014.0,ns,4087
Ed25519 keypair generation,,,,,62307315.0,ns,4154
Ed25519 keypair generation,,,,,63757545.0,ns,4221
