group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,1000132.0,ns,24
Ed25519 signature verification,,,,,2000733.0,ns,48
Ed25519 signature verification,,,,,2997586.0,ns,72
Ed25519 signature verification,,,,,4039451.0,ns,96
Ed25519 signature verification,,,,,4998811.0,ns,120
Ed25519 signature verification,,,,,5997584.0,ns,144
Ed25519 signature verification,,,,,6998129.0,ns,168
Ed25519 signature verification,,,,,8043449.0,ns,192
Ed25519 signature verification,,,,,8995822.0,ns,216
Ed25519 signature verification,,,,,9998655.0,ns,240
Ed25519 signature verification,,,,,11106008.0,ns,264
Ed25519 signature verification,,,,,11998260.0,ns,288
Ed25519 signature verification,,,,,12996304.0,ns,312
Ed25519 signature verification,,,,,14145852.0,ns,336
Ed25519 signature verification,,,,,14998259.0,ns,360
Ed25519 signature verification,,,,,16053878.0,ns,384
Ed25519 signature verification,,,,,16998413.0,ns,408
Ed25519 signature verification,,,,,18052414.0,ns,432
Ed25519 signature verification,,,,,18997224.0,ns,456
Ed25519 signature verification,,,,,20032990.0,ns,480
Ed25519 signature verification,,,,,20990081.0,ns,504
Ed25519 signature verification,,,,,22068530.0,ns,528
Ed25519 signature verification,,,,,23024936.0,ns,552
Ed25519 signature verification,,,,,24035185.0,ns,576
Ed25519 signature verification,,,,,25071673.0,ns,600
Ed25519 signature verification,,,,,26077848.0,ns,624
Ed25519 signature verification,,,,,27076082.0,ns,648
Ed25519 signature verification,,,,,28042477.0,ns,672
Ed25519 signature verification,,,,,29067247.0,ns,696
Ed25519 signature verification,,,,,30024559.0,ns,720
Ed25519 signature verification,,,,,31102059.0,ns,744
Ed25519 signature verification,,,,,33592345.0,ns,768
Ed25519 signature verification,,,,,35851268.0,ns,792
Ed25519 signature verification,,,,,33993775.0,ns,816
Ed25519 signature verification,,,,,35106264.0,ns,840
Ed25519 signature verification,,,,,36034171.0,ns,864
Ed25519 signature verification,,,,,37060630.0,ns,888
Ed25519 signature verification,,,,,38071113.0,ns,912
Ed25519 signature verification,,,,,39105053.0,ns,936
Ed25519 signature verification,,,,,40015142.0,ns,960
Ed25519 signature verification,,,,,41144048.0,ns,984
Ed25519 signature verification,,,,,42061719.0,ns,1008
Ed25519 signature verification,,,,,43618334.0,ns,1032
Ed25519 signature verification,,,,,43981629.0,ns,1056
Ed25519 signature verification,,,,,45064456.0,ns,1080
Ed25519 signature verification,,,,,46485934.0,ns,1104
Ed25519 signature verification,,,,,47105264.0,ns,1128
Ed25519 signature verification,,,,,48058692.0,ns,1152
Ed25519 signature verification,,,,,49449827.0,ns,1176
Ed25519 signature verification,,,,,49972633.0,ns,1200
Ed25519 signature verification,,,,,51162950.0,ns,1224
Ed25519 signature verification,,,,,52189226.0,ns,1248
Ed25519 signature verification,,,,,52966976.0,ns,1272
Ed25519 signature verification,,,,,54079808.0,ns,1296
Ed25519 signature verification,,,,,55613637.0,ns,1320
Ed25519 signature verification,,,,,56122261.0,ns,1344
Ed25519 signature verification,,,,,57023615.0,ns,1368
Ed25519 signature verification,,,,,58071358.0,ns,1392
Ed25519 signature verification,,,,,59268488.0,ns,1416
Ed25519 signature verification,,,,,59992319.0,ns,1440
Ed25519 signature verification,,,,,61241526.0,ns,1464
Ed25519 signature verification,,,,,62738065.0,ns,1488
Ed25519 signature verification,,,,,63192423.0,ns,1512
Ed25519 signature verification,,,,,64127985.0,ns,1536
Ed25519 signature verification,,,,,65352091.0,ns,1560
Ed25519 signature verification,,,,,66279525.0,ns,1584
Ed25519 signature verification,,,,,67277330.0,ns,1608
Ed25519 signature verification,,,,,67995878.0,ns,1632
Ed25519 signature verification,,,,,69096485.0,ns,1656
Ed25519 signature verification,,,,,70098482.0,ns,1680
Ed25519 signature verification,,,,,71417819.0,ns,1704
Ed25519 signature verification,,,,,72106249.0,ns,1728
Ed25519 signature verification,,,,,73253807.0,ns,1752
Ed25519 signature verification,,,,,73996857.0,ns,1776
Ed25519 signature verification,,,,,75217027.0,ns,1800
Ed25519 signature verification,,,,,76535584.0,ns,1824
Ed25519 signature verification,,,,,77377202.0,ns,1848
Ed25519 signature verification,,,,,78308250.0,ns,1872
Ed25519 signature verification,,,,,79248832.0,ns,1896
Ed25519 signature verification,,,,,80417788.0,ns,1920
Ed25519 signature verification,,,,,81155690.0,ns,1944
Ed25519 signature verification,,,,,82324045.0,ns,1968
Ed25519 signature verification,,,,,83153423.0,ns,1992
Ed25519 signature verification,,,,,84210276.0,ns,2016
Ed25519 signature verification,,,,,85116601.0,ns,2040
Ed25519 signature verification,,,,,86530748.0,ns,2064
Ed25519 signature verification,,,,,87363337.0,ns,2088
Ed25519 signature verification,,,,,88561409.0,ns,2112
Ed25519 signature verification,,,,,89213724.0,ns,2136
Ed25519 signature verification,,,,,90156569.0,ns,2160
Ed25519 signature verification,,,,,91145679.0,ns,2184
Ed25519 signature verification,,,,,91966093.0,ns,2208
Ed25519 signature verification,,,,,93033445.0,ns,2232
Ed25519 signature verification,,,,,94031259.0,ns,2256
Ed25519 signature verification,,,,,95311879.0,ns,2280
Ed25519 signature verification,,,,,96015662.0,ns,2304
Ed25519 signature verification,,,,,97341567.0,ns,2328
Ed25519 signature verification,,,,,99062566.0,ns,2352
Ed25519 signature verification,,,,,99333397.0,ns,2376
Ed25519 signature verification,,,,,100074393.0,ns,2400
