group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,966683.0,ns,63
Ed25519 signing,,,,,1946665.0,ns,126
Ed25519 signing,,,,,2943622.0,ns,189
Ed25519 signing,,,,,3944301.0,ns,252
Ed25519 signing,,,,,4951764.0,ns,315
Ed25519 signing,,,,,5923244.0,ns,378
Ed25519 signing,,,,,6916922.0,ns,441
Ed25519 signing,,,,,7902863.0,ns,504
Ed25519 signing,,,,,8896263.0,ns,567
Ed25519 signing,,,,,9879059.0,ns,630
Ed25519 signing,,,,,10867550.0,ns,693
Ed25519 signing,,,,,11853763.0,ns,756
Ed25519 signing,,,,,12845190.0,ns,819
Ed25519 signing,,,,,13829442.0,ns,882
Ed25519 signing,,,,,14586372.0,ns,945
Ed25519 signing,,,,,15575235.0,ns,1008
Ed25519 signing,,,,,16487932.0,ns,1071
Ed25519 signing,,,,,17577619.0,ns,1134
Ed25519 signing,,,,,18698596.0,ns,1197
Ed25519 signing,,,,,19520445.0,ns,1260
Ed25519 signing,,,,,20536064.0,ns,1323
Ed25519 signing,,,,,21611187.0,ns,1386
Ed25519 signing,,,,,22411020.0,ns,1449
Ed25519 signing,,,,,23370527.0,ns,1512
Ed25519 signing,,,,,24364312.0,ns,1575
Ed25519 signing,,,,,25433587.0,ns,1638
Ed25519 signing,,,,,26334626.0,ns,1701
Ed25519 signing,,,,,27693194.0,ns,1764
Ed25519 signing,,,,,28341720.0,ns,1827
Ed25519 signing,,,,,29352787.0,ns,1890
Ed25519 signing,,,,,30088641.0,ns,1953
Ed25519 signing,,,,,31395274.0,ns,2016
Ed25519 signing,,,,,32179149.0,ns,2079
Ed25519 signing,,,,,33333650.0,ns,2142
Ed25519 signing,,,,,34447081.0,ns,2205
Ed25519 signing,,,,,35565841.0,ns,2268
Ed25519 signing,,,,,36583818.0,ns,2331
Ed25519 signing,,,,,37410329.0,ns,2394
Ed25519 signing,,,,,38325666.0,ns,2457
Ed25519 signing,,,,,40055949.0,ns,2520
Ed25519 signing,,,,,40894857.0,ns,2583
Ed25519 signing,,,,,41518416.0,ns,2646
Ed25519 signing,,,,,42915659.0,ns,2709
Ed25519 signing,,,,,43887324.0,ns,2772
Ed25519 signing,,,,,44632295.0,ns,2835
Ed25519 signing,,,,,45586395.0,ns,2898
Ed25519 signing,,,,,46636994.0,ns,2961
Ed25519 signing,,,,,46976456.0,ns,3024
Ed25519 signing,,,,,47857001.0,ns,3087
Ed25519 signing,,,,,49084895.0,ns,3150
Ed25519 signing,,,,,49739051.0,ns,3213
Ed25519 signing,,,,,50845160.0,ns,3276
Ed25519 signing,,,,,51752442.0,ns,3339
Ed25519 signing,,,,,53152942.0,ns,3402
Ed25519 signing,,,,,53946181.0,ns,3465
Ed25519 signing,,,,,55517810.0,ns,3528
Ed25519 signing,,,,,56565702.0,ns,3591
Ed25519 signing,,,,,57526714.0,ns,3654
Ed25519 signing,,,,,58521796.0,ns,3717
Ed25519 signing,,,,,59712068.0,ns,3780
Ed25519 signing,,,,,60438237.0,ns,3843
Ed25519 signing,,,,,61634599.0,ns,3906
Ed25519 signing,,,,,62584323.0,ns,3969
Ed25519 signing,,,,,63501079.0,ns,4032
Ed25519 signing,,,,,64328069.0,ns,4095
Ed25519 signing,,,,,66149057.0,ns,4158
Ed25519 signing,,,,,66306329.0,ns,4221
Ed25519 signing,,,,,67497242.0,ns,4284
Ed25519 signing,,,,,68721190.0,ns,4347
Ed25519 signing,,,,,70294111.0,ns,4410
Ed25519 signing,,,,,70424725.0,ns,4473
Ed25519 signing,,,,,71300523.0,ns,4536
Ed25519 signing,,,,,71870606.0,ns,4599
Ed25519 signing,,,,,72695480.0,ns,4662
Ed25519 signing,,,,,73353971.0,ns,4725
Ed25519 signing,,,,,75146631.0,ns,4788
Ed25519 signing,,,,,76957665.0,ns,4851
Ed25519 signing,,,,,77326509.0,ns,4914
Ed25519 signing,,,,,78288568.0,ns,4977
Ed25519 signing,,,,,79252643.0,ns,5040
Ed25519 signing,,,,,80446265.0,ns,5103
Ed25519 signing,,,,,81312992.0,ns,5166
Ed25519 signing,,,,,81758663.0,ns,5229
Ed25519 signing,,,,,82630825.0,ns,5292
Ed25519 signing,,,,,84376188.0,ns,5355
Ed25519 signing,,,,,85290065.0,ns,5418
Ed25519 signing,,,,,86246886.0,ns,5481
Ed25519 signing,,,,,86612237.0,ns,5544
Ed25519 signing,,,,,88494074.0,ns,5607
Ed25519 signing,,,,,89053183.0,ns,5670
Ed25519 signing,,,,,89618094.0,ns,5733
Ed25519 signing,,,,,90189975.0,ns,5796
Ed25519 signing,,,,,92356479.0,ns,5859
Ed25519 signing,,,,,93120339.0,ns,5922
Ed25519 signing,,,,,94058110.0,ns,5985
Ed25519 signing,,,,,94289070.0,ns,6048
Ed25519 signing,,,,,95966902.0,ns,6111
Ed25519 signing,,,,,96296826.0,ns,6174
Ed25519 signing,,,,,98012786.0,ns,6237
Ed25519 signing,,,,,100019019.0,ns,6300
