group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,1026965.0,ns,24
Ed25519 strict signature verification,,,,,2053254.0,ns,48
Ed25519 strict signature verification,,,,,3077087.0,ns,72
Ed25519 strict signature verification,,,,,4104358.0,ns,96
Ed25519 strict signature verification,,,,,5128864.0,ns,120
Ed25519 strict signature verification,,,,,6154008.0,ns,144
Ed25519 strict signature verification,,,,,7214928.0,ns,168
Ed25519 strict signature verification,,,,,8218382.0,ns,192
Ed25519 strict signature verification,,,,,9246607.0,ns,216
Ed25519 strict signature verification,,,,,10273124.0,ns,240
Ed25519 strict signature verification,,,,,11328954.0,ns,264
Ed25519 strict signature verification,,,,,12338848.0,ns,288
Ed25519 strict signature verification,,,,,13364736.0,ns,312
Ed25519 strict signature verification,,,,,14389485.0,ns,336
Ed25519 strict signature verification,,,,,15416904.0,ns,360
Ed25519 strict signature verification,,,,,16457595.0,ns,384
Ed25519 strict signature verification,,,,,17436744.0,ns,408
Ed25519 strict signature verification,,,,,18476451.0,ns,432
Ed25519 strict signature verification,,,,,19524160.0,ns,456
Ed25519 strict signature verification,,,,,20553660.0,ns,480
Ed25519 strict signature verification,,,,,21582745.0,ns,504
Ed25519 strict signature verification,,,,,22758262.0,ns,528
Ed25519 strict signature verification,,,,,23637866.0,ns,552
Ed25519 strict signature verification,,,,,24792665.0,ns,576
Ed25519 strict signature verification,,,,,25738085.0,ns,600
Ed25519 strict signature verification,,,,,26800645.0,ns,624
Ed25519 strict signature verification,,,,,27848025.0,ns,648
Ed25519 strict signature verification,,,,,28773086.0,ns,672
Ed25519 strict signature verification,,,,,29836758.0,ns,696
Ed25519 strict signature verification,,,,,30875556.0,ns,720
Ed25519 strict signature verification,,,,,31900180.0,ns,744
Ed25519 strict signature verification,,,,,33036672.0,ns,768
Ed25519 strict signature verification,,,,,34332343.0,ns,792
Ed25519 strict signature verification,,,,,35401675.0,ns,816
Ed25519 strict signature verification,,,,,36040450.0,ns,840
Ed25519 strict signature verification,,,,,37174434.0,ns,864
Ed25519 strict signature verification,,,,,38524223.0,ns,888
Ed25519 strict signature verification,,,,,39062129.0,ns,912
Ed25519 strict signature verification,,,,,40096153.0,ns,936
Ed25519 strict signature verification,,,,,41273519.0,ns,960
Ed25519 strict signature verification,,,,,42246412.0,ns,984
Ed25519 strict signature verification,,,,,43244370.0,ns,1008
Ed25519 strict signature verification,,,,,44420187.0,ns,1032
Ed25519 strict signature verification,,,,,45328878.0,ns,1056
Ed25519 strict signature verification,,,,,46227259.0,ns,1080
Ed25519 strict signature verification,,,,,47378418.0,ns,1104
Ed25519 strict signature verification,,,,,48431982.0,ns,1128
Ed25519 strict signature verification,,,,,49502374.0,ns,1152
Ed25519 strict signature verification,,,,,50350306.0,ns,1176
Ed25519 strict signature verification,,,,,51598877.0,ns,1200
Ed25519 strict signature verification,,,,,52349935.0,ns,1224
Ed25519 strict signature verification,,,,,53509745.0,ns,1248
Ed25519 strict signature verification,,,,,54512340.0,ns,1272
Ed25519 strict signature verification,,,,,55882512.0,ns,1296
Ed25519 strict signature verification,,,,,57362554.0,ns,1320
Ed25519 strict signature verification,,,,,57925159.0,ns,1344
Ed25519 strict signature verification,,,,,59159177.0,ns,1368
Ed25519 strict signature verification,,,,,59956583.0,ns,1392
Ed25519 strict signature verification,,,,,60622816.0,ns,1416
Ed25519 strict signature verification,,,,,61913613.0,ns,1440
Ed25519 strict signature verification,,,,,62743912.0,ns,1464
Ed25519 strict signature verification,,,,,64216016.0,ns,1488
Ed25519 strict signature verification,,,,,64848837.0,ns,1512
Ed25519 strict signature verification,,,,,65781080.0,ns,1536
Ed25519 strict signature verification,,,,,66870345.0,ns,1560
Ed25519 strict signature verification,,,,,67805411.0,ns,1584
Ed25519 strict signature verification,,,,,68810465.0,ns,1608
Ed25519 strict signature verification,,,,,69928203.0,ns,1632
Ed25519 strict signature verification,,,,,71231594.0,ns,1656
Ed25519 strict signature verification,,,,,72318122.0,ns,1680
Ed25519 strict signature verification,,,,,73089316.0,ns,1704
Ed25519 strict signature verification,,,,,74154858.0,ns,1728
Ed25519 strict signature verification,,,,,75302019.0,ns,1752
Ed25519 strict signature verification,,,,,76095534.0,ns,1776
Ed25519 strict signature verification,,,,,77857457.0,ns,1800
Ed25519 strict signature verification,,,,,78238502.0,ns,1824
Ed25519 strict signature verification,,,,,79166428.0,ns,1848
