group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,4,,,1000704.0,ns,5
Ed25519 batch signature verification,,4,,,1992985.0,ns,10
Ed25519 batch signature verification,,4,,,2996137.0,ns,15
Ed25519 batch signature verification,,4,,,3985880.0,ns,20
Ed25519 batch signature verification,,4,,,5044785.0,ns,25
Ed25519 batch signature verification,,4,,,6644003.0,ns,30
Ed25519 batch signature verification,,4,,,7151940.0,ns,35
Ed25519 batch signature verification,,4,,,8111068.0,ns,40
Ed25519 batch signature verification,,4,,,9070930.0,ns,45
Ed25519 batch signature verification,,4,,,10158284.0,ns,50
Ed25519 batch signature verification,,4,,,11407281.0,ns,55
Ed25519 batch signature verification,,4,,,12008013.0,ns,60
Ed25519 batch signature verification,,4,,,13035890.0,ns,65
Ed25519 batch signature verification,,4,,,14019673.0,ns,70
Ed25519 batch signature verification,,4,,,15054476.0,ns,75
Ed25519 batch signature verification,,4,,,15960000.0,ns,80
Ed25519 batch signature verification,,4,,,17041569.0,ns,85
Ed25519 batch signature verification,,4,,,17971444.0,ns,90
Ed25519 batch signature verification,,4,,,18963301.0,ns,95
Ed25519 batch signature verification,,4,,,19983194.0,ns,100
Ed25519 batch signature verification,,4,,,20944562.0,ns,105
Ed25519 batch signature verification,,4,,,22031482.0,ns,110
Ed25519 batch signature verification,,4,,,22953664.0,ns,115
Ed25519 batch signature verification,,4,,,24182033.0,ns,120
Ed25519 batch signature verification,,4,,,25032722.0,ns,125
Ed25519 batch signature verification,,4,,,25921719.0,ns,130
Ed25519 batch signature verification,,4,,,26948493.0,ns,135
Ed25519 batch signature verification,,4,,,28091986.0,ns,140
Ed25519 batch signature verification,,4,,,28929764.0,ns,145
Ed25519 batch signature verification,,4,,,30065933.0,ns,150
Ed25519 batch signature verification,,4,,,31197371.0,ns,155
Ed25519 batch signature verification,,4,,,32008886.0,ns,160
Ed25519 batch signature verification,,4,,,32986963.0,ns,165
Ed25519 batch signature verification,,4,,,34077434.0,ns,170
Ed25519 batch signature verification,,4,,,35341548.0,ns,175
Ed25519 batch signature verification,,4,,,36210334.0,ns,180
Ed25519 batch signature verification,,4,,,37529705.0,ns,185
Ed25519 batch signature verification,,4,,,39386500.0,ns,190
Ed25519 batch signature verification,,4,,,39888158.0,ns,195
Ed25519 batch signature verification,,4,,,40790002.0,ns,200
Ed25519 batch signature verification,,4,,,41495032.0,ns,205
Ed25519 batch signature verification,,4,,,42038455.0,ns,210
Ed25519 batch signature verification,,4,,,43090188.0,ns,215
Ed25519 batch signature verification,,4,,,44043499.0,ns,220
Ed25519 batch signature verification,,4,,,45960011.0,ns,225
Ed25519 batch signature verification,,4,,,46693058.0,ns,230
Ed25519 batch signature verification,,4,,,47182254.0,ns,235
Ed25519 batch signature verification,,4,,,48890993.0,ns,240
Ed25519 batch signature verification,,4,,,49307115.0,ns,245
Ed25519 batch signature verification,,4,,,50124354.0,ns,250
Ed25519 batch signature verification,,4,,,51170549.0,ns,255
Ed25519 batch signature verification,,4,,,52209755.0,ns,260
Ed25519 batch signature verification,,4,,,53059518.0,ns,265
Ed25519 batch signature verification,,4,,,54015759.0,ns,270
Ed25519 batch signature verification,,4,,,55247491.0,ns,275
Ed25519 batch signature verification,,4,,,55961772.0,ns,280
Ed25519 batch signature verification,,4,,,56920142.0,ns,285
Ed25519 batch signature verification,,4,,,58850553.0,ns,290
Ed25519 batch signature verification,,4,,,59275128.0,ns,295
Ed25519 batch signature verification,,4,,,59977460.0,ns,300
Ed25519 batch signature verification,,4,,,61195948.0,ns,305
