group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,8,,,990521.0,ns,3
Ed25519 batch signature verification,,8,,,1974671.0,ns,6
Ed25519 batch signature verification,,8,,,2957682.0,ns,9
Ed25519 batch signature verification,,8,,,3990348.0,ns,12
Ed25519 batch signature verification,,8,,,5155045.0,ns,15
Ed25519 batch signature verification,,8,,,5988288.0,ns,18
Ed25519 batch signature verification,,8,,,6947691.0,ns,21
Ed25519 batch signature verification,,8,,,8018524.0,ns,24
Ed25519 batch signature verification,,8,,,9037283.0,ns,27
Ed25519 batch signature verification,,8,,,9955528.0,ns,30
Ed25519 batch signature verification,,8,,,10985872.0,ns,33
Ed25519 batch signature verification,,8,,,11876168.0,ns,36
Ed25519 batch signature verification,,8,,,12863501.0,ns,39
Ed25519 batch signature verification,,8,,,14184875.0,ns,42
Ed25519 batch signature verification,,8,,,14865947.0,ns,45
Ed25519 batch signature verification,,8,,,15839622.0,ns,48
Ed25519 batch signature verification,,8,,,16759879.0,ns,51
Ed25519 batch signature verification,,8,,,18068781.0,ns,54
Ed25519 batch signature verification,,8,,,18848367.0,ns,57
Ed25519 batch signature verification,,8,,,19724699.0,ns,60
Ed25519 batch signature verification,,8,,,20773989.0,ns,63
Ed25519 batch signature verification,,8,,,21714900.0,ns,66
Ed25519 batch signature verification,,8,,,22754766.0,ns,69
Ed25519 batch signature verification,,8,,,23687393.0,ns,72
Ed25519 batch signature verification,,8,,,24663221.0,ns,75
Ed25519 batch signature verification,,8,,,25940204.0,ns,78
Ed25519 batch signature verification,,8,,,27225863.0,ns,81
Ed25519 batch signature verification,,8,,,27776485.0,ns,84
Ed25519 batch signature verification,,8,,,28569518.0,ns,87
Ed25519 batch signature verification,,8,,,29593167.0,ns,90
Ed25519 batch signature verification,,8,,,30642509.0,ns,93
Ed25519 batch signature verification,,8,,,31492524.0,ns,96
Ed25519 batch signature verification,,8,,,32092607.0,ns,99
Ed25519 batch signature verification,,8,,,33836942.0,ns,102
Ed25519 batch signature verification,,8,,,34489653.0,ns,105
Ed25519 batch signature verification,,8,,,35595662.0,ns,108
Ed25519 batch signature verification,,8,,,36677201.0,ns,111
Ed25519 batch signature verification,,8,,,37465880.0,ns,114
Ed25519 batch signature verification,,8,,,38554831.0,ns,117
Ed25519 batch signature verification,,8,,,39629596.0,ns,120
Ed25519 batch signature verification,,8,,,40511403.0,ns,123
Ed25519 batch signature verification,,8,,,41434732.0,ns,126
Ed25519 batch signature verification,,8,,,42493271.0,ns,129
Ed25519 batch signature verification,,8,,,43684482.0,ns,132
Ed25519 batch signature verification,,8,,,44509844.0,ns,135
Ed25519 batch signature verification,,8,,,45425505.0,ns,138
Ed25519 batch signature verification,,8,,,46455280.0,ns,141
Ed25519 batch signature verification,,8,,,47399826.0,ns,144
Ed25519 batch signature verification,,8,,,48461853.0,ns,147
Ed25519 batch signature verification,,8,,,49494246.0,ns,150
Ed25519 batch signature verification,,8,,,50407432.0,ns,153
Ed25519 batch signature verification,,8,,,51958313.0,ns,156
Ed25519 batch signature verification,,8,,,52574185.0,ns,159
Ed25519 batch signature verification,,8,,,53723705.0,ns,162
Ed25519 batch signature verification,,8,,,54414860.0,ns,165
Ed25519 batch signature verification,,8,,,56218903.0,ns,168
Ed25519 batch signature verification,,8,,,56687891.0,ns,171
Ed25519 batch signature verification,,8,,,57492025.0,ns,174
Ed25519 batch signature verification,,8,,,58287644.0,ns,177
Ed25519 batch signature verification,,8,,,59408379.0,ns,180
Ed25519 batch signature verification,,8,,,60188465.0,ns,183
Ed25519 batch signature verification,,8,,,61193248.0,ns,186
Ed25519 batch signature verification,,8,,,63037700.0,ns,189
Ed25519 batch signature verification,,8,,,63231204.0,ns,192
Ed25519 batch signature verification,,8,,,64172552.0,ns,195
Ed25519 batch signature verification,,8,,,65757175.0,ns,198
Ed25519 batch signature verification,,8,,,66235450.0,ns,201
Ed25519 batch signature verification,,8,,,67144530.0,ns,204
Ed25519 batch signature verification,,8,,,68783367.0,ns,207
Ed25519 batch signature verification,,8,,,69060054.0,ns,210
Ed25519 batch signature verification,,8,,,70070031.0,ns,213
Ed25519 batch signature verification,,8,,,71320192.0,ns,216
Ed25519 batch signature verification,,8,,,72122287.0,ns,219
Ed25519 batch signature verification,,8,,,72977376.0,ns,222
Ed25519 batch signature verification,,8,,,74124238.0,ns,225
Ed25519 batch signature verification,,8,,,75170601.0,ns,228
Ed25519 batch signature verification,,8,,,76014243.0,ns,231
Ed25519 batch signature verification,,8,,,77112964.0,ns,234
Ed25519 batch signature verification,,8,,,78658749.0,ns,237
Ed25519 batch signature verification,,8,,,79473524.0,ns,240
Ed25519 batch signature verification,,8,,,80209034.0,ns,243
Ed25519 batch signature verification,,8,,,81989318.0,ns,246
Ed25519 batch signature verification,,8,,,82024278.0,ns,249
Ed25519 batch signature verification,,8,,,83096046.0,ns,252
Ed25519 batch signature verification,,8,,,84043519.0,ns,255
Ed25519 batch signature verification,,8,,,84933262.0,ns,258
Ed25519 batch signature verification,,8,,,86011682.0,ns,261
Ed25519 batch signature verification,,8,,,86976239.0,ns,264
Ed25519 batch signature verification,,8,,,88698378.0,ns,267
Ed25519 batch signature verification,,8,,,88960004.0,ns,270
Ed25519 batch signature verification,,8,,,90229517.0,ns,273
Ed25519 batch signature verification,,8,,,91071414.0,ns,276
Ed25519 batch signature verification,,8,,,92982810.0,ns,279
Ed25519 batch signature verification,,8,,,93354046.0,ns,282
Ed25519 batch signature verification,,8,,,93853739.0,ns,285
Ed25519 batch signature verification,,8,,,94773876.0,ns,288
Ed25519 batch signature verification,,8,,,96385301.0,ns,291
Ed25519 batch signature verification,,8,,,97471478.0,ns,294
Ed25519 batch signature verification,,8,,,97829961.0,ns,297
Ed25519 batch signature verification,,8,,,98889586.0,ns,300
