group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,1009469.0,ns,38
Ed25519 keypair generation,,,,,2014529.0,ns,76
Ed25519 keypair generation,,,,,3021166.0,ns,114
Ed25519 keypair generation,,,,,4026844.0,ns,152
Ed25519 keypair generation,,,,,5039208.0,ns,190
Ed25519 keypair generation,,,,,6161971.0,ns,228
Ed25519 keypair generation,,,,,7062748.0,ns,266
Ed25519 keypair generation,,,,,8104094.0,ns,304
Ed25519 keypair generation,,,,,9153165.0,ns,342
Ed25519 keypair generation,,,,,10147885.0,ns,380
Ed25519 keypair generation,,,,,11185320.0,ns,418
Ed25519 keypair generation,,,,,12101686.0,ns,456
Ed25519 keypair generation,,,,,13036473.0,ns,494
Ed25519 keypair generation,,,,,14128413.0,ns,532
Ed25519 keypair generation,,,,,15095298.0,ns,570
Ed25519 keypair generation,,,,,16309814.0,ns,608
Ed25519 keypair generation,,,,,17864518.0,ns,646
Ed25519 keypair generation,,,,,18663538.0,ns,684
Ed25519 keypair generation,,,,,19619377.0,ns,722
Ed25519 keypair generation,,,,,20110991.0,ns,760
Ed25519 keypair generation,,,,,21217779.0,ns,798
Ed25519 keypair generation,,,,,22591142.0,ns,836
Ed25519 keypair generation,,,,,23630791.0,ns,874
Ed25519 keypair generation,,,,,24672174.0,ns,912
Ed25519 keypair generation,,,,,25623152.0,ns,950
Ed25519 keypair generation,,,,,26211524.0,ns,988
Ed25519 keypair generation,,,,,27296705.0,ns,1026
Ed25519 keypair generation,,,,,28293832.0,ns,1064
Ed25519 keypair generation,,,,,29098393.0,ns,1102
Ed25519 keypair generation,,,,,31077999.0,ns,1140
Ed25519 keypair generation,,,,,31218017.0,ns,1178
Ed25519 keypair generation,,,,,32301634.0,ns,1216
Ed25519 keypair generation,,,,,33743126.0,ns,1254
Ed25519 keypair generation,,,,,34104231.0,ns,1292
Ed25519 keypair generation,,,,,35332642.0,ns,1330
Ed25519 keypair generation,,,,,36112513.0,ns,1368
Ed25519 keypair generation,,,,,37199058.0,ns,1406
Ed25519 keypair generation,,,,,38200485.0,ns,1444
Ed25519 keypair generation,,,,,39239559.0,ns,1482
Ed25519 keypair generation,,,,,40115096.0,ns,1520
Ed25519 keypair generation,,,,,41126120.0,ns,1558
Ed25519 keypair generation,,,,,42126565.0,ns,1596
Ed25519 keypair generation,,,,,43161934.0,ns,1634
Ed25519 keypair generation,,,,,44300229.0,ns,1672
Ed25519 keypair generation,,,,,45117768.0,ns,1710
Ed25519 keypair generation,,,,,46265165.0,ns,1748
Ed25519 keypair generation,,,,,47258554.0,ns,1786
Ed25519 keypair generation,,,,,48486523.0,ns,1824
Ed25519 keypair generation,,,,,49343687.0,ns,1862
Ed25519 keypair generation,,,,,50185344.0,ns,1900
Ed25519 keypair generation,,,,,51214743.0,ns,1938
Ed25519 keypair generation,,,,,52497405.0,ns,1976
Ed25519 keypair generation,,,,,53493703.0,ns,2014
Ed25519 keypair generation,,,,,54296383.0,ns,2052
Ed25519 keypair generation,,,,,55257938.0,ns,2090
Ed25519 keypair generation,,,,,56139977.0,ns,2128
Ed25519 keypair generation,,,,,57309820.0,ns,2166
Ed25519 keypair generation,,,,,58142707.0,ns,2204
Ed25519 keypair generation,,,,,59142877.0,ns,2242
Ed25519 keypair generation,,,,,60453768.0,ns,2280
Ed25519 keypair generation,,,,,61148959.0,ns,2318
Ed25519 keypair generation,,,,,62185054.0,ns,2356
Ed25519 keypair generation,,,,,63185955.0,ns,2394
Ed25519 keypair generation,,,,,64224771.0,ns,2432
Ed25519 keypair generation,,,,,65481237.0,ns,2470
Ed25519 keypair generation,,,,,66268740.0,ns,2508
Ed25519 keypair generation,,,,,67258186.0,ns,2546
Ed25519 keypair generation,,,,,68529414.0,ns,2584
Ed25519 keypair generation,,,,,70207533.0,ns,2622
Ed25519 keypair generation,,,,,70475459.0,ns,2660
Ed25519 keypair generation,,,,,71255182.0,ns,2698
Ed25519 keypair generation,,,,,72467802.0,ns,2736
Ed25519 keypair generation,,,,,73438938.0,ns,2774
Ed25519 keypair generation,,,,,74386394.0,ns,2812
Ed25519 keypair generation,,,,,75432565.0,ns,2850
Ed25519 keypair generation,,,,,76240713.0,ns,2888
Ed25519 keypair generation,,,,,77385235.0,ns,2926
Ed25519 keypair generation,,,,,78265737.0,ns,2964
Ed25519 keypair generation,,,,,79303035.0,ns,3002
Ed25519 keypair generation,,,,,80687218.0,ns,3040
Ed25519 keypair generation,,,,,81743252.0,ns,3078
Ed25519 keypair generation,,,,,83549915.0,ns,3116
Ed25519 keypair generation,,,,,83542268.0,ns,3154
Ed25519 keypair generation,,,,,84743566.0,ns,3192
Ed25519 keypair generation,,,,,86741789.0,ns,3230
Ed25519 keypair generation,,,,,86505093.0,ns,3268
Ed25519 keypair generation,,,,,87379105.0,ns,3306
Ed25519 keypair generation,,,,,89326899.0,ns,3344
Ed25519 keypair generation,,,,,89337064.0,ns,3382
Ed25519 keypair generation,,,,,90325391.0,ns,3420
Ed25519 keypair generation,,,,,91431428.0,ns,3458
Ed25519 keypair generation,,,,,92821673.0,ns,3496
Ed25519 keypair generation,,,,,93580708.0,ns,3534
