group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,1062242.0,ns,13
Ed25519 signature verification,,,,,2118027.0,ns,26
Ed25519 signature verification,,,,,3175603.0,ns,39
Ed25519 signature verification,,,,,4235581.0,ns,52
Ed25519 signature verification,,,,,5329934.0,ns,65
Ed25519 signature verification,,,,,6349122.0,ns,78
Ed25519 signature verification,,,,,7578589.0,ns,91
Ed25519 signature verification,,,,,8544466.0,ns,104
Ed25519 signature verification,,,,,9561766.0,ns,117
Ed25519 signature verification,,,,,10851756.0,ns,130
Ed25519 signature verification,,,,,11878585.0,ns,143
Ed25519 signature verification,,,,,12751285.0,ns,156
Ed25519 signature verification,,,,,13841263.0,ns,169
Ed25519 signature verification,,,,,14819754.0,ns,182
Ed25519 signature verification,,,,,15876825.0,ns,195
Ed25519 signature verification,,,,,17016058.0,ns,208
Ed25519 signature verification,,,,,18604789.0,ns,221
Ed25519 signature verification,,,,,19298996.0,ns,234
Ed25519 signature verification,,,,,20114852.0,ns,247
Ed25519 signature verification,,,,,21930400.0,ns,260
Ed25519 signature verification,,,,,22441079.0,ns,273
Ed25519 signature verification,,,,,23379147.0,ns,286
Ed25519 signature verification,,,,,24380706.0,ns,299
Ed25519 signature verification,,,,,25413364.0,ns,312
Ed25519 signature verification,,,,,26503096.0,ns,325
Ed25519 signature verification,,,,,27594349.0,ns,338
Ed25519 signature verification,,,,,28633281.0,ns,351
Ed25519 signature verification,,,,,29777631.0,ns,364
Ed25519 signature verification,,,,,30977693.0,ns,377
Ed25519 signature verification,,,,,32049427.0,ns,390
Ed25519 signature verification,,,,,32941247.0,ns,403
Ed25519 signature verification,,,,,34129990.0,ns,416
Ed25519 signature verification,,,,,35093400.0,ns,429
Ed25519 signature verification,,,,,36362849.0,ns,442
Ed25519 signature verification,,,,,37185360.0,ns,455
Ed25519 signature verification,,,,,38269781.0,ns,468
Ed25519 signature verification,,,,,39260697.0,ns,481
Ed25519 signature verification,,,,,40318977.0,ns,494
Ed25519 signature verification,,,,,41373072.0,ns,507
Ed25519 signature verification,,,,,42485201.0,ns,520
Ed25519 signature verification,,,,,43590183.0,ns,533
Ed25519 signature verification,,,,,44607741.0,ns,546
Ed25519 signature verification,,,,,45664203.0,ns,559
Ed25519 signature verification,,,,,47329674.0,ns,572
Ed25519 signature verification,,,,,47713178.0,ns,585
Ed25519 signature verification,,,,,48924238.0,ns,598
Ed25519 signature verification,,,,,50304489.0,ns,611
Ed25519 signature verification,,,,,52936831.0,ns,624
Ed25519 signature verification,,,,,52117192.0,ns,637
Ed25519 signature verification,,,,,53880599.0,ns,650
Ed25519 signature verification,,,,,55127314.0,ns,663
Ed25519 signature verification,,,,,55394160.0,ns,676
Ed25519 signature verification,,,,,56225975.0,ns,689
Ed25519 signature verification,,,,,57803003.0,ns,702
Ed25519 signature verification,,,,,58354355.0,ns,715
Ed25519 signature verification,,,,,59610035.0,ns,728
Ed25519 signature verification,,,,,60393584.0,ns,741
Ed25519 signature verification,,,,,61521710.0,ns,754
Ed25519 signature verification,,,,,62508349.0,ns,767
Ed25519 signature verification,,,,,63713869.0,ns,780
Ed25519 signature verification,,,,,64668326.0,ns,793
Ed25519 signature verification,,,,,65763174.0,ns,806
Ed25519 signature verification,,,,,66831472.0,ns,819
Ed25519 signature verification,,,,,68797921.0,ns,832
Ed25519 signature verification,,,,,69053749.0,ns,845
Ed25519 signature verification,,,,,70131906.0,ns,858
Ed25519 signature verification,,,,,71346582.0,ns,871
Ed25519 signature verification,,,,,72281244.0,ns,884
Ed25519 signature verification,,,,,73176129.0,ns,897
Ed25519 signature verification,,,,,74127112.0,ns,910
Ed25519 signature verification,,,,,75463750.0,ns,923
Ed25519 signature verification,,,,,76388097.0,ns,936
Ed25519 signature verification,,,,,77367598.0,ns,949
Ed25519 signature verification,,,,,78475856.0,ns,962
Ed25519 signature verification,,,,,79641176.0,ns,975
Ed25519 signature verification,,,,,80875592.0,ns,988
Ed25519 signature verification,,,,,82233963.0,ns,1001
Ed25519 signature verification,,,,,82688168.0,ns,1014
Ed25519 signature verification,,,,,83882502.0,ns,1027
Ed25519 signature verification,,,,,85415630.0,ns,1040
Ed25519 signature verification,,,,,86167047.0,ns,1053
Ed25519 signature verification,,,,,87376321.0,ns,1066
Ed25519 signature verification,,,,,89121913.0,ns,1079
Ed25519 signature verification,,,,,89163188.0,ns,1092
Ed25519 signature verification,,,,,89985080.0,ns,1105
Ed25519 signature verification,,,,,91129497.0,ns,1118
Ed25519 signature verification,,,,,92245754.0,ns,1131
Ed25519 signature verification,,,,,93909856.0,ns,1144
Ed25519 signature verification,,,,,94906004.0,ns,1157
Ed25519 signature verification,,,,,95758219.0,ns,1170
Ed25519 signature verification,,,,,96792423.0,ns,1183
Ed25519 signature verification,,,,,97845486.0,ns,1196
Ed25519 signature verification,,,,,100839050.0,ns,1209
Ed25519 signature verification,,,,,99780158.0,ns,1222
Ed25519 signature verification,,,,,100772720.0,ns,1235
Ed25519 signature verification,,,,,102832453.0,ns,1248
Ed25519 signature verification,,,,,102823752.0,ns,1261
Ed25519 signature verification,,,,,104580168.0,ns,1274
Ed25519 signature verification,,,,,105431760.0,ns,1287
Ed25519 signature verification,,,,,106128283.0,ns,1300
