group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,1009388.0,ns,37
Ed25519 signing,,,,,2019043.0,ns,74
Ed25519 signing,,,,,3081408.0,ns,111
Ed25519 signing,,,,,4037656.0,ns,148
Ed25519 signing,,,,,5049010.0,ns,185
Ed25519 signing,,,,,6061385.0,ns,222
Ed25519 signing,,,,,7181752.0,ns,259
Ed25519 signing,,,,,8079364.0,ns,296
Ed25519 signing,,,,,9095980.0,ns,333
Ed25519 signing,,,,,10142984.0,ns,370
Ed25519 signing,,,,,11112170.0,ns,407
Ed25519 signing,,,,,12164667.0,ns,444
Ed25519 signing,,,,,13206766.0,ns,481
Ed25519 signing,,,,,14174631.0,ns,518
Ed25519 signing,,,,,15264555.0,ns,555
Ed25519 signing,,,,,16187460.0,ns,592
Ed25519 signing,,,,,17211500.0,ns,629
Ed25519 signing,,,,,18180190.0,ns,666
Ed25519 signing,,,,,19235711.0,ns,703
Ed25519 signing,,,,,20241832.0,ns,740
Ed25519 signing,,,,,21257306.0,ns,777
Ed25519 signing,,,,,22261397.0,ns,814
Ed25519 signing,,,,,23286949.0,ns,851
Ed25519 signing,,,,,24433160.0,ns,888
Ed25519 signing,,,,,25419976.0,ns,925
Ed25519 signing,,,,,26344160.0,ns,962
Ed25519 signing,,,,,27343374.0,ns,999
Ed25519 signing,,,,,28398029.0,ns,1036
Ed25519 signing,,,,,29334014.0,ns,1073
Ed25519 signing,,,,,30533607.0,ns,1110
Ed25519 signing,,,,,31459864.0,ns,1147
Ed25519 signing,,,,,32365226.0,ns,1184
Ed25519 signing,,,,,33490239.0,ns,1221
Ed25519 signing,,,,,34327685.0,ns,1258
Ed25519 signing,,,,,35370941.0,ns,1295
Ed25519 signing,,,,,36385528.0,ns,1332
Ed25519 signing,,,,,37458796.0,ns,1369
Ed25519 signing,,,,,38368993.0,ns,1406
Ed25519 signing,,,,,39387424.0,ns,1443
Ed25519 signing,,,,,40404174.0,ns,1480
Ed25519 signing,,,,,41557197.0,ns,1517
Ed25519 signing,,,,,42637232.0,ns,1554
Ed25519 signing,,,,,43709695.0,ns,1591
Ed25519 signing,,,,,44781222.0,ns,1628
Ed25519 signing,,,,,45762883.0,ns,1665
Ed25519 signing,,,,,46653361.0,ns,1702
Ed25519 signing,,,,,47628018.0,ns,1739
Ed25519 signing,,,,,48782279.0,ns,1776
Ed25519 signing,,,,,49728187.0,ns,1813
Ed25519 signing,,,,,50747643.0,ns,1850
Ed25519 signing,,,,,51690117.0,ns,1887
Ed25519 signing,,,,,52701048.0,ns,1924
Ed25519 signing,,,,,53663727.0,ns,1961
Ed25519 signing,,,,,54907513.0,ns,1998
Ed25519 signing,,,,,55710653.0,ns,2035
Ed25519 signing,,,,,59230628.0,ns,2072
Ed25519 signing,,,,,58343899.0,ns,2109
Ed25519 signing,,,,,60340295.0,ns,2146
Ed25519 signing,,,,,59731258.0,ns,2183
Ed25519 signing,,,,,60931892.0,ns,2220
Ed25519 signing,,,,,61701259.0,ns,2257
Ed25519 signing,,,,,63080004.0,ns,2294
Ed25519 signing,,,,,64008570.0,ns,2331
Ed25519 signing,,,,,64860704.0,ns,2368
Ed25519 signing,,,,,66226803.0,ns,2405
Ed25519 signing,,,,,66974904.0,ns,2442
Ed25519 signing,,,,,68499757.0,ns,2479
Ed25519 signing,,,,,68840072.0,ns,2516
Ed25519 signing,,,,,69720197.0,ns,2553
Ed25519 signing,,,,,71017879.0,ns,2590
Ed25519 signing,,,,,72304181.0,ns,2627
Ed25519 signing,,,,,72933196.0,ns,2664
Ed25519 signing,,,,,73850880.0,ns,2701
Ed25519 signing,,,,,74916017.0,ns,2738
Ed25519 signing,,,,,75804230.0,ns,2775
Ed25519 signing,,,,,77526536.0,ns,2812
Ed25519 signing,,,,,77295933.0,ns,2849
Ed25519 signing,,,,,78820069.0,ns,2886
Ed25519 signing,,,,,79728664.0,ns,2923
Ed25519 signing,,,,,81013629.0,ns,2960
Ed25519 signing,,,,,82423357.0,ns,2997
Ed25519 signing,,,,,83054090.0,ns,3034
Ed25519 signing,,,,,84080828.0,ns,3071
Ed25519 signing,,,,,84945085.0,ns,3108
Ed25519 signing,,,,,85885903.0,ns,3145
Ed25519 signing,,,,,86908821.0,ns,3182
Ed25519 signing,,,,,88075557.0,ns,3219
Ed25519 signing,,,,,89611287.0,ns,3256
Ed25519 signing,,,,,90257724.0,ns,3293
Ed25519 signing,,,,,90944808.0,ns,3330
Ed25519 signing,,,,,92115306.0,ns,3367
Ed25519 signing,,,,,93407449.0,ns,3404
Ed25519 signing,,,,,94006613.0,ns,3441
Ed25519 signing,,,,,95149840.0,ns,3478
Ed25519 signing,,,,,96000589.0,ns,3515
Ed25519 signing,,,,,97111350.0,ns,3552
Ed25519 signing,,,,,98076917.0,ns,3589
Ed25519 signing,,,,,99249442.0,ns,3626
Ed25519 signing,,,,,101579485.0,ns,3663
Ed25519 signing,,,,,102670497.0,ns,3700
