group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,1007580.0,ns,12
Ed25519 strict signature verification,,,,,2013297.0,ns,24
Ed25519 strict signature verification,,,,,3023500.0,ns,36
Ed25519 strict signature verification,,,,,4037683.0,ns,48
Ed25519 strict signature verification,,,,,5039186.0,ns,60
Ed25519 strict signature verification,,,,,6046087.0,ns,72
Ed25519 strict signature verification,,,,,7224902.0,ns,84
Ed25519 strict signature verification,,,,,8150329.0,ns,96
Ed25519 strict signature verification,,,,,9105533.0,ns,108
Ed25519 strict signature verification,,,,,10121491.0,ns,120
Ed25519 strict signature verification,,,,,11088700.0,ns,132
Ed25519 strict signature verification,,,,,12095663.0,ns,144
Ed25519 strict signature verification,,,,,13112839.0,ns,156
Ed25519 strict signature verification,,,,,14108777.0,ns,168
Ed25519 strict signature verification,,,,,15127942.0,ns,180
Ed25519 strict signature verification,,,,,16272204.0,ns,192
Ed25519 strict signature verification,,,,,17185104.0,ns,204
Ed25519 strict signature verification,,,,,18523400.0,ns,216
Ed25519 strict signature verification,,,,,19653763.0,ns,228
Ed25519 strict signature verification,,,,,20345607.0,ns,240
Ed25519 strict signature verification,,,,,21208429.0,ns,252
Ed25519 strict signature verification,,,,,22184591.0,ns,264
Ed25519 strict signature verification,,,,,23323162.0,ns,276
Ed25519 strict signature verification,,,,,24245712.0,ns,288
Ed25519 strict signature verification,,,,,25197063.0,ns,300
Ed25519 strict signature verification,,,,,26217930.0,ns,312
Ed25519 strict signature verification,,,,,27304148.0,ns,324
Ed25519 strict signature verification,,,,,28378898.0,ns,336
Ed25519 strict signature verification,,,,,29237492.0,ns,348
Ed25519 strict signature verification,,,,,30283204.0,ns,360
Ed25519 strict signature verification,,,,,31245867.0,ns,372
Ed25519 strict signature verification,,,,,32337374.0,ns,384
Ed25519 strict signature verification,,,,,33331145.0,ns,396
Ed25519 strict signature verification,,,,,34344381.0,ns,408
Ed25519 strict signature verification,,,,,35591964.0,ns,420
Ed25519 strict signature verification,,,,,36321751.0,ns,432
Ed25519 strict signature verification,,,,,37411230.0,ns,444
Ed25519 strict signature verification,,,,,38343199.0,ns,456
Ed25519 strict signature verification,,,,,39325457.0,ns,468
Ed25519 strict signature verification,,,,,40360714.0,ns,480
Ed25519 strict signature verification,,,,,41489933.0,ns,492
Ed25519 strict signature verification,,,,,42723101.0,ns,504
Ed25519 strict signature verification,,,,,43462144.0,ns,516
Ed25519 strict signature verification,,,,,44545348.0,ns,528
Ed25519 strict signature verification,,,,,45462294.0,ns,540
Ed25519 strict signature verification,,,,,46485763.0,ns,552
Ed25519 strict signature verification,,,,,48540476.0,ns,564
Ed25519 strict signature verification,,,,,49506390.0,ns,576
Ed25519 strict signature verification,,,,,49518325.0,ns,588
Ed25519 strict signature verification,,,,,50587847.0,ns,600
Ed25519 strict signature verification,,,,,51551597.0,ns,612
Ed25519 strict signature verification,,,,,52498805.0,ns,624
Ed25519 strict signature verification,,,,,53444168.0,ns,636
Ed25519 strict signature verification,,,,,54543664.0,ns,648
Ed25519 strict signature verification,,,,,55605787.0,ns,660
Ed25519 strict signature verification,,,,,56481594.0,ns,672
Ed25519 strict signature verification,,,,,57448528.0,ns,684
Ed25519 strict signature verification,,,,,59157056.0,ns,696
Ed25519 strict signature verification,,,,,59475796.0,ns,708
Ed25519 strict signature verification,,,,,60605538.0,ns,720
Ed25519 strict signature verification,,,,,61727282.0,ns,732
Ed25519 strict signature verification,,,,,62631596.0,ns,744
Ed25519 strict signature verification,,,,,64127187.0,ns,756
Ed25519 strict signature verification,,,,,65455126.0,ns,768
Ed25519 strict signature verification,,,,,66986332.0,ns,780
Ed25519 strict signature verification,,,,,67798005.0,ns,792
Ed25519 strict signature verification,,,,,69249188.0,ns,804
Ed25519 strict signature verification,,,,,69497304.0,ns,816
Ed25519 strict signature verification,,,,,70661869.0,ns,828
Ed25519 strict signature verification,,,,,75152209.0,ns,840
Ed25519 strict signature verification,,,,,79777562.0,ns,852
Ed25519 strict signature verification,,,,,74127628.0,ns,864
Ed25519 strict signature verification,,,,,74762463.0,ns,876
Ed25519 strict signature verification,,,,,75265425.0,ns,888
Ed25519 strict signature verification,,,,,77583008.0,ns,900
Ed25519 strict signature verification,,,,,78315990.0,ns,912
Ed25519 strict signature verification,,,,,79033754.0,ns,924
Ed25519 strict signature verification,,,,,79910538.0,ns,936
Ed25519 strict signature verification,,,,,80933385.0,ns,948
Ed25519 strict signature verification,,,,,80784504.0,ns,960
Ed25519 strict signature verification,,,,,84064526.0,ns,972
Ed25519 strict signature verification,,,,,85017034.0,ns,984
Ed25519 strict signature verification,,,,,85861585.0,ns,996
Ed25519 strict signature verification,,,,,87299784.0,ns,1008
Ed25519 strict signature verification,,,,,88217405.0,ns,1020
Ed25519 strict signature verification,,,,,88571872.0,ns,1032
Ed25519 strict signature verification,,,,,88300911.0,ns,1044
Ed25519 strict signature verification,,,,,89353601.0,ns,1056
Ed25519 strict signature verification,,,,,90427088.0,ns,1068
Ed25519 strict signature verification,,,,,92707025.0,ns,1080
Ed25519 strict signature verification,,,,,93040338.0,ns,1092
Ed25519 strict signature verification,,,,,94234782.0,ns,1104
Ed25519 strict signature verification,,,,,94297177.0,ns,1116
Ed25519 strict signature verification,,,,,96804280.0,ns,1128
Ed25519 strict signature verification,,,,,97897528.0,ns,1140
Ed25519 strict signature verification,,,,,98146908.0,ns,1152
Ed25519 strict signature verification,,,,,98616208.0,ns,1164
Ed25519 strict signature verification,,,,,99364259.0,ns,1176
Ed25519 strict signature verification,,,,,100992138.0,ns,1188
Ed25519 strict signature verification,,,,,104024500.0,ns,1200
