group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,32,,,1240869.0,ns,2
Ed25519 batch signature verification,,32,,,2442070.0,ns,4
Ed25519 batch signature verification,,32,,,3703656.0,ns,6
Ed25519 batch signature verification,,32,,,4950704.0,ns,8
Ed25519 batch signature verification,,32,,,6386187.0,ns,10
Ed25519 batch signature verification,,32,,,7593515.0,ns,12
Ed25519 batch signature verification,,32,,,8609016.0,ns,14
Ed25519 batch signature verification,,32,,,9848000.0,ns,16
Ed25519 batch signature verification,,32,,,11037089.0,ns,18
Ed25519 batch signature verification,,32,,,12237197.0,ns,20
Ed25519 batch signature verification,,32,,,13530253.0,ns,22
Ed25519 batch signature verification,,32,,,14683922.0,ns,24
Ed25519 batch signature verification,,32,,,15921112.0,ns,26
Ed25519 batch signature verification,,32,,,17165451.0,ns,28
Ed25519 batch signature verification,,32,,,18362445.0,ns,30
Ed25519 batch signature verification,,32,,,19538031.0,ns,32
Ed25519 batch signature verification,,32,,,20766545.0,ns,34
Ed25519 batch signature verification,,32,,,22246888.0,ns,36
Ed25519 batch signature verification,,32,,,23209691.0,ns,38
Ed25519 batch signature verification,,32,,,24437288.0,ns,40
Ed25519 batch signature verification,,32,,,25794738.0,ns,42
Ed25519 batch signature verification,,32,,,27108773.0,ns,44
Ed25519 batch signature verification,,32,,,28095319.0,ns,46
Ed25519 batch signature verification,,32,,,29416143.0,ns,48
Ed25519 batch signature verification,,32,,,30541611.0,ns,50
Ed25519 batch signature verification,,32,,,31813777.0,ns,52
Ed25519 batch signature verification,,32,,,33039423.0,ns,54
Ed25519 batch signature verification,,32,,,34358687.0,ns,56
Ed25519 batch signature verification,,32,,,35489881.0,ns,58
Ed25519 batch signature verification,,32,,,36896426.0,ns,60
Ed25519 batch signature verification,,32,,,37982711.0,ns,62
Ed25519 batch signature verification,,32,,,39257077.0,ns,64
Ed25519 batch signature verification,,32,,,40339686.0,ns,66
Ed25519 batch signature verification,,32,,,41527842.0,ns,68
Ed25519 batch signature verification,,32,,,42814158.0,ns,70
Ed25519 batch signature verification,,32,,,44110502.0,ns,72
Ed25519 batch signature verification,,32,,,45177940.0,ns,74
Ed25519 batch signature verification,,32,,,46446415.0,ns,76
Ed25519 batch signature verification,,32,,,47695221.0,ns,78
Ed25519 batch signature verification,,32,,,48973759.0,ns,80
Ed25519 batch signature verification,,32,,,50340859.0,ns,82
Ed25519 batch signature verification,,32,,,51614476.0,ns,84
Ed25519 batch signature verification,,32,,,52706830.0,ns,86
Ed25519 batch signature verification,,32,,,54088726.0,ns,88
Ed25519 batch signature verification,,32,,,55010936.0,ns,90
Ed25519 batch signature verification,,32,,,56275942.0,ns,92
Ed25519 batch signature verification,,32,,,57482648.0,ns,94
Ed25519 batch signature verification,,32,,,59095310.0,ns,96
Ed25519 batch signature verification,,32,,,60039710.0,ns,98
Ed25519 batch signature verification,,32,,,61153996.0,ns,100
Ed25519 batch signature verification,,32,,,62970519.0,ns,102
Ed25519 batch signature verification,,32,,,63579038.0,ns,104
Ed25519 batch signature verification,,32,,,64773623.0,ns,106
Ed25519 batch signature verification,,32,,,66044238.0,ns,108
Ed25519 batch signature verification,,32,,,67281555.0,ns,110
Ed25519 batch signature verification,,32,,,68376185.0,ns,112
Ed25519 batch signature verification,,32,,,69529604.0,ns,114
Ed25519 batch signature verification,,32,,,71619224.0,ns,116
Ed25519 batch signature verification,,32,,,72477078.0,ns,118
Ed25519 batch signature verification,,32,,,73331260.0,ns,120
Ed25519 batch signature verification,,32,,,74613608.0,ns,122
Ed25519 batch signature verification,,32,,,75943652.0,ns,124
Ed25519 batch signature verification,,32,,,77333608.0,ns,126
Ed25519 batch signature verification,,32,,,78240944.0,ns,128
Ed25519 batch signature verification,,32,,,79932095.0,ns,130
Ed25519 batch signature verification,,32,,,80708848.0,ns,132
Ed25519 batch signature verification,,32,,,82002945.0,ns,134
Ed25519 batch signature verification,,32,,,83031256.0,ns,136
Ed25519 batch signature verification,,32,,,84381084.0,ns,138
Ed25519 batch signature verification,,32,,,85902569.0,ns,140
Ed25519 batch signature verification,,32,,,86976397.0,ns,142
Ed25519 batch signature verification,,32,,,88179058.0,ns,144
Ed25519 batch signature verification,,32,,,89673882.0,ns,146
Ed25519 batch signature verification,,32,,,90447135.0,ns,148
Ed25519 batch signature verification,,32,,,91814960.0,ns,150
Ed25519 batch signature verification,,32,,,93238840.0,ns,152
Ed25519 batch signature verification,,32,,,94416609.0,ns,154
Ed25519 batch signature verification,,32,,,96325932.0,ns,156
Ed25519 batch signature verification,,32,,,96671547.0,ns,158
Ed25519 batch signature verification,,32,,,97896318.0,ns,160
Ed25519 batch signature verification,,32,,,99128178.0,ns,162
Ed25519 batch signature verification,,32,,,100488116.0,ns,164
Ed25519 batch signature verification,,32,,,101970549.0,ns,166
Ed25519 batch signature verification,,32,,,103098701.0,ns,168
Ed25519 batch signature verification,,32,,,105250130.0,ns,170
Ed25519 batch signature verification,,32,,,106197818.0,ns,172
Ed25519 batch signature verification,,32,,,106433658.0,ns,174
Ed25519 batch signature verification,,32,,,107237200.0,ns,176
Ed25519 batch signature verification,,32,,,108720760.0,ns,178
Ed25519 batch signature verification,,32,,,110137212.0,ns,180
Ed25519 batch signature verification,,32,,,112248782.0,ns,182
Ed25519 batch signature verification,,32,,,112958420.0,ns,184
Ed25519 batch signature verification,,32,,,114415921.0,ns,186
Ed25519 batch signature verification,,32,,,115356662.0,ns,188
Ed25519 batch signature verification,,32,,,117500399.0,ns,190
Ed25519 batch signature verification,,32,,,117718306.0,ns,192
Ed25519 batch signature verification,,32,,,118736171.0,ns,194
Ed25519 batch signature verification,,32,,,119922076.0,ns,196
Ed25519 batch signature verification,,32,,,121858797.0,ns,198
Ed25519 batch signature verification,,32,,,123452584.0,ns,200
