group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 batch signature verification,,64,,,1194484.0,ns,1
Ed25519 batch signature verification,,64,,,2390236.0,ns,2
Ed25519 batch signature verification,,64,,,3641982.0,ns,3
Ed25519 batch signature verification,,64,,,4854380.0,ns,4
Ed25519 batch signature verification,,64,,,6015704.0,ns,5
Ed25519 batch signature verification,,64,,,7247596.0,ns,6
Ed25519 batch signature verification,,64,,,8404056.0,ns,7
Ed25519 batch signature verification,,64,,,9707426.0,ns,8
Ed25519 batch signature verification,,64,,,10768595.0,ns,9
Ed25519 batch signature verification,,64,,,12026364.0,ns,10
Ed25519 batch signature verification,,64,,,13197767.0,ns,11
Ed25519 batch signature verification,,64,,,14333685.0,ns,12
Ed25519 batch signature verification,,64,,,15582150.0,ns,13
Ed25519 batch signature verification,,64,,,16776436.0,ns,14
Ed25519 batch signature verification,,64,,,17946525.0,ns,15
Ed25519 batch signature verification,,64,,,19128206.0,ns,16
Ed25519 batch signature verification,,64,,,20296237.0,ns,17
Ed25519 batch signature verification,,64,,,21538548.0,ns,18
Ed25519 batch signature verification,,64,,,22958242.0,ns,19
Ed25519 batch signature verification,,64,,,23987095.0,ns,20
Ed25519 batch signature verification,,64,,,25205490.0,ns,21
Ed25519 batch signature verification,,64,,,26953525.0,ns,22
Ed25519 batch signature verification,,64,,,27699490.0,ns,23
Ed25519 batch signature verification,,64,,,28764858.0,ns,24
Ed25519 batch signature verification,,64,,,29924119.0,ns,25
Ed25519 batch signature verification,,64,,,31334918.0,ns,26
Ed25519 batch signature verification,,64,,,32349107.0,ns,27
Ed25519 batch signature verification,,64,,,33608326.0,ns,28
Ed25519 batch signature verification,,64,,,34831810.0,ns,29
Ed25519 batch signature verification,,64,,,35941104.0,ns,30
Ed25519 batch signature verification,,64,,,37028097.0,ns,31
Ed25519 batch signature verification,,64,,,39034142.0,ns,32
Ed25519 batch signature verification,,64,,,39385686.0,ns,33
Ed25519 batch signature verification,,64,,,40693279.0,ns,34
Ed25519 batch signature verification,,64,,,41823115.0,ns,35
Ed25519 batch signature verification,,64,,,43088938.0,ns,36
Ed25519 batch signature verification,,64,,,44731686.0,ns,37
Ed25519 batch signature verification,,64,,,45466242.0,ns,38
Ed25519 batch signature verification,,64,,,46689035.0,ns,39
Ed25519 batch signature verification,,64,,,47621168.0,ns,40
Ed25519 batch signature verification,,64,,,48517113.0,ns,41
