group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 keypair generation,,,,,985406.0,ns,72
Ed25519 keypair generation,,,,,1969844.0,ns,144
Ed25519 keypair generation,,,,,2955336.0,ns,216
Ed25519 keypair generation,,,,,3981302.0,ns,288
Ed25519 keypair generation,,,,,5131377.0,ns,360
Ed25519 keypair generation,,,,,5989464.0,ns,432
Ed25519 keypair generation,,,,,7101742.0,ns,504
Ed25519 keypair generation,,,,,7984287.0,ns,576
Ed25519 keypair generation,,,,,8913669.0,ns,648
Ed25519 keypair generation,,,,,9949941.0,ns,720
Ed25519 keypair generation,,,,,11221481.0,ns,792
Ed25519 keypair generation,,,,,11981511.0,ns,864
Ed25519 keypair generation,,,,,13026449.0,ns,936
Ed25519 keypair generation,,,,,13887161.0,ns,1008
Ed25519 keypair generation,,,,,14937779.0,ns,1080
Ed25519 keypair generation,,,,,15875919.0,ns,1152
Ed25519 keypair generation,,,,,16823057.0,ns,1224
Ed25519 keypair generation,,,,,17894029.0,ns,1296
Ed25519 keypair generation,,,,,18830975.0,ns,1368
Ed25519 keypair generation,,,,,20720457.0,ns,1440
Ed25519 keypair generation,,,,,20738449.0,ns,1512
Ed25519 keypair generation,,,,,21872979.0,ns,1584
Ed25519 keypair generation,,,,,22736000.0,ns,1656
Ed25519 keypair generation,,,,,23763878.0,ns,1728
Ed25519 keypair generation,,,,,24812073.0,ns,1800
Ed25519 keypair generation,,,,,25725239.0,ns,1872
Ed25519 keypair generation,,,,,26629051.0,ns,1944
Ed25519 keypair generation,,,,,27882357.0,ns,2016
Ed25519 keypair generation,,,,,28629672.0,ns,2088
Ed25519 keypair generation,,,,,29745681.0,ns,2160
Ed25519 keypair generation,,,,,30602339.0,ns,2232
Ed25519 keypair generation,,,,,31935365.0,ns,2304
Ed25519 keypair generation,,,,,32623816.0,ns,2376
Ed25519 keypair generation,,,,,33736024.0,ns,2448
Ed25519 keypair generation,,,,,35886471.0,ns,2520
Ed25519 keypair generation,,,,,35693405.0,ns,2592
Ed25519 keypair generation,,,,,36753969.0,ns,2664
Ed25519 keypair generation,,,,,38229015.0,ns,2736
Ed25519 keypair generation,,,,,39233549.0,ns,2808
Ed25519 keypair generation,,,,,39708792.0,ns,2880
Ed25519 keypair generation,,,,,40492173.0,ns,2952
Ed25519 keypair generation,,,,,41762723.0,ns,3024
Ed25519 keypair generation,,,,,42632193.0,ns,3096
Ed25519 keypair generation,,,,,43481245.0,ns,3168
Ed25519 keypair generation,,,,,45353797.0,ns,3240
Ed25519 keypair generation,,,,,45514190.0,ns,3312
Ed25519 keypair generation,,,,,46415170.0,ns,3384
Ed25519 keypair generation,,,,,49373971.0,ns,3456
Ed25519 keypair generation,,,,,49655019.0,ns,3528
Ed25519 keypair generation,,,,,50815718.0,ns,3600
Ed25519 keypair generation,,,,,51412314.0,ns,3672
Ed25519 keypair generation,,,,,52357035.0,ns,3744
Ed25519 keypair generation,,,,,53276371.0,ns,3816
Ed25519 keypair generation,,,,,53972920.0,ns,3888
Ed25519 keypair generation,,,,,54498724.0,ns,3960
Ed25519 keypair generation,,,,,55759374.0,ns,4032
Ed25519 keypair generation,,,,,57148780.0,ns,4104
Ed25519 keypair generation,,,,,57757658.0,ns,4176
Ed25519 keypair generation,,,,,59420555.0,ns,4248
Ed25519 keypair generation,,,,,59807670.0,ns,4320
Ed25519 keypair generation,,,,,60407511.0,ns,4392
Ed25519 keypair generation,,,,,61224049.0,ns,4464
Ed25519 keypair generation,,,,,62215810.0,ns,4536
Ed25519 keypair generation,,,,,63405356.0,ns,4608
Ed25519 keypair generation,,,,,66310182.0,ns,4680
Ed25519 keypair generation,,,,,65957073.0,ns,4752
Ed25519 keypair generation,,,,,66686949.0,ns,4824
Ed25519 keypair generation,,,,,67019143.0,ns,4896
Ed25519 keypair generation,,,,,68121087.0,ns,4968
Ed25519 keypair generation,,,,,69259592.0,ns,5040
Ed25519 keypair generation,,,,,70322674.0,ns,5112
Ed25519 keypair generation,,,,,71126324.0,ns,5184
Ed25519 keypair generation,,,,,72323853.0,ns,5256
Ed25519 keypair generation,,,,,73489205.0,ns,5328
Ed25519 keypair generation,,,,,73969731.0,ns,5400
Ed25519 keypair generation,,,,,75065177.0,ns,5472
Ed25519 keypair generation,,,,,75933667.0,ns,5544
Ed25519 keypair generation,,,,,77041786.0,ns,5616
Ed25519 keypair generation,,,,,78131533.0,ns,5688
Ed25519 keypair generation,,,,,81331459.0,ns,5760
Ed25519 keypair generation,,,,,81188700.0,ns,5832
Ed25519 keypair generation,,,,,82628533.0,ns,5904
Ed25519 keypair generation,,,,,82482347.0,ns,5976
Ed25519 keypair generation,,,,,83636364.0,ns,6048
Ed25519 keypair generation,,,,,84211212.0,ns,6120
Ed25519 keypair generation,,,,,84822509.0,ns,6192
Ed25519 keypair generation,,,,,85965110.0,ns,6264
Ed25519 keypair generation,,,,,87060592.0,ns,6336
Ed25519 keypair generation,,,,,87952200.0,ns,6408
Ed25519 keypair generation,,,,,88988219.0,ns,6480
Ed25519 keypair generation,,,,,90028098.0,ns,6552
Ed25519 keypair generation,,,,,91247548.0,ns,6624
Ed25519 keypair generation,,,,,92524608.0,ns,6696
Ed25519 keypair generation,,,,,93060658.0,ns,6768
Ed25519 keypair generation,,,,,94081272.0,ns,6840
Ed25519 keypair generation,,,,,95469856.0,ns,6912
Ed25519 keypair generation,,,,,95901912.0,ns,6984
Ed25519 keypair generation,,,,,96690537.0,ns,7056
Ed25519 keypair generation,,,,,97855981.0,ns,7128
Ed25519 keypair generation,,,,,98763915.0,ns,7200
