group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signature verification,,,,,1103522.0,ns,25
Ed25519 signature verification,,,,,1998472.0,ns,50
Ed25519 signature verification,,,,,2923466.0,ns,75
Ed25519 signature verification,,,,,3977302.0,ns,100
Ed25519 signature verification,,,,,5128116.0,ns,125
Ed25519 signature verification,,,,,6029935.0,ns,150
Ed25519 signature verification,,,,,6900818.0,ns,175
Ed25519 signature verification,,,,,7922554.0,ns,200
Ed25519 signature verification,,,,,9089864.0,ns,225
Ed25519 signature verification,,,,,9900327.0,ns,250
Ed25519 signature verification,,,,,10740084.0,ns,275
Ed25519 signature verification,,,,,11745094.0,ns,300
Ed25519 signature verification,,,,,12685052.0,ns,325
Ed25519 signature verification,,,,,13790282.0,ns,350
Ed25519 signature verification,,,,,14694336.0,ns,375
Ed25519 signature verification,,,,,16185885.0,ns,400
Ed25519 signature verification,,,,,16649843.0,ns,425
Ed25519 signature verification,,,,,17505173.0,ns,450
Ed25519 signature verification,,,,,18478165.0,ns,475
Ed25519 signature verification,,,,,19523977.0,ns,500
Ed25519 signature verification,,,,,20425920.0,ns,525
Ed25519 signature verification,,,,,21400583.0,ns,550
Ed25519 signature verification,,,,,22423767.0,ns,575
Ed25519 signature verification,,,,,23387186.0,ns,600
Ed25519 signature verification,,,,,24690658.0,ns,625
Ed25519 signature verification,,,,,25604213.0,ns,650
Ed25519 signature verification,,,,,26635420.0,ns,675
Ed25519 signature verification,,,,,27712752.0,ns,700
Ed25519 signature verification,,,,,28246112.0,ns,725
Ed25519 signature verification,,,,,29326727.0,ns,750
Ed25519 signature verification,,,,,30184738.0,ns,775
Ed25519 signature verification,,,,,31548414.0,ns,800
Ed25519 signature verification,,,,,32086763.0,ns,825
Ed25519 signature verification,,,,,33380326.0,ns,850
Ed25519 signature verification,,,,,35125160.0,ns,875
Ed25519 signature verification,,,,,36010298.0,ns,900
Ed25519 signature verification,,,,,37094590.0,ns,925
Ed25519 signature verification,,,,,37767487.0,ns,950
Ed25519 signature verification,,,,,38743033.0,ns,975
Ed25519 signature verification,,,,,39508357.0,ns,1000
Ed25519 signature verification,,,,,40078566.0,ns,1025
Ed25519 signature verification,,,,,41195327.0,ns,1050
Ed25519 signature verification,,,,,42207325.0,ns,1075
Ed25519 signature verification,,,,,43813147.0,ns,1100
Ed25519 signature verification,,,,,44829944.0,ns,1125
Ed25519 signature verification,,,,,46837601.0,ns,1150
Ed25519 signature verification,,,,,46999550.0,ns,1175
Ed25519 signature verification,,,,,48098570.0,ns,1200
Ed25519 signature verification,,,,,48897279.0,ns,1225
Ed25519 signature verification,,,,,49953568.0,ns,1250
Ed25519 signature verification,,,,,50883227.0,ns,1275
Ed25519 signature verification,,,,,51871944.0,ns,1300
Ed25519 signature verification,,,,,52751194.0,ns,1325
Ed25519 signature verification,,,,,54274807.0,ns,1350
Ed25519 signature verification,,,,,56615005.0,ns,1375
Ed25519 signature verification,,,,,56251930.0,ns,1400
Ed25519 signature verification,,,,,56856446.0,ns,1425
Ed25519 signature verification,,,,,57084869.0,ns,1450
Ed25519 signature verification,,,,,58412729.0,ns,1475
Ed25519 signature verification,,,,,58939976.0,ns,1500
Ed25519 signature verification,,,,,61398642.0,ns,1525
Ed25519 signature verification,,,,,61884911.0,ns,1550
Ed25519 signature verification,,,,,62743781.0,ns,1575
Ed25519 signature verification,,,,,64299175.0,ns,1600
Ed25519 signature verification,,,,,64146361.0,ns,1625
Ed25519 signature verification,,,,,65276342.0,ns,1650
Ed25519 signature verification,,,,,65697984.0,ns,1675
Ed25519 signature verification,,,,,67225655.0,ns,1700
Ed25519 signature verification,,,,,67549207.0,ns,1725
Ed25519 signature verification,,,,,68242759.0,ns,1750
Ed25519 signature verification,,,,,69431289.0,ns,1775
Ed25519 signature verification,,,,,70172796.0,ns,1800
Ed25519 signature verification,,,,,71395757.0,ns,1825
Ed25519 signature verification,,,,,72759716.0,ns,1850
Ed25519 signature verification,,,,,73707479.0,ns,1875
Ed25519 signature verification,,,,,74310781.0,ns,1900
Ed25519 signature verification,,,,,75244828.0,ns,1925
Ed25519 signature verification,,,,,76678285.0,ns,1950
Ed25519 signature verification,,,,,77894830.0,ns,1975
Ed25519 signature verification,,,,,78623348.0,ns,2000
Ed25519 signature verification,,,,,80423520.0,ns,2025
Ed25519 signature verification,,,,,80609880.0,ns,2050
Ed25519 signature verification,,,,,83965944.0,ns,2075
Ed25519 signature verification,,,,,85273970.0,ns,2100
Ed25519 signature verification,,,,,85830435.0,ns,2125
Ed25519 signature verification,,,,,86702255.0,ns,2150
Ed25519 signature verification,,,,,86974061.0,ns,2175
Ed25519 signature verification,,,,,87698202.0,ns,2200
Ed25519 signature verification,,,,,87348313.0,ns,2225
Ed25519 signature verification,,,,,89914480.0,ns,2250
Ed25519 signature verification,,,,,90661366.0,ns,2275
Ed25519 signature verification,,,,,91862139.0,ns,2300
Ed25519 signature verification,,,,,92702198.0,ns,2325
Ed25519 signature verification,,,,,92543317.0,ns,2350
Ed25519 signature verification,,,,,93525973.0,ns,2375
Ed25519 signature verification,,,,,94420279.0,ns,2400
Ed25519 signature verification,,,,,96079805.0,ns,2425
Ed25519 signature verification,,,,,97822775.0,ns,2450
Ed25519 signature verification,,,,,97714785.0,ns,2475
Ed25519 signature verification,,,,,99004991.0,ns,2500
