group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 signing,,,,,1001383.0,ns,67
Ed25519 signing,,,,,1999164.0,ns,134
Ed25519 signing,,,,,2986901.0,ns,201
Ed25519 signing,,,,,3981774.0,ns,268
Ed25519 signing,,,,,5006254.0,ns,335
Ed25519 signing,,,,,6112459.0,ns,402
Ed25519 signing,,,,,9567461.0,ns,469
Ed25519 signing,,,,,12447435.0,ns,536
Ed25519 signing,,,,,8951655.0,ns,603
Ed25519 signing,,,,,9947889.0,ns,670
Ed25519 signing,,,,,10939620.0,ns,737
Ed25519 signing,,,,,11929792.0,ns,804
Ed25519 signing,,,,,12927639.0,ns,871
Ed25519 signing,,,,,13918536.0,ns,938
Ed25519 signing,,,,,14917799.0,ns,1005
Ed25519 signing,,,,,15922810.0,ns,1072
Ed25519 signing,,,,,16908874.0,ns,1139
Ed25519 signing,,,,,17733881.0,ns,1206
Ed25519 signing,,,,,18572681.0,ns,1273
Ed25519 signing,,,,,19647296.0,ns,1340
Ed25519 signing,,,,,21640954.0,ns,1407
Ed25519 signing,,,,,21588369.0,ns,1474
Ed25519 signing,,,,,22603318.0,ns,1541
Ed25519 signing,,,,,23454696.0,ns,1608
Ed25519 signing,,,,,24336384.0,ns,1675
Ed25519 signing,,,,,25454756.0,ns,1742
Ed25519 signing,,,,,26287590.0,ns,1809
Ed25519 signing,,,,,27609497.0,ns,1876
Ed25519 signing,,,,,28767925.0,ns,1943
Ed25519 signing,,,,,32828934.0,ns,2010
Ed25519 signing,,,,,32552525.0,ns,2077
Ed25519 signing,,,,,35671717.0,ns,2144
Ed25519 signing,,,,,33247662.0,ns,2211
Ed25519 signing,,,,,34475426.0,ns,2278
Ed25519 signing,,,,,35569455.0,ns,2345
Ed25519 signing,,,,,36349818.0,ns,2412
Ed25519 signing,,,,,37628305.0,ns,2479
Ed25519 signing,,,,,38515024.0,ns,2546
Ed25519 signing,,,,,40550732.0,ns,2613
Ed25519 signing,,,,,40256566.0,ns,2680
Ed25519 signing,,,,,41998232.0,ns,2747
Ed25519 signing,,,,,41760476.0,ns,2814
Ed25519 signing,,,,,42773699.0,ns,2881
Ed25519 signing,,,,,43435124.0,ns,2948
Ed25519 signing,,,,,46452899.0,ns,3015
Ed25519 signing,,,,,47084117.0,ns,3082
Ed25519 signing,,,,,48960594.0,ns,3149
Ed25519 signing,,,,,49882315.0,ns,3216
Ed25519 signing,,,,,50747914.0,ns,3283
Ed25519 signing,,,,,49773310.0,ns,3350
Ed25519 signing,,,,,50748452.0,ns,3417
Ed25519 signing,,,,,51049158.0,ns,3484
Ed25519 signing,,,,,53299271.0,ns,3551
Ed25519 signing,,,,,54738185.0,ns,3618
Ed25519 signing,,,,,57084820.0,ns,3685
Ed25519 signing,,,,,59014520.0,ns,3752
Ed25519 signing,,,,,59020022.0,ns,3819
Ed25519 signing,,,,,59846334.0,ns,3886
Ed25519 signing,,,,,60624629.0,ns,3953
Ed25519 signing,,,,,62494357.0,ns,4020
Ed25519 signing,,,,,62517434.0,ns,4087
Ed25519 signing,,,,,62870311.0,ns,4154
Ed25519 signing,,,,,64611677.0,ns,4221
Ed25519 signing,,,,,64190129.0,ns,4288
Ed25519 signing,,,,,65818283.0,ns,4355
Ed25519 signing,,,,,65698747.0,ns,4422
Ed25519 signing,,,,,69599345.0,ns,4489
Ed25519 signing,,,,,67618776.0,ns,4556
Ed25519 signing,,,,,69796430.0,ns,4623
Ed25519 signing,,,,,71366105.0,ns,4690
Ed25519 signing,,,,,73551053.0,ns,4757
Ed25519 signing,,,,,72539117.0,ns,4824
Ed25519 signing,,,,,73893370.0,ns,4891
Ed25519 signing,,,,,76442462.0,ns,4958
Ed25519 signing,,,,,77872334.0,ns,5025
Ed25519 signing,,,,,79187356.0,ns,5092
Ed25519 signing,,,,,81276913.0,ns,5159
Ed25519 signing,,,,,80724739.0,ns,5226
Ed25519 signing,,,,,81714979.0,ns,5293
Ed25519 signing,,,,,82181897.0,ns,5360
Ed25519 signing,,,,,84070244.0,ns,5427
Ed25519 signing,,,,,84109888.0,ns,5494
Ed25519 signing,,,,,84704235.0,ns,5561
Ed25519 signing,,,,,85886511.0,ns,5628
Ed25519 signing,,,,,85228852.0,ns,5695
Ed25519 signing,,,,,86056685.0,ns,5762
Ed25519 signing,,,,,86685709.0,ns,5829
Ed25519 signing,,,,,87867608.0,ns,5896
Ed25519 signing,,,,,90668597.0,ns,5963
Ed25519 signing,,,,,90005947.0,ns,6030
Ed25519 signing,,,,,91028107.0,ns,6097
Ed25519 signing,,,,,92264169.0,ns,6164
Ed25519 signing,,,,,92901614.0,ns,6231
Ed25519 signing,,,,,92315133.0,ns,6298
Ed25519 signing,,,,,92894837.0,ns,6365
Ed25519 signing,,,,,94265099.0,ns,6432
Ed25519 signing,,,,,97944478.0,ns,6499
Ed25519 signing,,,,,98150359.0,ns,6566
Ed25519 signing,,,,,98810310.0,ns,6633
Ed25519 signing,,,,,98278018.0,ns,6700
