group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ed25519 strict signature verification,,,,,991521.0,ns,24
Ed25519 strict signature verification,,,,,1976515.0,ns,48
Ed25519 strict signature verification,,,,,3017834.0,ns,72
Ed25519 strict signature verification,,,,,3981519.0,ns,96
Ed25519 strict signature verification,,,,,4977892.0,ns,120
Ed25519 strict signature verification,,,,,6003190.0,ns,144
Ed25519 strict signature verification,,,,,6925279.0,ns,168
Ed25519 strict signature verification,,,,,8008052.0,ns,192
Ed25519 strict signature verification,,,,,8966668.0,ns,216
Ed25519 strict signature verification,,,,,9989739.0,ns,240
Ed25519 strict signature verification,,,,,10997136.0,ns,264
Ed25519 strict signature verification,,,,,11932567.0,ns,288
Ed25519 strict signature verification,,,,,12952464.0,ns,312
Ed25519 strict signature verification,,,,,13954671.0,ns,336
Ed25519 strict signature verification,,,,,14953438.0,ns,360
Ed25519 strict signature verification,,,,,15893381.0,ns,384
Ed25519 strict signature verification,,,,,16878240.0,ns,408
Ed25519 strict signature verification,,,,,17883965.0,ns,432
Ed25519 strict signature verification,,,,,18902644.0,ns,456
Ed25519 strict signature verification,,,,,19910295.0,ns,480
Ed25519 strict signature verification,,,,,20860351.0,ns,504
Ed25519 strict signature verification,,,,,21866926.0,ns,528
Ed25519 strict signature verification,,,,,22826201.0,ns,552
Ed25519 strict signature verification,,,,,24195675.0,ns,576
Ed25519 strict signature verification,,,,,25080207.0,ns,600
Ed25519 strict signature verification,,,,,25822172.0,ns,624
Ed25519 strict signature verification,,,,,26790216.0,ns,648
Ed25519 strict signature verification,,,,,27846808.0,ns,672
Ed25519 strict signature verification,,,,,28877387.0,ns,696
Ed25519 strict signature verification,,,,,30423534.0,ns,720
Ed25519 strict signature verification,,,,,30703172.0,ns,744
Ed25519 strict signature verification,,,,,31850094.0,ns,768
Ed25519 strict signature verification,,,,,32778938.0,ns,792
Ed25519 strict signature verification,,,,,34279994.0,ns,816
Ed25519 strict signature verification,,,,,35595687.0,ns,840
Ed25519 strict signature verification,,,,,35725044.0,ns,864
Ed25519 strict signature verification,,,,,36700868.0,ns,888
Ed25519 strict signature verification,,,,,37532919.0,ns,912
Ed25519 strict signature verification,,,,,38738240.0,ns,936
Ed25519 strict signature verification,,,,,38825100.0,ns,960
Ed25519 strict signature verification,,,,,40005315.0,ns,984
Ed25519 strict signature verification,,,,,41962726.0,ns,1008
Ed25519 strict signature verification,,,,,43391582.0,ns,1032
Ed25519 strict signature verification,,,,,43570337.0,ns,1056
Ed25519 strict signature verification,,,,,44832727.0,ns,1080
Ed25519 strict signature verification,,,,,47884484.0,ns,1104
Ed25519 strict signature verification,,,,,48408686.0,ns,1128
Ed25519 strict signature verification,,,,,48267500.0,ns,1152
Ed25519 strict signature verification,,,,,50773971.0,ns,1176
Ed25519 strict signature verification,,,,,50132738.0,ns,1200
Ed25519 strict signature verification,,,,,50824130.0,ns,1224
Ed25519 strict signature verification,,,,,53892934.0,ns,1248
Ed25519 strict signature verification,,,,,53614661.0,ns,1272
Ed25519 strict signature verification,,,,,54893523.0,ns,1296
Ed25519 strict signature verification,,,,,56337931.0,ns,1320
Ed25519 strict signature verification,,,,,56504334.0,ns,1344
Ed25519 strict signature verification,,,,,56502016.0,ns,1368
Ed25519 strict signature verification,,,,,58560395.0,ns,1392
Ed25519 strict signature verification,,,,,59603798.0,ns,1416
Ed25519 strict signature verification,,,,,59915709.0,ns,1440
Ed25519 strict signature verification,,,,,61184080.0,ns,1464
Ed25519 strict signature verification,,,,,61880796.0,ns,1488
Ed25519 strict signature verification,,,,,62886257.0,ns,1512
Ed25519 strict signature verification,,,,,64371096.0,ns,1536
Ed25519 strict signature verification,,,,,64627762.0,ns,1560
Ed25519 strict signature verification,,,,,65375639.0,ns,1584
Ed25519 strict signature verification,,,,,67645373.0,ns,1608
Ed25519 strict signature verification,,,,,67489241.0,ns,1632
Ed25519 strict signature verification,,,,,68748939.0,ns,1656
Ed25519 strict signature verification,,,,,69608218.0,ns,1680
Ed25519 strict signature verification,,,,,70626871.0,ns,1704
Ed25519 strict signature verification,,,,,72593836.0,ns,1728
Ed25519 strict signature verification,,,,,73677756.0,ns,1752
Ed25519 strict signature verification,,,,,74000128.0,ns,1776
Ed25519 strict signature verification,,,,,74440291.0,ns,1800
Ed25519 strict signature verification,,,,,75479469.0,ns,1824
Ed25519 strict signature verification,,,,,76149200.0,ns,1848
Ed25519 strict signature verification,,,,,76257268.0,ns,1872
Ed25519 strict signature verification,,,,,77018718.0,ns,1896
Ed25519 strict signature verification,,,,,77958878.0,ns,1920
Ed25519 strict signature verification,,,,,78595471.0,ns,1944
Ed25519 strict signature verification,,,,,80462653.0,ns,1968
Ed25519 strict signature verification,,,,,82876579.0,ns,1992
Ed25519 strict signature verification,,,,,83584519.0,ns,2016
Ed25519 strict signature verification,,,,,84740019.0,ns,2040
Ed25519 strict signature verification,,,,,85532458.0,ns,2064
Ed25519 strict signature verification,,,,,86315690.0,ns,2088
Ed25519 strict signature verification,,,,,87043616.0,ns,2112
Ed25519 strict signature verification,,,,,87054097.0,ns,2136
Ed25519 strict signature verification,,,,,87773819.0,ns,2160
Ed25519 strict signature verification,,,,,88987088.0,ns,2184
Ed25519 strict signature verification,,,,,89239262.0,ns,2208
Ed25519 strict signature verification,,,,,90983020.0,ns,2232
Ed25519 strict signature verification,,,,,91682491.0,ns,2256
Ed25519 strict signature verification,,,,,92455272.0,ns,2280
Ed25519 strict signature verification,,,,,93485206.0,ns,2304
Ed25519 strict signature verification,,,,,94743757.0,ns,2328
Ed25519 strict signature verification,,,,,95840792.0,ns,2352
Ed25519 strict signature verification,,,,,97031406.0,ns,2376
Ed25519 strict signature verification,,,,,97094406.0,ns,2400
